年齢,1995年,2015年
1,366,170
2,933,249
3,1793,310
4,2272,403
5,2664,495
6,4300,1057
7,4596,1462
8,2899,1104
9,1888,735
10,1321,599
11,964,414
12,799,435
13,685,394
14,548,313
15,529,346
16,628,387
17,559,416
18,685,430
19,684,448
20,800,472
21,818,529
22,847,532
23,834,621
24,817,575
25,713,600
26,725,621
27,667,604
28,603,577
29,601,607
30,648,548
31,556,631
32,571,590
33,489,611
34,524,581
35,531,580
36,520,605
37,474,616
38,469,658
39,521,656
40,545,619
41,558,676
42,629,712
43,706,722
44,798,711
45,910,725
46,950,698
47,1063,715
48,929,684
49,711,646
50,820,693
51,1039,702
52,1005,629
53,1054,637
54,1048,602
55,950,616
56,932,627
57,1073,591
58,1133,577
59,1188,599
60,1126,632
61,1058,636
62,1177,645
63,1043,738
64,1124,792
65,1027,873
66,1030,916
67,1021,930
68,885,810
69,1008,608
70,1015,696
71,958,849
72,891,849
73,939,855
74,916,900
75,918,853
76,782,786
77,790,866
78,881,857
79,783,928
80,761,790
81,4042,4991
