地域区分,睡眠,用事,食事,通学,学業,趣味
01_北海道,436.0,74.0,88.0,63.0,411.0,64.0
02_青森県,461.0,57.0,83.0,55.0,269.0,44.0
03_岩手県,442.0,70.0,76.0,54.0,366.0,63.0
04_宮城県,426.0,64.0,86.0,89.0,285.0,44.0
05_秋田県,430.0,68.0,76.0,96.0,340.0,41.0
06_山形県,426.0,69.0,67.0,64.0,509.0,54.0
07_福島県,422.0,51.0,77.0,55.0,379.0,53.0
08_茨城県,443.0,80.0,81.0,82.0,423.0,63.0
09_栃木県,386.0,120.0,79.0,77.0,504.0,33.0
10_群馬県,427.0,76.0,60.0,65.0,442.0,69.0
11_埼玉県,431.0,69.0,99.0,98.0,400.0,24.0
12_千葉県,411.0,69.0,98.0,104.0,391.0,60.0
13_東京都,428.0,98.0,101.0,87.0,406.0,59.0
14_神奈川県,415.0,94.0,81.0,113.0,390.0,53.0
15_新潟県,434.0,79.0,80.0,63.0,363.0,107.0
16_富山県,476.0,70.0,68.0,63.0,401.0,29.0
17_石川県,417.0,59.0,91.0,84.0,475.0,82.0
18_福井県,452.0,73.0,77.0,68.0,378.0,70.0
19_山梨県,466.0,69.0,100.0,60.0,263.0,84.0
20_長野県,446.0,63.0,76.0,75.0,424.0,88.0
21_岐阜県,426.0,64.0,82.0,59.0,442.0,32.0
22_静岡県,415.0,79.0,79.0,68.0,410.0,82.0
23_愛知県,409.0,76.0,89.0,83.0,371.0,68.0
24_三重県,465.0,83.0,87.0,57.0,334.0,67.0
25_滋賀県,433.0,89.0,98.0,116.0,341.0,73.0
26_京都府,462.0,31.0,68.0,83.0,365.0,18.0
27_大阪府,448.0,57.0,86.0,80.0,369.0,70.0
28_兵庫県,448.0,67.0,68.0,83.0,378.0,36.0
29_奈良県,468.0,62.0,82.0,102.0,347.0,48.0
30_和歌山県,442.0,51.0,66.0,60.0,315.0,76.0
31_鳥取県,425.0,73.0,78.0,112.0,255.0,96.0
32_島根県,422.0,68.0,81.0,61.0,407.0,108.0
33_岡山県,451.0,58.0,78.0,70.0,374.0,69.0
34_広島県,452.0,69.0,72.0,68.0,414.0,57.0
35_山口県,441.0,54.0,89.0,68.0,350.0,68.0
36_徳島県,412.0,56.0,83.0,86.0,486.0,22.0
37_香川県,456.0,44.0,67.0,79.0,462.0,61.0
38_愛媛県,463.0,84.0,72.0,48.0,404.0,125.0
39_高知県,452.0,87.0,86.0,64.0,393.0,81.0
40_福岡県,418.0,63.0,84.0,77.0,445.0,56.0
41_佐賀県,453.0,67.0,75.0,67.0,360.0,49.0
42_長崎県,423.0,56.0,82.0,42.0,432.0,80.0
43_熊本県,442.0,29.0,68.0,47.0,481.0,49.0
44_大分県,415.0,42.0,69.0,57.0,436.0,62.0
45_宮崎県,421.0,64.0,86.0,71.0,316.0,56.0
46_鹿児島県,407.0,82.0,79.0,69.0,424.0,50.0
47_沖縄県,450.0,52.0,103.0,50.0,417.0,49.0
