都道府県,人口あたり感染者数,接種率
北海道,102308.0365,65.7669
青森県,84571.3676,71.438
岩手県,55455.6915,72.0597
宮城県,73142.1775,66.126
秋田県,59230.7259,75.0463
山形県,50886.354,72.162
福島県,59670.4474,71.3289
茨城県,88527.8002,68.68
栃木県,80895.0798,67.8065
群馬県,83519.7591,66.3076
埼玉県,122753.4169,64.7096
千葉県,115625.9547,65.9307
東京都,179514.8692,61.4058
神奈川県,128447.0838,63.5198
新潟県,64783.4525,72.0589
富山県,71601.2733,68.8018
石川県,89808.9757,64.5871
福井県,95161.7173,66.7132
山梨県,79150.6888,66.4368
長野県,63150.0514,69.173
岐阜県,93996.0844,67.2082
静岡県,89444.2423,66.6242
愛知県,127262.9523,60.5276
三重県,89236.9118,65.0632
滋賀県,111578.8655,62.5767
京都府,135525.2945,59.2696
大阪府,181086.4497,57.1138
兵庫県,133326.0262,61.4106
奈良県,117027.6782,64.0021
和歌山県,92524.9083,64.7604
鳥取県,68277.0547,63.5017
島根県,78457.6965,67.4143
岡山県,90298.1945,62.679
広島県,94604.7115,61.6382
山口県,70523.7251,67.6356
徳島県,63815.4759,66.6619
香川県,91745.9095,64.3744
愛媛県,69868.9956,66.4745
高知県,81139.2758,63.896
福岡県,153896.7996,60.2954
佐賀県,131343.9531,62.0495
長崎県,97578.5576,67.9747
熊本県,132095.0744,66.5326
大分県,102135.3345,65.1948
宮崎県,113532.8392,63.6822
鹿児島県,117486.098,65.9157
沖縄県,281841.6605,47.8261
