month,deaths
2020-02,10
2020-03,56
2020-04,450
2020-05,336
2020-06,59
2020-07,46
2020-08,275
2020-09,249
2020-10,192
2020-11,401
2020-12,1392
2021-01,2669
2021-02,2159
2021-03,1139
2021-04,1554
2021-05,3090
2021-06,1669
2021-07,579
2021-08,1568
2021-09,1617
2021-10,471
2021-11,151
2021-12,90
2022-01,668
2022-02,6503
2022-03,4630
2022-04,1705
2022-05,1030
2022-06,566
2022-07,1941
2022-08,9293
2022-09,5216
2022-10,2319
2022-11,3977
2022-12,9787
2023-01,12713
2023-02,4511
2023-03,1868
2023-04,1011
2023-05,986
2023-06,1154
2023-07,1878
2023-08,3852
2023-09,4049
2023-10,2496
2023-11,1628
