年,出生数_男,出生数_女,合計特殊出生率
1899,713442,673539,
1900,727916,692618,
1901,769494,732097,
1902,773296,737539,
1903,763806,726010,
1904,738230,702141,
1905,735948,716822,
1906,726155,668140,
1907,818114,796358,
1908,850209,812606,
1909,863855,829995,
1910,872779,840078,
1911,891049,856754,
1912,886449,851225,
1913,897824,859617,
1914,925855,882547,
1915,918296,881030,
1916,921347,883475,
1917,924953,887460,
1918,914685,877307,
1919,910400,868285,
1920,1035134,990430,
1921,1017457,973419,
1922,1004022,965292,
1923,1043599,999698,
1924,1019988,978532,
1925,1060827,1025264,
1926,1081793,1022611,
1927,1048946,1011791,
1928,1090702,1045150,
1929,1058666,1018360,
1930,1069551,1015549,
1931,1073385,1029399,
1932,1117954,1064788,
1933,1087688,1033565,
1934,1042736,1001047,
1935,1122867,1067836,
1936,1076197,1025772,
1937,1116154,1064580,
1938,990888,937433,
1939,973744,927829,
1940,1084282,1031585,
1941,1165437,1111846,
1942,1145068,1088592,
1943,1155983,1097552,
1944,,,
1945,,,
1946,,,
1947,1376986,1301806,4.54
1948,1378564,1303060,4.4
1949,1380008,1316630,4.32
1950,1203111,1134396,3.65
1951,1094641,1043048,3.26
1952,1028061,977101,2.98
1953,957524,910516,2.69
1954,911212,858368,2.48
1955,889670,841022,2.37
1956,856084,809194,2.22
1957,805220,761493,2.04
1958,848733,804736,2.11
1959,835822,790266,2.04
1960,824761,781280,2.0
1961,817599,771773,1.96
1962,833269,785347,1.98
1963,852561,806960,2.0
1964,882924,833837,2.05
1965,935366,888331,2.14
1966,705463,655511,1.58
1967,992778,942869,2.23
1968,967996,903843,2.13
1969,977687,912128,2.13
1970,1000403,933836,2.13
1971,1032937,968036,2.16
1972,1051389,987293,2.14
1973,1077517,1014466,2.14
1974,1046538,983451,2.05
1975,979091,922349,1.91
1976,943829,888788,1.85
1977,903380,851720,1.8
1978,879149,829494,1.79
1979,845884,796696,1.77
1980,811418,765471,1.75
1981,786596,742859,1.74
1982,777855,737537,1.77
1983,775206,733481,1.8
1984,764597,725183,1.81
1985,735284,696293,1.76
1986,711301,671645,1.72
1987,692304,654354,1.69
1988,674883,639123,1.66
1989,640506,606296,1.57
1990,626971,594614,1.54
1991,628615,594630,1.53
1992,622136,586853,1.5
1993,610244,578038,1.46
1994,635915,602413,1.5
1995,608547,578517,1.42
1996,619793,586762,1.43
1997,610905,580760,1.39
1998,617414,585733,1.38
1999,604769,572900,1.34
2000,612148,578399,1.36
2001,600918,569744,1.33
2002,592840,561015,1.32
2003,576736,546874,1.29
2004,569559,541162,1.29
2005,545032,517498,1.26
2006,560439,532235,1.32
2007,559847,529971,1.34
2008,559513,531643,1.37
2009,548994,521042,1.37
2010,550743,520562,1.39
2011,538271,512536,1.39
2012,531781,505451,1.41
2013,527657,502160,1.43
2014,515572,488037,1.42
2015,515468,490253,1.45
2016,502012,475230,1.44
2017,484478,461668,1.43
2018,470851,447549,1.42
2019,443430,421809,1.36
2020,430713,410122,1.33
2021,415903,395719,1.30
2022,395257,375502,1.26
2023,372603,354685,1.20
2024,351394,334667,1.15
2025,344215,327021,1.14
