番号,都道府県,総人口,男,女,人口2015,増減数,増減率,面積,人口密度,平均年齢,年齢中位数,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW
0,全国,126146099,61349581,64796518,127094745,-948646,-0.7,377976.41,338.2,47.6,48.5,15031602,75087865,36026632,11.9,59.5,28.6,7700036,38008577,15640968,12.6,62.0,25.5,7331566,37079288,20385664,11.3,57.2,31.5,94.7,123398962,2747137,55830154,55704949,125205,53448685,55704949,30110571,11158840,13949190,738006,4264535,21151042,6716806,6533895,2337703
1,北海道,5224614,2465088,2759526,5381733,-157119,-2.9,83424.44,66.6,49.8,51.3,556526,2988800,1679288,10.7,57.2,32.1,284897,1477750,702441,11.6,59.9,28.5,271629,1511050,976847,9.8,54.8,35.4,89.3,5188441,36173,2476846,2469063,7783,2444810,2469063,1324406,584819,511571,29921,198095,999825,361735,345741,59601
2,青森県,1237984,583402,654582,1308265,-70281,-5.4,9645.64,128.3,50.8,53.4,130259,689910,417815,10.5,55.7,33.7,66483,345000,171919,11.4,59.1,29.5,63776,344910,245896,9.7,52.7,37.6,89.1,1232227,5757,511526,509649,1877,510945,509649,268760,100962,109399,7734,50665,168917,71752,60995,42895
3,岩手県,1210534,582952,627582,1279594,-69060,-5.4,15275.01,79.2,50.6,52.9,132735,670784,407015,11.0,55.4,33.6,67919,342813,172220,11.7,58.8,29.5,64816,327971,234795,10.3,52.3,37.4,92.9,1203203,7331,492436,490828,1608,493049,490828,252005,94910,105474,7549,44072,163290,62424,57656,46934
4,宮城県,2301996,1122598,1179398,2333899,-31903,-1.4,7282.29,316.1,47.4,48.1,268931,1385425,647640,11.7,60.2,28.1,137916,701792,282890,12.3,62.5,25.2,131015,683633,364750,11.1,58.0,30.9,95.2,2280203,21793,982523,980549,1974,944720,980549,507063,181038,234787,13068,78170,362255,97239,102638,67505
5,秋田県,959502,452439,507063,1023119,-63617,-6.2,11637.52,82.4,52.9,56.4,92855,506960,359687,9.7,52.8,37.5,47526,255856,149057,10.5,56.6,32.9,45329,251104,210630,8.9,49.5,41.5,89.2,955659,3843,385187,383531,1656,388560,383531,203177,81772,81097,5755,34553,117169,55437,52719,39453
6,山形県,1068027,516438,551589,1123891,-55864,-5.0,9323.15,114.6,50.5,52.8,120271,586578,361178,11.3,54.9,33.8,61700,298506,156232,11.9,57.8,30.3,58571,288072,204946,10.6,52.2,37.2,93.6,1060586,7441,398015,396792,1223,393396,396792,202342,75330,89321,5814,31877,112791,43451,47618,55238
7,福島県,1833152,903864,929288,1914039,-80887,-4.2,13784.14,133.0,49.5,51.5,206993,1045887,580272,11.3,57.1,31.7,105826,543951,254087,11.7,60.2,28.1,101167,501936,326185,10.9,54.0,35.1,97.3,1819085,14067,742911,740089,2822,737598,740089,384082,142632,168068,11393,61989,245335,87168,86303,69042
8,茨城県,2867009,1430976,1436033,2916976,-49967,-1.7,6097.39,470.2,48.2,49.3,334614,1681662,850733,11.7,58.7,29.7,171619,875622,383735,12.0,61.2,26.8,162995,806040,466998,11.4,56.1,32.5,99.6,2801640,65369,1184133,1181598,2535,1124349,1181598,664239,245778,308921,18395,91145,385760,125596,149952,80078
9,栃木県,1933146,964930,968216,1974255,-41109,-2.1,6408.09,301.7,48.0,49.0,228224,1142706,562216,11.8,59.1,29.1,117603,595117,252210,12.2,61.7,26.1,110621,547589,310006,11.4,56.6,32.0,99.7,1891396,41750,796923,795449,1474,763097,795449,439807,158484,207956,12370,60997,261757,85355,92717,56778
10,群馬県,1939110,959411,979699,1973115,-34005,-1.7,6362.28,304.8,48.4,49.6,226573,1127799,584738,11.7,58.2,30.2,116058,583309,260044,12.1,60.8,27.1,110515,544490,324694,11.3,55.6,33.1,97.9,1879820,59290,805252,803215,2037,773952,803215,462667,168709,219169,12408,62381,260100,93993,103437,43722
11,埼玉県,7344765,3652169,3692596,7266534,78231,1.1,3797.75,1934.0,46.8,47.7,872859,4488130,1983776,11.9,61.1,27.0,446651,2310824,894694,12.2,63.3,24.5,426208,2177306,1089082,11.5,59.0,29.5,98.9,7159087,185678,3162743,3157627,5116,2971659,3157627,1849525,650271,911592,47929,239733,1072139,332963,376464,105717
12,千葉県,6284480,3117987,3166493,6222666,61814,1.0,5157.57,1218.5,47.1,48.0,736623,3813987,1733870,11.7,60.7,27.6,377749,1962763,777475,12.1,62.9,24.9,358874,1851224,956395,11.3,58.5,30.2,98.5,6122205,162275,2773840,2767661,6179,2609132,2767661,1572544,572435,755321,39564,205224,1003440,299889,335025,95699
13,東京都,14047594,6898388,7149206,13515272,532322,3.9,2194.03,6402.6,45.3,45.1,1568415,9284428,3194751,11.2,66.1,22.7,802651,4714667,1381070,11.6,68.3,20.0,765764,4569761,1813681,10.7,63.9,25.4,96.5,13484028,563566,7227180,7216650,10530,6701123,7216650,3299649,1185040,1588460,76177,449972,3625810,811408,564594,97110
14,神奈川県,9237337,4588268,4649069,9126213,111124,1.2,2416.11,3823.2,46.5,47.3,1086468,5790049,2360820,11.8,62.7,25.6,556916,2985490,1045862,12.1,65.1,22.8,529552,2804559,1314958,11.4,60.3,28.3,98.7,9006608,230729,4223706,4210122,13584,3979277,4210122,2350377,843850,1154510,54961,297056,1650991,459724,460516,93407
15,新潟県,2201272,1068670,1132602,2304264,-102992,-4.5,12583.96,174.9,49.9,51.6,247924,1232070,721278,11.3,56.0,32.8,127131,629444,312095,11.9,58.9,29.2,120793,602626,409183,10.7,53.2,36.1,94.4,2185171,16101,864750,862796,1954,848150,862796,459787,169203,207861,12778,69945,266182,98746,105469,90547
16,富山県,1034814,502637,532177,1066328,-31514,-3.0,4247.58,243.6,49.7,50.9,116346,581617,336851,11.2,56.2,32.6,59917,299133,143587,11.9,59.5,28.6,56429,282484,193264,10.6,53.1,36.3,94.4,1017321,17493,403989,403007,982,391171,403007,220136,79713,103168,5676,31579,119523,46175,50694,40632
17,石川県,1132526,549771,582755,1154008,-21482,-1.9,4186.21,270.5,47.9,48.9,137365,657990,337171,12.1,58.1,29.8,70265,334930,144576,12.8,60.9,26.3,67100,323060,192595,11.5,55.4,33.0,94.3,1117364,15162,469910,468835,1075,453368,468835,255131,94895,119723,5890,34623,162531,52169,59024,31185
18,福井県,766863,373973,392890,786740,-19877,-2.5,4190.52,183.0,48.5,49.8,95809,436121,234933,12.5,56.9,30.6,49261,222953,101759,13.2,59.6,27.2,46548,213168,133174,11.8,54.3,33.9,95.2,752018,14845,291662,290692,970,279687,290692,155501,56546,72909,4015,22031,86282,31367,35264,33388
19,山梨県,809974,397309,412665,834930,-24956,-3.0,4465.27,181.4,49.0,50.8,92723,467443,249808,11.4,57.7,30.8,47326,239956,110027,11.9,60.4,27.7,45397,227487,139781,11.0,55.1,33.9,96.3,794358,15616,338853,338057,796,330976,338057,191669,73487,86374,4904,26904,110192,42105,45196,20205
20,長野県,2048011,1000389,1047622,2098804,-50793,-2.4,13561.56,151.0,49.4,50.9,245285,1148164,654562,12.0,56.1,32.0,125595,586672,288122,12.6,58.6,28.8,119690,561492,366440,11.4,53.6,35.0,95.5,2013539,34472,832097,829979,2118,807108,829979,465774,182389,208863,11764,62758,257508,96359,112936,63295
21,岐阜県,1978742,960436,1018306,2031903,-53161,-2.6,10621.29,186.3,48.4,49.7,242504,1133872,602366,12.3,57.3,30.4,124238,571611,264587,12.9,59.5,27.5,118266,562261,337779,11.6,55.2,33.2,94.3,1924681,54061,780730,779029,1701,753212,779029,446358,165701,211754,10754,58149,228715,85160,107033,64159
22,静岡県,3633202,1791118,1842084,3700305,-67103,-1.8,7777.35,467.2,48.4,49.7,439490,2100962,1092750,12.1,57.8,30.1,225391,1082681,483046,12.6,60.4,27.0,214099,1018281,609704,11.6,55.3,33.1,97.2,3540934,92268,1483472,1480969,2503,1429600,1480969,829251,305165,385860,21488,116738,472201,166069,182564,109658
23,愛知県,7542415,3761502,3780913,7483128,59287,0.8,5173.07,1458.0,45.6,46.3,980388,4654635,1907392,13.0,61.7,25.3,502734,2410818,847950,13.4,64.1,22.5,477654,2243817,1059442,12.6,59.3,28.0,99.5,7283260,259155,3238301,3233126,5175,3063833,3233126,1794260,623565,900894,41751,228050,1175221,323796,352211,146189
24,三重県,1770254,864475,905779,1815865,-45611,-2.5,5774.49,306.6,48.3,49.5,213373,1027332,529549,12.1,58.0,29.9,109236,523670,231569,12.6,60.6,26.8,104137,503662,297980,11.5,55.6,32.9,95.4,1718708,51546,742598,741183,1415,720292,741183,423745,164116,196585,9852,53192,244698,88354,102675,40236
25,滋賀県,1413610,697429,716181,1412916,694,0.0,4017.38,351.9,45.9,46.7,192256,849686,371668,13.6,60.1,26.3,98854,432974,165601,14.2,62.1,23.7,93402,416712,206067,13.0,58.2,28.8,97.4,1380486,33124,571374,570529,845,537550,570529,330640,115817,167640,7179,40004,182011,53625,70197,35996
26,京都府,2578087,1231468,1346619,2610353,-32266,-1.2,4612.2,559.0,47.7,48.5,294399,1527284,756404,11.4,59.2,29.3,151054,757261,323153,12.3,61.5,26.2,143345,770023,433251,10.6,57.2,32.2,91.4,2520012,58075,1190527,1188903,1624,1152902,1188903,622055,229823,286412,14889,90931,489815,153688,143699,36133
27,大阪府,8837685,4235956,4601729,8839469,-1784,0.0,1905.32,4638.4,47.1,47.9,1032375,5363326,2441984,11.7,60.7,27.6,527944,2658750,1049262,12.5,62.8,24.8,504431,2704576,1392722,11.0,58.8,30.3,92.1,8595483,242202,4135879,4126995,8884,3923887,4126995,2192989,774121,1020391,53727,344750,1727107,567399,452935,86646
28,兵庫県,5465002,2599756,2865246,5534800,-69798,-1.3,8401.02,650.5,48.0,49.2,666511,3197092,1601399,12.2,58.5,29.3,341518,1570055,688183,13.1,60.4,26.5,324993,1627037,913216,11.3,56.8,31.9,90.7,5356648,108354,2402484,2399358,3126,2315200,2399358,1371842,510055,639014,30998,191775,862511,313735,310554,78607
29,奈良県,1324473,623926,700547,1364316,-39843,-2.9,3690.94,358.8,49.0,50.7,154836,749514,420123,11.7,56.6,31.7,78996,362335,182595,12.7,58.1,29.3,75840,387179,237528,10.8,55.3,33.9,89.1,1311730,12743,544981,543908,1073,530221,543908,340422,129786,156466,7602,46568,159204,70741,86726,25015
30,和歌山県,922584,435051,487533,963579,-40995,-4.3,4724.65,195.3,50.2,52.3,105598,509212,307774,11.4,55.2,33.4,54010,250980,130061,12.4,57.7,29.9,51588,258232,177713,10.6,53.0,36.5,89.2,916179,6405,394483,393489,994,392332,393489,233292,92680,100052,5699,34861,127908,64404,59239,17459
31,鳥取県,553407,264432,288975,573441,-20034,-3.5,3507.14,157.8,49.2,50.8,68542,306288,178577,12.4,55.3,32.3,35182,153956,75294,13.3,58.2,28.5,33360,152332,103283,11.5,52.7,35.7,91.5,548766,4641,219742,219069,673,216894,219069,115881,41682,51398,3250,19551,70641,27170,26164,20626
32,島根県,671126,324291,346835,694352,-23226,-3.3,6707.89,100.1,50.1,52.0,81837,359735,229554,12.2,53.6,34.2,42114,184329,97848,13.0,56.8,30.2,39723,175406,131706,11.5,50.6,38.0,93.5,662115,9011,269892,268462,1430,265008,268462,140016,56567,58863,3528,21058,89036,35331,36340,24575
33,岡山県,1888432,908045,980387,1921525,-33093,-1.7,7114.33,265.4,48.0,48.8,233416,1082126,572890,12.4,57.3,30.3,120038,541499,246508,13.2,59.6,27.1,113378,540627,326382,11.6,55.1,33.3,92.6,1859012,29420,801409,799611,1798,772977,799611,435515,162552,202327,10376,60260,284926,94208,103306,41981
34,広島県,2799702,1357156,1442546,2843990,-44288,-1.6,8479.65,330.2,47.7,48.5,353792,1622812,823098,12.6,58.0,29.4,181003,821120,355033,13.3,60.5,26.2,172789,801692,468065,12.0,55.6,32.4,94.1,2746811,52891,1243527,1241204,2323,1211425,1241204,695820,272306,314235,15298,93981,462961,157316,166047,41462
35,山口県,1342059,636736,705323,1404729,-62670,-4.5,6112.54,219.6,50.4,52.3,153838,723588,464633,11.5,53.9,34.6,78833,362964,194939,12.4,57.0,30.6,75005,360624,269694,10.6,51.1,38.2,90.3,1326043,16016,598824,597309,1515,598834,597309,336505,143402,137230,7711,48162,218208,94207,92911,20793
36,徳島県,719559,343265,376294,755733,-36174,-4.8,4146.75,173.5,50.5,52.7,78361,395215,245983,10.9,54.9,34.2,40262,197131,105872,11.7,57.4,30.8,38099,198084,140111,10.1,52.6,37.2,91.2,713716,5843,308210,307358,852,305754,307358,165161,65180,71917,4306,23758,109570,42341,42224,17536
37,香川県,950244,459197,491047,976263,-26019,-2.7,1876.78,506.3,49.0,50.2,114662,533564,302018,12.1,56.2,31.8,58723,269750,130724,12.8,58.7,28.5,55939,263814,171294,11.4,53.7,34.9,93.5,937342,12902,406985,406062,923,398551,406062,230506,90550,102399,5682,31875,139818,53301,56782,19096
38,愛媛県,1334841,633062,701779,1385262,-50421,-3.6,5676.19,235.2,50.0,51.8,154420,737231,443190,11.6,55.2,33.2,79153,366862,187047,12.5,58.0,29.5,75267,370369,256143,10.7,52.8,36.5,90.2,1322257,12584,601402,599941,1461,591972,599941,331966,135510,139040,7980,49436,224773,89813,85126,20876
39,高知県,691527,326531,364996,728276,-36749,-5.0,7103.63,97.3,51.3,53.4,75171,370997,245359,10.9,53.6,35.5,38389,185381,102761,11.8,56.8,31.5,36782,185616,142598,10.1,50.9,39.1,89.5,686982,4545,315272,314330,942,319011,314330,168195,67289,67755,5062,28089,122867,55958,42705,10570
40,福岡県,5135214,2430951,2704263,5101556,33658,0.7,4986.51,1029.8,46.7,47.3,667107,3035328,1432779,13.0,59.1,27.9,341127,1490234,599590,14.0,61.3,24.7,325980,1545094,833189,12.1,57.1,30.8,89.9,5055456,79758,2323325,2318479,4846,2201037,2318479,1213986,440783,553879,28051,191273,942993,284223,258448,76555
41,佐賀県,811442,384451,426991,832832,-21390,-2.6,2440.69,332.5,48.0,49.6,109174,453697,248571,13.5,55.9,30.6,56051,223610,104790,14.6,58.2,27.3,53123,230087,143781,12.4,53.9,33.7,90.0,804878,6564,312680,311173,1507,302109,311173,171795,60326,79364,4410,27695,94280,36646,37862,28398
42,長崎県,1312317,616912,695405,1377187,-64870,-4.7,4130.98,317.7,49.7,52.1,164573,714726,433018,12.5,54.5,33.0,84489,350646,181777,13.7,56.8,29.5,80084,364080,251241,11.5,52.4,36.1,88.7,1303067,9250,558230,556130,2100,560720,556130,313876,127381,129115,7573,49807,191470,83871,79510,27671
43,熊本県,1738301,822481,915820,1786170,-47869,-2.7,7409.46,234.6,48.6,50.3,229016,963053,546232,13.2,55.4,31.4,117178,473658,231645,14.2,57.6,28.2,111838,489395,314587,12.2,53.4,34.4,89.8,1722005,16296,719154,716740,2414,704730,716740,396063,149328,175135,9867,61733,242940,92410,94175,43735
44,大分県,1123852,533414,590438,1166338,-42486,-3.6,6340.76,177.2,49.7,51.5,136329,613637,373886,12.1,54.6,33.3,69664,305765,157985,13.1,57.3,29.6,66665,307872,215901,11.3,52.1,36.6,90.3,1111592,12260,489249,487679,1570,486535,487679,269815,111409,113994,6209,38203,175329,69725,71023,21381
45,宮崎県,1069576,504763,564813,1104069,-34493,-3.1,7735.22,138.3,49.2,51.3,140291,580412,348873,13.1,54.3,32.6,71649,284874,148240,14.2,56.4,29.4,68642,295538,200633,12.2,52.3,35.5,89.4,1062573,7003,470055,468575,1480,462858,468575,267348,111275,109470,6292,40311,167776,70639,69461,16113
46,鹿児島県,1588256,748306,839950,1648177,-59921,-3.6,9187.06,172.9,49.3,51.8,207602,863898,516756,13.1,54.4,32.5,106813,419735,221758,14.3,56.1,29.6,100789,444163,294998,12.0,52.9,35.1,89.1,1577022,11234,728179,725855,2324,724690,725855,406396,173698,166018,9161,57519,282664,119020,108442,14009
47,沖縄県,1467480,722812,744668,1433566,33914,2.4,2282.59,642.9,43.5,44.1,243943,892133,331404,16.6,60.8,22.6,124384,449380,149048,17.2,62.2,20.6,119559,442753,182356,16.1,59.5,24.5,97.1,1447245,20235,614708,613294,1414,560424,613294,338232,96510,167439,11246,63037,229602,68601,50578,19797
