年度,男5歳,男6歳,男7歳,男8歳,男9歳,男10歳,男11歳,男12歳,男13歳,男14歳,男15歳,男16歳,男17歳,女5歳,女6歳,女7歳,女8歳,女9歳,女10歳,女11歳,女12歳,女13歳,女14歳,女15歳,女16歳,女17歳
1900,,107,110.9,116.1,120,123.9,127.9,133.9,140,147,152.1,156.1,157.9,,104.8,110,113.9,119.1,123.9,127.9,133,137.9,143,144.8,146.1,147
1901,,107,111.2,116.1,120.3,125.2,128.8,133.6,138.3,146.7,152.4,157,159.1,,105.8,110.3,114.2,118.5,123.6,128.5,133.6,139.1,142.7,145.8,146.4,146.4
1902,,107,111.5,116.1,120.6,124.5,129.1,133.6,139.1,145.5,151.8,156.4,158.2,,105.8,110,114.5,119.1,123.9,128.8,133.9,138.5,142.7,145.5,146.7,147.6
1903,,107,111.5,115.5,120.3,125.2,128.8,133.9,139.4,146.7,152.1,156.4,158.2,,105.8,110.3,114.5,118.8,123.6,128.2,133.9,139.1,143.3,145.8,146.7,147.6
1904,,106.7,110.6,115.2,119.7,124.5,127.9,133.3,139.7,147.9,152.4,157,158.5,,105.5,109.7,114.2,118.5,123.3,128.5,133.6,139.1,143.3,146.1,147.3,147.9
1905,,106.4,110.9,115.2,120,124.5,128.5,133.6,139.4,146.4,152.4,157,159.1,,105.2,109.7,113.9,118.8,123.9,128.2,133.9,138.8,143.6,146.4,147.9,147.9
1906,,106.4,110.9,115.4,120,124.8,128.8,133.9,140,146.7,152.7,156.7,159.1,,105.2,109.4,114.2,118.5,123.3,128.2,133.6,138.8,143.3,146.7,147.3,147.6
1907,,106.4,110.3,115.2,120,124.5,128.5,133.3,139.7,146.7,153,156.4,158.8,,105.5,109.7,114.2,118.5,123.3,128.2,133.9,139.1,143.6,146.4,147.9,148.5
1908,,106.7,111.2,116.1,120.3,124.2,128.5,133.6,139.4,146.1,152.4,157.3,159.1,,105.5,110,114.5,118.8,123.3,128.5,133.9,139.1,143.6,146.7,147.9,149.1
1909,,106.7,111.2,115.8,120,124.5,128.5,133.6,139.1,146.7,153,157,159.4,,105.5,110,113.9,118.8,123.3,127.9,133.9,139.4,143.6,146.7,147.3,148.5
1910,,107,111.2,115.8,120.3,124.5,128.5,133.6,139.1,146.4,152.7,157.3,159.1,,105.8,110,114.5,118.8,123.6,128.5,133.6,139.1,143.6,147,148.2,148.8
1911,,106.7,111.5,116.1,120.6,124.8,128.8,134.2,139.7,146.7,153,157,159.4,,105.5,110.3,114.8,119.1,123.6,128.5,134.8,139.7,143.9,146.7,148.5,149.1
1912,,107,111.2,116.4,120.6,125.2,129.4,134.2,140,147.3,153.3,157.6,159.4,,105.5,110.3,114.8,119.4,123.9,128.8,135.2,140.3,144.5,147.3,148.2,148.5
1913,,106.7,111.2,116.1,120.3,125.2,129.1,133.9,140,147.3,153.6,157.6,159.4,,105.2,110,114.5,119.1,123.6,128.8,134.8,140,144.5,147,148.2,148.5
1914,,106.7,111.2,115.8,120.6,125.2,129.1,134.2,139.7,146.7,153.3,157.9,159.7,,105.2,110,114.5,119.1,123.6,128.8,134.8,140,144.5,147.6,148.5,149.1
1915,,107,111.5,116.1,120.6,125.2,129.1,134.2,139.7,147,153.6,157.9,159.7,,105.5,110.3,114.5,119.4,123.9,128.8,135.2,140.3,145.8,147.6,148.5,149.1
1916,,107,111.5,116.1,120.6,124.8,129.4,134.5,140,147.3,153.9,158.2,160,,105.5,110.3,114.8,119.4,123.9,129.1,135.2,140.6,145.8,147.6,148.8,149.1
1917,,107,111.8,116.4,121.2,125.2,129.7,134.5,140.6,147.6,154.5,158.5,160,,105.5,110.3,114.8,120,123,129.4,135.5,141.2,145.2,147.9,149.1,149.1
1918,,107,111.5,116.4,120.9,125.5,129.7,134.8,141.2,148.2,153.9,158.5,160,,105.8,110,114.8,119.7,124.2,129.1,135.5,141.5,144.8,147.9,149.1,149.4
1919,,107,111.5,116.4,120.9,125.2,129.7,134.8,140.6,147.9,154.2,157.9,160,,105.8,110.3,114.8,119.4,124.2,129.1,135.2,141.2,144.8,148.5,149.1,149.4
1920,,107,112.1,116.4,120.9,125.5,129.4,134.8,140.6,148.2,154.2,158.2,160,,105.8,110.3,115.2,119.7,124.2,129.7,136.1,141.5,146.4,148.2,149.1,149.7
1921,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,,107.3,112.1,116.7,121.5,125.8,130,135.2,140.9,148.8,154.5,158.5,160.3,,105.8,110.6,115.5,120,124.5,130,136.1,141.2,145.5,148.2,149.1,149.1
1923,,107.3,112.1,117,121.5,126.1,130.3,136.1,141.8,148.8,154.8,158.2,160.6,,106.1,110.6,115.5,120.3,125.2,130,136.7,140.9,146.4,148.8,149.4,149.7
1924,,107.3,112.1,117,121.8,126.1,130.3,135.5,142.4,149.4,155.2,158.8,160.3,,106.1,110.9,115.8,120.6,125.2,130.3,137.6,142.7,146.7,148.8,149.4,150
1925,,107.6,112.1,117.3,121.8,126.4,130.3,135.8,142.1,149.7,155.2,158.8,160.6,,106.1,110.9,116.1,120.3,125.2,130.6,137.3,142.7,146.7,148.2,149.7,150.3
