年度,名誉会員,正会員,学生会員,ジュニア会員,準会員,合計人数,賛助会員_社数,賛助会員_口数
2018,39,15453,2728,1642,,19862,258,589
2017,38,15165,2363,782,,18348,240,572
2016,36,15397,2544,596,,18573,214,527
2015,37,15699,2695,668,,19099,220,527
2014,36,16111,3477,,,19624,223,510
2013,33,16306,2975,,,19314,228,519
2012,35,16531,2449,,,19015,228,527
2011,37,16907,2446,,,19390,246,537
2010,37,17189,2448,,,19674,255,536
2009,39,17590,2375,,38,20042,264,544
2008,40,18103,2298,,39,20480,275,552
2007,40,18639,2374,,43,21096,291,568
2006,39,19324,2517,,49,21929,295,577
2005,40,20135,2321,,52,22548,312,472
2004,39,20812,2168,,57,23076,321,454
2003,38,21689,1958,,47,23732,331,451
