year,month,deaths
2016,1,1586
2016,2,1585
2016,3,1556
2016,4,1316
2016,5,1437
2016,6,1194
2016,7,1136
2016,8,1370
2016,9,1304
2016,10,1440
2016,11,1510
2016,12,1517
2017,1,1874
2017,2,1453
2017,3,1575
2017,4,1278
2017,5,1510
2017,6,1332
2017,7,1296
2017,8,1292
2017,9,1259
2017,10,1490
2017,11,1463
2017,12,1423
2018,1,1762
2018,2,1585
2018,3,1557
2018,4,1354
2018,5,1564
2018,6,1235
2018,7,1379
2018,8,1320
2018,9,1252
2018,10,1520
2018,11,1486
2018,12,1418
2019,1,1889
2019,2,1497
2019,3,1443
2019,4,1367
2019,5,1697
2019,6,1190
2019,7,1517
2019,8,1310
2019,9,1428
2019,10,1413
2019,11,1587
2019,12,1443
2020,1,1954
2020,2,1396
2020,3,1553
2020,4,1432
