年,月,確定数,概数,速報値
2005,1,103215,,
2005,2,95754,,
2005,3,108113,,
2005,4,91577,,
2005,5,86307,,
2005,6,78091,,
2005,7,80430,,
2005,8,82140,,
2005,9,78716,,
2005,10,85391,,
2005,11,90964,,
2005,12,103098,,
2006,1,109342,,
2006,2,92842,,
2006,3,95705,,
2006,4,90660,,
2006,5,88613,,
2006,6,81168,,
2006,7,82915,,
2006,8,83443,,
2006,9,80605,,
2006,10,86512,,
2006,11,91726,,
2006,12,100920,,
2007,1,104985,,
2007,2,91426,,
2007,3,101911,,
2007,4,92130,,
2007,5,90112,,
2007,6,82231,,
2007,7,84523,,
2007,8,88049,,
2007,9,82998,,
2007,10,91459,,
2007,11,94706,,
2007,12,103804,,
2008,1,110384,,
2008,2,102413,,
2008,3,102778,,
2008,4,94055,,
2008,5,91597,,
2008,6,84258,,
2008,7,87663,,
2008,8,88063,,
2008,9,85018,,
2008,10,92765,,
2008,11,97922,,
2008,12,105491,,
2009,1,114307,,
2009,2,94331,,
2009,3,100985,,
2009,4,93694,,
2009,5,92714,,
2009,6,84824,,
2009,7,86861,,
2009,8,88685,,
2009,9,87591,,
2009,10,94708,,
2009,11,97110,,
2009,12,106055,,
2010,1,113091,,
2010,2,97957,,
2010,3,103220,,
2010,4,98875,,
2010,5,97707,,
2010,6,90408,,
2010,7,95164,,
2010,8,95699,,
2010,9,91715,,
2010,10,98355,,
2010,11,103939,,
2010,12,110884,,
2011,1,121776,,
2011,2,103008,,
2011,3,130052,,
2011,4,103701,,
2011,5,101201,,
2011,6,94571,,
2011,7,94281,,
2011,8,96081,,
2011,9,92090,,
2011,10,100419,,
2011,11,101395,,
2011,12,114493,,
2012,1,123101,,
2012,2,114199,,
2012,3,111130,,
2012,4,102562,,
2012,5,98945,,
2012,6,90959,,
2012,7,94741,,
2012,8,96964,,
2012,9,92880,,
2012,10,102648,,
2012,11,108280,,
2012,12,119950,,
2013,1,127352,,
2013,2,110772,,
2013,3,111065,,
2013,4,103571,,
2013,5,102065,,
2013,6,92313,,
2013,7,96883,,
2013,8,99049,,
2013,9,96208,,
2013,10,103060,,
2013,11,108764,,
2013,12,117336,,
2014,1,124705,124705,
2014,2,110317,110317,
2014,3,113808,113808,
2014,4,104422,104422,
2014,5,100843,100843,
2014,6,92509,92509,
2014,7,95995,95995,
2014,8,98119,98119,
2014,9,97610,97610,
2014,10,104333,104333,
2014,11,108192,108192,
2014,12,122172,122172,
2015,1,134256,134256,
2015,2,110042,110042,
2015,3,113860,113860,
2015,4,104886,104886,
2015,5,102731,102731,
2015,6,94569,94569,
2015,7,99448,99448,
2015,8,101081,101081,
2015,9,98242,98242,
2015,10,107928,107928,
2015,11,106616,106616,
2015,12,116851,116851,
2016,1,124668,124668,
2016,2,114527,114527,
2016,3,116072,116072,
2016,4,105264,105264,
2016,5,103261,103261,
2016,6,95443,95443,
2016,7,99203,99203,
2016,8,103353,103353,
2016,9,100240,100240,
2016,10,109608,109608,
2016,11,113856,113856,
2016,12,122663,122663,
2017,1,134174,132053,
2017,2,116534,116435,
2017,3,120019,120075,
2017,4,108422,108099,
2017,5,106278,106714,
2017,6,97844,98073,
2017,7,102387,101959,
2017,8,103617,103865,
2017,9,100893,100942,
2017,10,110422,110214,
2017,11,115170,115476,
2017,12,124807,126528,
2018,1,137773,135504,
2018,2,122855,122425,
2018,3,120575,120693,
2018,4,108977,108670,
2018,5,106196,106810,
2018,6,98406,98435,
2018,7,106782,106271,
2018,8,105948,106193,
2018,9,104679,104345,
2018,10,112320,113111,
2018,11,114473,114654,
2018,12,123486,125371,
2019,1,140223,137787,
2019,2,117312,117286,
2019,3,118335,118182,
2019,4,112790,111894,
2019,5,110055,111119,
2019,6,101290,101386,
2019,7,105858,105655,
2019,8,110466,110475,
2019,9,106732,106823,
2019,10,113147,113257,114284
2019,11,118152,118428,119462
2019,12,126733,128806,127236
2020,1,131091,128993,132622
2020,2,116139,115554,117010
2020,3,118020,117979,119161
2020,4,112869,112407,113362
2020,5,106992,107484,108380
2020,6,99326,99551,100423
2020,7,104126,104046,104849
2020,8,111141,110646,111591
2020,9,106345,106582,107468
2020,10,116951,117144,118038
2020,11,117607,117585,118455
2020,12,132148,134677,133185
2021,1,,137354,140844
2021,2,,117636,118984
2021,3,,122396,123579
2021,4,,117084,118169
2021,5,,117556,118634
2021,6,,107722,108734
2021,7,,111291,112222
2021,8,,116822,117804
2021,9,,114716,115706
2021,10,,119767,120781
2021,11,,121856,122806
2021,12,,,134026
2022,1,,,143992
2022,2,,,138474
2022,3,,,139571
