kenmei,men,women
北海道,72.95,75.39
青森,72.03,75.02
岩手,70.93,74.28
宮城,72.91,74.74
秋田,72.43,75.67
山形,72.09,75.29
福島,71.89,74.74
茨城,72.67,75.12
栃木,73.06,75.36
群馬,73.37,75.54
埼玉,73.21,75.93
千葉,72.96,75.89
東京,72.23,75.41
神奈川,73.28,74.71
新潟,72.22,75.53
富山,72.06,75.63
石川,73.6,75.97
福井,73.16,76.01
山梨,73.47,76.16
長野,72.73,75.57
岐阜,73.09,76.2
静岡,73.75,76.68
愛知,72.91,76.07
三重,72.44,75.97
滋賀,73.19,75.82
京都,72.14,75.78
大阪,71.77,74.95
兵庫,72.05,75.11
奈良,73.0,74.76
和歌山,71.95,75.3
鳥取,72.89,74.97
島根,72.58,75.82
岡山,72.29,75.67
広島,72.13,75.85
山口,72.01,76.43
徳島,72.03,74.83
香川,72.67,75.39
愛媛,71.82,75.42
高知,71.19,75.61
福岡,72.2,75.28
佐賀,72.43,75.62
長崎,72.24,75.32
熊本,72.21,75.34
大分,72.37,75.94
宮崎,72.29,76.13
鹿児島,73.01,75.82
沖縄,71.62,74.33
