開票区名,山田太郎,山本太郎,投票者数
津市,852.675,2225.529,114275
四日市市,1258.477,2105.287,127835
伊勢市,369.954,983.085,54043
松阪市,487.878,1170.718,66858
桑名市,558.106,1186.502,59442
鈴鹿市,618.8,1450.536,81348
名張市,229.8,510.102,35177
尾鷲市,36.0,97.454,8523
亀山市,176.0,284.231,20386
鳥羽市,33.673,114.745,8361
熊野市,32.771,123.244,8552
いなべ市,114.838,340.274,20885
志摩市,101.016,373.74,21990
伊賀市,265.081,589.982,39975
木曽岬町,24.0,38.0,2857
桑名郡,24.0,38.0,2857
東員町,72.0,149.776,11764
員弁郡,72.0,149.776,11764
菰野町,130.572,353.755,18818
朝日町,35.0,84.0,4763
川越町,63.0,113.0,6232
三重郡,228.572,550.755,29813
多気町,44.396,100.704,7065
明和町,64.842,138.565,10184
大台町,22.44,71.825,5069
多気郡,131.678,311.094,22318
玉城町,44.291,113.0,6786
度会町,21.0,49.0,3827
大紀町,23.0,52.0,4911
南伊勢町,14.0,81.75,6586
度会郡,102.291,295.75,22110
紀北町,26.0,71.333,7641
北牟婁郡,26.0,71.333,7641
御浜町,21.313,48.533,4212
紀宝町,21.0,72.059,5186
南牟婁郡,42.313,120.592,9398
