開票区名,山田太郎,山本太郎,得票総数
新潟市北区,294.629,443,29584.989
新潟市東区,520.472,805.697,54204.984
新潟市中央区,830.394,1421.587,75431.982
新潟市江南区,231.587,387.887,26985.992
新潟市秋葉区,309.565,428,32629.994
新潟市南区,177.057,257.921,17426.992
新潟市西区,727.457,1118.022,66333.989
新潟市西蒲区,219.919,366.575,23871.988
新潟市,3311.08,5228.689,326470.91
長岡市,1066.59,1558.353,118011.975
三条市,426,591.569,43991.994
柏崎市,290.782,421.761,39551.987
新発田市,353.243,592.879,41521.987
小千谷市,136.468,239.782,18223.986
加茂市,101.567,158,12586.996
十日町市,173.008,330.874,27570.985
見附市,177.996,225.903,18333.993
村上市,188.74,295.378,28236.983
燕市,328.666,444.886,36067.987
糸魚川市,111.595,199.783,22821.994
妙高市,118.45,197.942,16717.991
五泉市,172.155,258.803,21685.988
上越市,82.074,1619.407,86465.979
阿賀野市,151.888,205,19554.994
佐渡市,128.755,320.415,27028.989
魚沼市,126.373,209.405,19132.988
南魚沼市,217.677,375.371,27625.987
胎内市,104.672,136.1,14072.992
聖籠町,34.245,71,5552.995
北蒲原郡,34.245,71,5552.995
弥彦村,32,53,3883.998
西蒲原郡,32,53,3883.998
田上町,31.407,75,5545.996
南蒲原郡,31.407,75,5545.996
阿賀町,30.028,30,6282.996
東蒲原郡,30.028,30,6282.996
出雲崎町,15.294,22,2327.996
三島郡,15.294,22,2327.996
湯沢町,32.524,81,3745.997
南魚沼郡,32.524,81,3745.997
津南町,40.547,56,5413.995
中魚沼郡,40.547,56,5413.995
刈羽村,11.275,17,2504.999
刈羽郡,11.275,17,2504.999
関川村,12.193,24,3275.998
粟島浦村,1,1,226
岩船郡,13.193,25,3501.998
