year,month,deaths
2015,10,2356
2015,11,2159
2015,12,2361
2016,1,2782
2016,2,2744
2016,3,2655
2016,4,2271
2016,5,2380
2016,6,2102
2016,7,2086
2016,8,2482
2016,9,2120
2016,10,2295
2016,11,2455
2016,12,2480
2017,1,3094
2017,2,2649
2017,3,2671
2017,4,2210
2017,5,2453
2015,6,2214
2017,7,2189
2017,8,2401
2017,9,2212
2017,10,2400
2017,11,2476
2017,12,2423
2018,1,3263
2018,2,2779
2018,3,2643
2018,4,2253
2018,5,2625
2018,6,2216
2018,7,2492
2018,8,2495
2018,9,2120
2018,10,2596
2018,11,2402
2018,12,2428
2019,1,3194
2019,2,2601
2019,3,2570
2019,4,2277
2019,5,2693
2019,6,2083
2019,7,2571
2019,8,2419
2019,9,2334
2019,10,2570
2019,11,2502
2019,12,2476
2020,1,3192
2020,2,2500
2020,3,2702
2020,4,2513
