1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
308,302,259,257,244,251,228,212,215,191,195,178,171,168,160,138,148,152,117,149
83,87,103,92,76,73,59,56,68,55,45,46,39,40,38,26,28,40,26,32
79,76,75,85,85,59,69,69,53,53,55,54,59,46,56,36,46,30,32,23
151,132,125,130,127,119,107,92,101,104,77,74,72,67,71,70,69,64,64,60
74,58,38,49,55,52,49,36,46,30,40,33,44,27,27,19,33,17,26,22
77,73,76,51,56,53,47,42,45,44,47,37,35,38,40,33,34,32,33,34
126,120,141,119,113,100,103,69,71,78,90,80,75,54,63,78,49,72,63,52
176,179,149,186,154,160,137,113,116,139,119,95,112,94,110,95,97,91,83,70
159,114,125,99,95,119,109,76,85,68,74,70,63,70,66,58,67,51,46,41
142,118,105,104,123,113,128,86,96,91,71,82,71,67,72,81,61,60,48,55
415,410,397,391,410,322,305,281,313,258,264,235,252,255,249,216,221,208,185,178
371,361,389,320,337,322,248,253,242,260,210,265,213,220,216,168,202,179,188,168
624,624,566,528,586,503,521,461,478,455,458,421,424,396,400,398,388,368,402,373
492,513,521,460,446,414,386,397,397,359,357,379,379,325,304,281,274,290,258,259
134,137,146,125,123,99,129,94,100,84,82,72,85,76,67,66,78,61,59,51
53,61,60,48,50,45,51,36,61,42,35,43,33,37,39,37,37,38,29,22
68,68,68,59,66,54,68,52,52,36,62,38,54,49,36,34,25,47,24,32
61,48,60,43,36,42,36,29,31,30,32,20,20,38,31,28,28,28,26,17
72,58,65,46,61,50,41,32,26,21,22,29,28,29,23,26,20,17,15,24
131,132,111,99,77,100,97,91,83,74,74,64,62,49,61,59,49,47,56,52
129,140,112,117,162,98,96,105,99,86,87,83,65,73,69,58,70,56,55,54
195,229,201,165,183,198,178,161,136,148,156,110,134,132,104,117,121,105,115,85
443,444,424,389,386,346,316,333,297,312,313,311,281,262,261,260,231,253,237,199
125,110,105,100,109,66,55,76,83,70,82,53,67,67,62,59,60,53,75,45
83,80,96,79,67,70,74,73,84,69,72,53,77,58,51,57,47,57,29,37
147,137,137,122,104,137,134,108,90,86,80,77,97,83,77,95,71,86,70,48
529,459,486,420,399,409,381,341,334,326,310,292,303,305,290,261,248,230,239,196
272,277,288,307,242,285,214,228,192,222,176,189,175,169,156,143,142,144,120,120
100,64,67,82,76,48,62,60,71,48,61,56,42,53,35,45,37,51,35,42
66,56,51,44,44,52,41,35,37,41,32,39,34,26,30,24,28,17,20,22
36,21,21,26,15,23,30,34,24,20,15,20,29,14,25,13,20,24,23,11
43,43,32,40,26,29,24,31,24,31,22,26,23,13,19,20,17,14,17,13
116,99,77,108,90,64,59,70,73,56,69,67,59,58,55,56,45,55,61,55
142,143,130,141,119,118,113,105,92,87,105,112,100,95,100,81,71,80,84,77
87,86,71,64,75,56,58,43,60,44,51,46,46,49,36,32,41,44,43,38
52,46,41,39,34,32,37,34,26,24,26,24,26,27,25,25,22,21,18,18
50,42,48,44,48,35,44,43,38,37,34,29,37,26,41,18,17,26,19,21
81,71,68,73,59,58,52,72,45,62,45,54,39,54,41,50,39,27,31,49
40,33,37,36,34,35,40,32,30,40,26,18,19,30,24,26,15,18,14,18
325,270,251,247,241,240,212,209,177,202,201,186,200,202,194,157,170,177,149,163
53,48,50,49,43,25,42,27,29,27,28,24,35,34,18,28,26,24,17,22
91,79,85,75,66,70,69,57,59,71,42,51,53,56,46,43,42,34,46,34
92,97,90,97,90,88,67,68,74,61,65,57,56,50,49,46,44,44,48,60
64,64,64,56,62,55,46,37,53,33,52,46,52,43,36,42,31,48,32,33
74,43,54,60,70,46,32,36,37,44,42,37,31,44,31,31,26,33,31,22
93,94,92,79,62,90,66,60,68,76,53,60,67,69,51,48,47,58,42,46
115,146,116,117,99,99,78,90,83,106,58,80,70,73,73,77,65,55,63,62
