Age,Male,Female
0,425174,406650
1,443318,423207
2,465785,444220
3,477647,456416
4,499265,474400
5,511421,487243
6,511271,485305
7,522070,498587
8,524058,500267
9,537831,511040
10,542356,515380
11,545009,518176
12,554827,528286
13,552460,524919
14,547479,521625
15,549189,521181
16,571502,541657
17,577524,545713
18,590473,560916
19,591341,567944
20,599122,577927
21,595722,578734
22,607438,586497
23,607959,586024
24,607628,584255
25,616283,594097
26,617665,594502
27,608393,584368
28,617037,592946
29,614709,591964
30,627959,606266
31,639989,618786
32,661486,638083
33,678489,657183
34,689108,667245
35,712613,695106
36,737068,719706
37,746200,730322
38,746742,732178
39,754232,737400
40,787456,770853
41,807174,789164
42,836725,820244
43,858743,840905
44,899348,880465
45,934925,917469
46,987951,968651
47,1001876,989261
48,984614,969591
49,953624,942331
50,923018,914413
51,906390,901504
52,884012,880203
53,880302,878653
54,683281,688075
55,842548,846742
56,788824,794086
57,767258,774759
58,741565,750382
59,725108,736210
60,726778,742894
61,738473,756022
62,713490,736792
63,691447,716293
64,722715,752286
65,741752,774689
66,736356,775762
67,773688,825151
68,809590,870265
69,848674,919341
70,898630,987530
71,974111,1078410
72,949118,1065025
73,888828,1004558
74,538599,626986
75,561533,673299
76,670027,818265
77,632854,783717
78,632702,797760
79,595744,765027
80,519332,686726
81,431327,586308
82,434337,614410
83,420044,615013
84,391053,598178
85,341010,552744
86,292041,502121
87,260360,478789
88,224083,438169
89,185979,394527
90,150062,343762
91,121414,303628
92,96135,262251
93,70704,206909
94,52988,171163
95,36610,133378
96,24062,98995
97,15354,74721
98,9835,55062
99,6249,38458
100,4166,27866
101,2144,14968
102,1378,10477
103,880,6424
104,483,4222
105,275,2549
106,223,1501
107,128,930
108,61,496
109,27,184
110,1,140
NA,1591143,1340695
