年,総数,男性,女性
1978,20788,12859,7929
1979,21503,13386,8117
1980,21048,13155,7893
1981,20434,12942,7492
1982,21228,13654,7574
1983,25202,17116,8086
1984,24596,16508,8088
1985,23599,15624,7975
1986,25524,16497,9027
1987,24460,15802,8658
1988,23742,14934,8808
1989,22436,13818,8618
1990,21346,13102,8244
1991,21084,13242,7842
1992,22104,14296,7808
1993,21851,14468,7383
1994,21679,14560,7119
1995,22445,14874,7571
1996,23104,15393,7711
1997,24391,16416,7975
1998,32863,23013,9850
1999,33048,23512,9536
2000,31957,22727,9230
2001,31042,22144,8898
2002,32143,23080,9063
2003,34427,24963,9464
2004,32325,23272,9053
2005,32552,23540,9012
2006,32155,22813,9342
2007,33093,23478,9615
2008,32249,22831,9418
2009,32845,23472,9373
2010,31690,22283,9407
2011,30651,20955,9696
2012,27858,19273,8585
2013,27283,18787,8496
2014,25427,17386,8041
2015,24025,16681,7344
2016,21897,15121,6776
2017,21321,14826,6495
2018,20840,14290,6550
2019,20169,14078,6091
2020,21081,14055,7026
2021,21007,13939,7068
