year,month,deaths
2010,1,10150
2010,2,8701
2010,3,9407
2010,4,8598
2010,5,8243
2010,6,8158
2010,7,8304
2010,8,8770
2010,9,8181
2010,10,7893
2010,11,9202
2010,12,8650
2011,1,11007
2011,2,8850
2011,3,9490
2011,4,8370
2011,5,8973
2011,6,8404
2011,7,7824
2011,8,8925
2011,9,8074
2011,10,8437
2011,11,8692
2011,12,8868
2012,1,11319
2012,2,9967
2012,3,9582
2012,4,8431
2012,5,9348
2012,6,7821
2012,7,8197
2012,8,8837
2012,9,7650
2012,10,9412
2012,11,9665
2012,12,9422
2013,1,12208
2013,2,9823
2013,3,9290
2013,4,9310
2013,5,9497
2013,6,7512
2013,7,9347
2013,8,8710
2013,9,8137
2013,10,9654
2013,11,9444
2013,12,9299
2014,1,12123
2014,2,9519
2014,3,9642
2014,4,9404
2014,5,8754
2014,6,8178
2014,7,8734
2014,8,8499
2014,9,8972
2014,10,9311
2014,11,8803
2014,12,9587
2015,1,13116
2015,2,9679
2015,3,9879
2015,4,9040
2015,5,8641
2015,6,8431
2015,7,8972
2015,8,8817
2015,9,8532
2015,10,9516
2015,11,9161
2015,12,9426
2016,1,10964
2016,2,10318
2016,3,10277
2016,4,8779
2016,5,9506
2016,6,8760
2016,7,8150
2016,8,9502
2016,9,8918
2016,10,9497
2016,11,10041
2016,12,9866
2017,1,12418
2017,2,10207
2017,3,10400
2017,4,9118
2017,5,9797
2017,6,8864
2017,7,8596
2017,8,9447
2017,9,8892
2017,10,9858
2017,11,9959
2017,12,10007
2018,1,12696
2018,2,10960
2018,3,10535
2018,4,8891
2018,5,10130
2018,6,8688
2018,7,9455
2018,8,10072
2018,9,8550
2018,10,10519
2018,11,10107
2018,12,9854
2019,1,12995
2019,2,10924
2019,3,10266
2019,4,9418
2019,5,10751
2019,6,8293
2019,7,9644
2019,8,9707
2019,9,9358
2019,10,10413
2019,11,9887
2019,12,10192
2020,1,12697
2020,2,9715
2020,3,10694
2020,4,10107
2020,5,9316
