"b","lambda2"
0,3.092
0.01,3.082
0.02,3.072
0.03,3.062
0.04,3.052
0.05,3.042
0.06,3.032
0.07,3.022
0.08,3.012
0.09,3.002
0.1,2.992
0.11,2.982
0.12,2.972
0.13,2.962
0.14,2.952
0.15,2.942
0.16,2.932
0.17,2.922
0.18,2.912
0.19,2.902
0.2,2.892
0.21,2.882
0.22,2.872
0.23,2.862
0.24,2.852
0.25,2.842
0.26,2.832
0.27,2.822
0.28,2.812
0.29,2.802
0.3,2.792
0.31,2.782
0.32,2.772
0.33,2.762
0.34,2.752
0.35,2.742
0.36,2.732
0.37,2.722
0.38,2.712
0.39,2.702
0.4,2.693
0.41,2.687
0.42,2.681
0.43,2.675
0.44,2.669
0.45,2.663
0.46,2.657
0.47,2.651
0.48,2.645
0.49,2.638
0.5,2.632
0.51,2.626
0.52,2.62
0.53,2.614
0.54,2.608
0.55,2.602
0.56,2.596
0.57,2.59
0.58,2.584
0.59,2.578
0.6,2.572
0.61,2.566
0.62,2.56
0.63,2.554
0.64,2.548
0.65,2.542
0.66,2.536
0.67,2.53
0.68,2.524
0.69,2.518
0.7,2.512
0.71,2.506
0.72,2.5
0.73,2.494
0.74,2.488
0.75,2.482
0.76,2.476
0.77,2.47
0.78,2.464
0.79,2.458
0.8,2.452
0.81,2.446
0.82,2.44
0.83,2.434
0.84,2.428
0.85,2.422
0.86,2.417
0.87,2.411
0.88,2.405
0.89,2.399
0.9,2.393
0.91,2.387
0.92,2.381
0.93,2.375
0.94,2.369
0.95,2.364
0.96,2.358
0.97,2.352
0.98,2.346
0.99,2.34
1,2.334
1.01,2.329
1.02,2.323
1.03,2.317
1.04,2.311
1.05,2.305
1.06,2.3
1.07,2.294
1.08,2.288
1.09,2.282
1.1,2.276
1.11,2.271
1.12,2.265
1.13,2.259
1.14,2.253
1.15,2.248
1.16,2.242
1.17,2.236
1.18,2.23
1.19,2.225
1.2,2.219
1.21,2.213
1.22,2.207
1.23,2.202
1.24,2.196
1.25,2.19
1.26,2.185
1.27,2.179
1.28,2.173
1.29,2.168
1.3,2.162
1.31,2.156
1.32,2.15
1.33,2.145
1.34,2.139
1.35,2.134
1.36,2.128
1.37,2.122
1.38,2.117
1.39,2.111
1.4,2.105
1.41,2.1
1.42,2.094
1.43,2.089
1.44,2.083
1.45,2.077
1.46,2.072
1.47,2.066
1.48,2.061
1.49,2.055
1.5,2.049
1.51,2.044
1.52,2.038
1.53,2.033
1.54,2.027
1.55,2.022
1.56,2.016
1.57,2.011
1.58,2.005
1.59,2
1.6,1.994
1.61,1.989
1.62,1.983
1.63,1.978
1.64,1.972
1.65,1.967
1.66,1.961
1.67,1.956
1.68,1.95
1.69,1.945
1.7,1.939
1.71,1.934
1.72,1.928
1.73,1.923
1.74,1.918
1.75,1.912
1.76,1.907
1.77,1.901
1.78,1.896
1.79,1.891
1.8,1.885
1.81,1.88
1.82,1.874
1.83,1.869
1.84,1.864
1.85,1.858
1.86,1.853
1.87,1.848
1.88,1.842
1.89,1.837
1.9,1.831
1.91,1.826
1.92,1.821
1.93,1.816
1.94,1.81
1.95,1.805
1.96,1.8
1.97,1.794
1.98,1.789
1.99,1.784
2,1.778
2.01,1.773
2.02,1.768
2.03,1.763
2.04,1.757
2.05,1.752
2.06,1.747
2.07,1.742
2.08,1.736
2.09,1.731
2.1,1.726
2.11,1.721
2.12,1.716
2.13,1.71
2.14,1.705
2.15,1.7
2.16,1.695
2.17,1.69
2.18,1.684
2.19,1.679
2.2,1.674
2.21,1.669
2.22,1.664
2.23,1.659
2.24,1.654
2.25,1.648
2.26,1.643
2.27,1.638
2.28,1.633
2.29,1.628
2.3,1.623
2.31,1.618
2.32,1.613
2.33,1.608
2.34,1.602
2.35,1.597
2.36,1.592
2.37,1.587
2.38,1.582
2.39,1.577
2.4,1.572
2.41,1.567
2.42,1.562
2.43,1.557
2.44,1.552
2.45,1.547
2.46,1.542
2.47,1.537
2.48,1.532
2.49,1.527
2.5,1.522
2.51,1.517
2.52,1.512
2.53,1.507
2.54,1.502
2.55,1.497
2.56,1.492
2.57,1.488
2.58,1.483
2.59,1.478
2.6,1.473
2.61,1.468
2.62,1.463
2.63,1.458
2.64,1.453
2.65,1.448
2.66,1.443
2.67,1.439
2.68,1.434
2.69,1.774
2.7,1.769
2.71,1.764
2.72,1.759
2.73,1.754
2.74,1.749
2.75,1.744
2.76,1.739
2.77,1.734
2.78,1.729
2.79,1.724
2.8,1.719
2.81,1.714
2.82,1.709
2.83,1.704
2.84,1.699
2.85,1.694
2.86,1.689
2.87,1.684
2.88,1.679
2.89,1.674
2.9,1.669
2.91,1.664
2.92,1.659
2.93,1.654
2.94,1.65
2.95,1.645
2.96,1.64
2.97,1.635
2.98,1.63
2.99,1.625
3,1.62
3.01,1.615
3.02,1.611
3.03,1.606
3.04,1.601
3.05,1.596
3.06,1.591
3.07,1.586
3.08,1.582
3.09,1.577
3.1,1.572
3.11,1.567
3.12,1.562
3.13,1.557
3.14,1.553
3.15,1.548
3.16,1.543
3.17,1.538
3.18,1.534
3.19,1.529
3.2,1.524
3.21,1.519
3.22,1.515
3.23,1.51
3.24,1.505
3.25,1.5
3.26,1.496
3.27,1.491
3.28,1.486
3.29,1.482
3.3,1.477
3.31,1.472
3.32,1.468
3.33,1.463
3.34,1.458
3.35,1.453
3.36,1.449
3.37,1.444
3.38,1.44
3.39,1.435
3.4,1.43
3.41,1.426
3.42,1.421
3.43,1.416
3.44,1.412
3.45,1.407
3.46,1.403
3.47,1.398
3.48,1.393
3.49,1.389
3.5,1.384
3.51,1.38
3.52,1.375
3.53,1.371
3.54,1.366
3.55,1.361
3.56,1.357
3.57,1.352
3.58,1.348
3.59,1.343
3.6,1.339
3.61,1.334
3.62,1.33
3.63,1.325
3.64,1.321
3.65,1.316
3.66,1.312
3.67,1.307
3.68,1.303
3.69,1.298
3.7,1.625
3.71,1.621
3.72,1.616
3.73,1.611
3.74,1.607
3.75,1.602
3.76,1.597
3.77,1.593
3.78,1.588
3.79,1.584
3.8,1.579
3.81,1.574
3.82,1.57
3.83,1.565
3.84,1.561
3.85,1.556
3.86,1.551
3.87,1.547
3.88,1.542
3.89,1.538
3.9,1.533
3.91,1.528
3.92,1.524
3.93,1.519
3.94,1.515
3.95,1.51
3.96,1.506
3.97,1.501
3.98,1.497
3.99,1.492
4,1.488
4.01,1.483
4.02,1.479
4.03,1.474
4.04,1.47
4.05,1.465
4.06,1.461
4.07,1.456
4.08,1.452
4.09,1.447
4.1,1.443
4.11,1.438
4.12,1.434
4.13,1.429
4.14,1.425
4.15,1.421
4.16,1.416
4.17,1.412
4.18,1.407
4.19,1.403
4.2,1.398
4.21,1.394
4.22,1.39
4.23,1.385
4.24,1.381
4.25,1.377
4.26,1.372
4.27,1.368
4.28,1.363
4.29,1.359
4.3,1.355
4.31,1.35
4.32,1.346
4.33,1.342
4.34,1.337
4.35,1.333
4.36,1.329
4.37,1.324
4.38,1.32
4.39,1.316
4.4,1.312
4.41,1.307
4.42,1.303
4.43,1.299
4.44,1.294
4.45,1.29
4.46,1.286
4.47,1.282
4.48,1.277
4.49,1.273
4.5,1.269
4.51,1.265
4.52,1.261
4.53,1.256
4.54,1.252
4.55,1.248
4.56,1.565
4.57,1.56
4.58,1.556
4.59,1.552
4.6,1.547
4.61,1.543
4.62,1.538
4.63,1.534
4.64,1.53
4.65,1.525
4.66,1.521
4.67,1.516
4.68,1.512
4.69,1.508
4.7,1.503
4.71,1.499
4.72,1.495
4.73,1.49
4.74,1.486
4.75,1.482
4.76,1.477
4.77,1.473
4.78,1.469
4.79,1.464
4.8,1.46
4.81,1.456
4.82,1.451
4.83,1.447
4.84,1.443
4.85,1.439
4.86,1.434
4.87,1.43
4.88,1.426
4.89,1.421
4.9,1.417
4.91,1.413
4.92,1.409
4.93,1.404
4.94,1.4
4.95,1.396
4.96,1.392
4.97,1.387
4.98,1.383
4.99,1.379
5,1.375
