# 週刊文春 2011-09-01 p.29
# 108検体のうちLB200で50Bq/kg以上出た36検体
# LB200測定結果：検体量（g），数値（Bq/kg），誤差（Bq/kg）
# 第三者機関の測定結果：I-131，Cs-134，Cs-137（NDは0と入力）
品目,LB200_g,LB200_Bq_kg,LB200_err,I131,Cs134,Cs137
茶,300,391,40,0,167,187
茶,100,51,35,0,0,0
チンゲン菜,400,50,33,0,0,0
マッシュルーム,298,53,33,0,0,0
デラウェア（ぶどう）,500,53,36,0,0,0
じゃがいも,490,56,33,0,0,0
さつまいも,450,52,34,0,0,0
桃,500,100,36,0,12,24
しょうが,210,50,36,0,0,0
生しいたけ,100,51,36,0,0,0
茶,100,120,34,0,104,121
ティーバッグ緑茶,100,59,33,0,0,0
イワシ,295,89,33,0,6,7
キハチマグロ,500,52,32,0,0,0
牛肉,450,69,33,0,0,0
豚肉,500,61,33,0,0,0
焼肉用カルビ,498,464,38,0,107,139
桃（中）,500,111,36,0,28,23
桃（大）,500,78,36,0,13,10
南瓜,500,63,32,0,0,0
桃,500,78,32,0,0,0
もやし,500,70,32,0,0,0
南瓜,500,71,32,0,0,0
真アジ,470,70,35,0,0,0
ゴマサバ,500,53,34,0,0,0
カマス,425,62,34,0,0,0
イワシ丸干し,500,81,34,0,0,0
牛肉,500,62,35,0,0,0
豚肉,500,60,35,0,0,0
豚肉,500,50,34,0,0,0
桃,500,97,35,0,0,18
真イワシ（刺身用）,500,76,31,0,1,2
カツオ（刺身用）,500,108,32,0,0,0
生シラス,290,76,31,0,0,0
ブルーベリー,500,105,32,0,12,14
キャベツ,450,67,31,0,0,0
