# 週刊文春 2011-10-27 p.167
# 45検体のうちLB200で60Bq/kg以上出た検体
# LB200測定結果：検体量（g），数値（Bq/kg），誤差（Bq/kg）
# 第三者機関の測定結果：I-131，Cs-134，Cs-137（NDは0と入力）
品目,LB200_Bq_kg,LB200_err,I131,Cs134,Cs137
平子イワシ,62,24,0,0,0
生スルメイカ,101,24,0,0,0
マグロかま,67,22,0,0,4
生スルメイカ,95,25,0,0,0
生カツオ,62,22,0,8,12
真ダラ,69,22,0,0,0
天然ブリ切り身,76,22,0,8,10
ゴマサバ,60,24,0,0,0
生スルメイカ,64,24,0,0,0
生スルメイカ,77,25,0,0,0
真イワシ,60,24,0,0,4
刺身用戻りガツオ,61,24,0,0,6
イシモチ,70,30,0,0,4
真イワシ,64,30,0,0,0
スズキ,61,24,0,5,9
アナゴ,79,24,0,6,7
マゴガレイ,99,25,0,5,5
ヤナギガレイ,114,25,0,5,7
開アナゴ,72,24,0,5,5
タイ,81,24,0,0,0
アワビ,82,24,0,0,0
牡蠣,93,25,0,0,0
カンパチ,156,25,0,24,26
サルエビ,64,24,0,0,0
サルエビ,103,24,0,0,0
イワシクジラ,75,24,0,0,0
真ダイ,116,24,0,8,11
イナダ,88,24,0,8,11
カツオ,62,24,0,7,5
ヒラメ,261,24,0,49,54
マグロ,67,24,0,0,8
マグロ,63,24,0,5,6
シラウオ,65,24,0,10,12
メジマグロ,104,25,0,13,19
赤ムツ,74,24,0,8,11
ヒラメ,97,24,0,12,17
タイ,95,23,0,15,14
シジミ,64,23,0,0,0
メヒカリ,78,24,0,9,11
スズキ,160,24,0,31,31
ヤナギガレイ,112,24,0,8,12
タチウオ,95,25,0,0,0
アイナメ,80,25,0,0,0
