lat,lon,uSv_h
35.769775,139.998947,0.12
35.767548,139.998520,0.12
35.765755,139.998138,0.12
35.771873,139.999390,0.15
35.769497,140.001801,0.12
35.768063,140.003220,0.11
35.766918,140.004883,0.11
35.765198,140.007050,0.11
35.764046,139.998093,0.12
35.766727,140.002945,0.11
35.767128,140.000290,0.12
35.773090,140.002121,0.13
35.772209,140.001724,0.12
35.772831,139.998444,0.14
35.773792,139.997238,0.14
35.775398,139.994720,0.14
35.776253,139.992508,0.12
35.776707,139.991348,0.14
35.775616,140.008072,0.15
35.777454,140.007645,0.18
35.777687,140.008911,0.11
35.778465,140.007874,0.17
35.778934,140.007095,0.15
35.780666,140.005997,0.15
35.775555,140.004074,0.13
35.779716,140.004288,0.15
35.779949,140.002090,0.15
35.762810,139.998474,0.11
35.782421,140.004974,0.12
35.762619,139.999588,0.09
35.781673,140.003937,0.13
35.763756,140.000626,0.10
35.781483,140.002350,0.13
35.781467,140.000351,0.13
35.778191,140.001968,0.19
35.761662,140.004700,0.15
35.765476,140.003769,0.10
35.778461,140.005341,0.13
35.760792,140.004684,0.15
35.776966,140.005386,0.14
35.781754,140.008270,0.17
35.780472,140.010178,0.15
35.780567,140.013504,0.16
35.763664,140.006073,0.12
35.763641,140.008896,0.13
35.762264,140.010651,0.13
35.776352,140.012741,0.12
35.772511,139.993866,0.14
35.778507,140.011444,0.15
35.774223,139.990021,0.16
35.773064,139.989059,0.16
35.774658,140.008179,0.17
35.775471,139.992203,0.16
35.772041,139.990570,0.17
35.775574,140.005585,0.12
35.774780,140.005875,0.13
35.774235,140.011841,0.15
35.772816,140.008301,0.17
35.771229,140.008392,0.16
35.771961,140.010864,0.11
35.770584,140.010284,0.09
35.768894,140.009537,0.14
35.755489,140.008789,0.09
35.754898,140.010696,0.11
35.755146,140.008102,0.12
35.755543,140.006805,0.11
35.756878,140.008667,0.14
35.769215,139.993362,0.13
35.755913,140.011444,0.14
35.757076,140.006760,0.12
35.768856,139.992401,0.11
35.757187,140.005432,0.12
35.758564,140.005127,0.12
35.756325,139.985657,0.12
35.767582,139.992722,0.11
35.757988,139.984344,0.13
35.766571,139.991791,0.11
35.765614,139.991135,0.12
35.758118,139.982437,0.14
35.759197,140.006989,0.12
35.758316,139.980698,0.16
35.764091,139.992264,0.08
35.759747,140.008713,0.12
35.758327,139.979904,0.12
35.763748,139.993301,0.12
35.760307,140.011139,0.12
35.760342,140.004745,0.16
35.762779,139.993088,0.13
35.761559,139.995148,0.14
35.757778,140.009186,0.12
35.759808,139.985718,0.13
35.758110,140.012894,0.12
35.757492,140.014587,0.12
35.762218,139.995926,0.11
35.756100,140.016891,0.17
35.763264,139.996399,0.11
35.759148,139.987732,0.12
35.763645,139.994934,0.11
35.759426,139.988754,0.11
35.755165,140.014664,0.13
35.764622,139.995392,0.17
35.759007,139.989838,0.11
35.753452,140.013077,0.11
35.754078,140.012024,0.11
35.765087,139.997269,0.14
35.760345,139.990845,0.12
35.754017,140.007980,0.11
35.753296,140.007767,0.10
35.765842,139.989792,0.11
35.758640,139.992233,0.11
35.753086,140.009567,0.10
35.767879,139.990555,0.09
35.751892,140.008987,0.13
35.766415,139.988312,0.14
35.753353,140.005981,0.11
35.765003,139.987305,0.14
35.752026,140.011673,0.11
35.750221,140.010849,0.11
35.764076,139.991364,0.12
35.760071,139.994232,0.12
35.762409,139.987885,0.12
35.759060,139.993668,0.12
35.762325,139.985733,0.12
35.761749,139.983826,0.12
35.755836,139.986496,0.12
35.763161,139.985367,0.09
35.790310,140.004868,0.12
35.754913,139.987900,0.11
35.768646,139.983231,0.15
35.755409,139.989624,0.11
35.755844,139.990509,0.09
35.769234,139.986221,0.14
35.792500,140.005127,0.15
35.771950,139.988068,0.13
35.791737,140.004837,0.15
35.792233,140.002640,0.16
35.756607,139.991608,0.11
35.770855,139.986008,0.12
35.794353,140.006073,0.14
35.772335,139.985214,0.14
35.795418,140.004074,0.17
35.774403,139.986313,0.13
35.776043,139.984482,0.12
35.794117,140.002914,0.15
35.775711,139.991074,0.16
35.798237,140.005447,0.12
35.797985,140.002457,0.12
35.783356,139.996872,0.18
35.757214,139.992203,0.09
35.800117,140.002792,0.14
35.753826,139.984528,0.13
35.784451,139.996826,0.15
35.785374,139.997894,0.17
35.799637,140.000885,0.17
35.756596,139.980255,0.16
35.786263,139.998825,0.15
35.799641,139.998795,0.13
35.786942,139.997986,0.15
35.798172,139.997849,0.15
35.786835,139.996841,0.16
35.786175,139.995789,0.10
35.797466,139.999664,0.12
35.784054,139.993469,0.14
35.755436,139.979874,0.13
35.788551,140.005035,0.14
35.783581,139.994156,0.16
35.754742,139.980972,0.09
35.788750,140.002121,0.14
35.787651,140.003464,0.14
35.786491,139.992065,0.10
35.754173,139.983368,0.13
35.787819,140.007980,0.18
35.788227,139.991165,0.11
35.752739,139.984238,0.11
35.786583,140.009857,0.15
35.786880,140.002411,0.14
35.786568,139.987823,0.16
35.753250,139.983154,0.13
35.786018,140.001114,0.15
35.785740,139.989700,0.15
35.750839,139.984756,0.13
35.748802,139.985519,0.12
35.784451,140.009750,0.14
35.784836,139.991760,0.17
35.786156,140.012466,0.14
35.786549,140.014572,0.13
35.780918,139.993866,0.14
35.755585,139.977295,0.09
35.786549,140.015915,0.12
35.784592,140.015747,0.12
35.755836,139.978729,0.09
35.789547,140.016647,0.12
35.790825,140.017014,0.11
35.778057,139.992004,0.13
35.757172,139.979446,0.12
35.793869,140.017960,0.14
35.779976,139.990860,0.14
35.755943,139.972229,0.12
35.755966,139.975143,0.13
35.793163,140.021240,0.13
35.791962,140.023895,0.15
35.781925,139.989258,0.15
35.783825,139.987427,0.15
35.753597,139.976578,0.10
35.794666,140.021576,0.13
35.751713,139.976395,0.10
35.796452,140.025528,0.13
35.749813,139.975510,0.11
35.798656,140.027908,0.13
35.759125,139.979919,0.18
35.761635,139.980438,0.17
35.765442,139.980850,0.17
35.768383,139.983276,0.15
35.762905,139.982422,0.18
35.762211,139.983749,0.19
35.760906,139.983093,0.19
35.762070,139.988007,0.12
35.752453,140.000137,0.12
35.763611,139.989655,0.09
35.750141,140.001541,0.09
35.751431,139.998795,0.12
35.771046,140.014923,0.13
35.770245,140.013458,0.15
35.768024,140.009048,0.14
35.771793,140.016388,0.12
35.771046,140.013077,0.11
35.752571,139.998734,0.12
35.771778,140.013657,0.12
35.773129,140.014633,0.12
35.773808,139.991531,0.17
35.774963,140.016037,0.13
35.753181,140.001328,0.10
35.776253,140.016693,0.13
35.771336,139.990082,0.13
35.769115,139.989288,0.13
35.785610,139.985504,0.16
35.785183,139.984436,0.12
35.775955,140.014786,0.11
35.784435,139.982483,0.13
35.783772,139.980881,0.21
35.784836,139.979614,0.20
35.780308,140.014435,0.14
35.782711,139.978241,0.17
35.777489,140.015457,0.11
35.783207,139.976105,0.15
35.783703,139.974960,0.17
35.779976,140.016724,0.13
35.783745,139.972092,0.14
35.783684,139.969452,0.14
35.774426,140.014160,0.12
35.782326,139.970291,0.14
35.782387,139.973801,0.15
35.774223,140.011841,0.15
35.780926,139.970322,0.14
35.780987,139.972855,0.15
35.769958,140.009964,0.09
35.779568,139.972244,0.15
35.779804,139.973999,0.15
35.780899,139.975601,0.15
35.779594,139.979416,0.13
35.766407,140.005524,0.11
35.765972,140.007736,0.11
35.778774,139.981934,0.13
35.777855,139.984680,0.12
35.779648,139.985336,0.15
35.780750,139.984085,0.15
35.778107,139.987595,0.13
35.764336,140.008041,0.13
35.777287,139.989731,0.13
35.779854,139.989136,0.09
35.763107,140.009598,0.13
35.766422,140.010361,0.12
35.780960,139.988464,0.15
35.765606,140.011307,0.11
35.765015,140.012024,0.12
35.782589,139.988571,0.12
35.763657,140.011826,0.13
35.783512,139.985733,0.12
35.764439,140.012787,0.13
35.761974,140.012131,0.12
35.784653,139.986481,0.15
35.763134,140.013428,0.13
35.780891,139.990311,0.13
35.782337,139.991669,0.14
35.762482,140.014557,0.12
35.783077,139.988098,0.15
35.761219,140.014191,0.10
35.781300,139.985748,0.14
35.781578,139.983261,0.15
35.764187,140.015289,0.12
35.766258,140.014450,0.12
35.782475,139.982300,0.15
35.768520,140.014694,0.13
35.766571,140.016357,0.11
35.763474,140.016068,0.14
35.765701,140.019394,0.12
35.752659,140.003464,0.10
35.764744,140.017853,0.16
35.761383,140.016968,0.15
35.761806,140.018646,0.15
35.762020,140.020157,0.15
35.762177,140.021713,0.15
35.761959,140.023438,0.15
35.753372,140.002319,0.11
35.752605,140.003571,0.10
35.751366,140.002563,0.09
35.749352,140.001144,0.09
35.748619,139.998764,0.11
35.750851,139.998825,0.12
35.754662,139.998734,0.12
35.755184,140.000198,0.09
35.755295,140.002319,0.11
35.750397,140.004349,0.11
35.749481,140.003510,0.11
35.748131,139.999741,0.10
35.747368,139.998245,0.10
35.755951,139.998672,0.10
35.757133,139.998627,0.14
35.757366,140.000366,0.10
35.757378,140.002121,0.10
35.756969,140.003845,0.12
35.755531,140.005630,0.11
35.754124,140.004761,0.10
35.750046,140.007828,0.13
35.749210,140.007019,0.11
35.747967,140.005219,0.12
35.746792,140.003845,0.11
35.743397,139.998093,0.12
35.745224,139.997574,0.09
35.744099,140.000137,0.11
35.744877,140.001465,0.11
35.747940,140.002121,0.11
35.748379,140.008575,0.11
35.746044,140.007187,0.11
