ìyèÎçÃéÊÇµÇΩÉÅÉbÉVÉÖÇÃID,ìyèÎçÃéÊâ”èäÇÃésí¨ë∫,à‹ìx_ìx,à‹ìx_ï™,à‹ìx_ïb,à‹ìx_10êi,åoìx_ìx,åoìx_ï™,åoìx_ïb,åoìx_10êi,Cs134_Bq_m2,Cs137_Bq_m2,ãÛä‘ê¸ó ó¶É Sv_h
028N040,ïüìáés,37,39,24.6,37.656833,140,32,21.2,140.539222,147826,163868,1.00
028N042,ïüìáés,37,39,40.8,37.661333,140,30,45.3,140.512583,213340,228086,1.33
028N044,ïüìáés,37,39,20.7,37.655750,140,28,40.2,140.477833,125985,133982,0.70
028N046,ïüìáés,37,39,31.4,37.658722,140,27,31.4,140.458722,76932,85364,0.87
028N050,ïüìáés,37,39,51.1,37.664194,140,25,14.7,140.420750,282864,312388,0.85
028N054,ïüìáés,37,39,13.4,37.653722,140,22,9.8,140.369389,88732,93975,0.46
028N056,ïüìáés,37,39,20.3,37.655639,140,20,5.3,140.334806,30116,32639,0.31
030N040,ïüìáés,37,40,18.2,37.671722,140,31,44.5,140.529028,113607,125416,1.20
030N042,ïüìáés,37,40,56.9,37.682472,140,30,56.3,140.515639,134606,148676,1.00
030N044,ïüìáés,37,40,19.9,37.672194,140,28,57.2,140.482556,110226,114552,0.99
030N046,ïüìáés,37,40,40.5,37.677917,140,27,57.3,140.465917,217531,244117,1.07
030N048,ïüìáés,37,40,39.8,37.677731,140,26,40.4,140.444565,180347,191462,1.10
030N050,ïüìáés,37,40,25.2,37.673665,140,24,37.8,140.410488,23645,25425,0.41
030N052,ïüìáés,37,40,11.8,37.669944,140,22,58.7,140.382972,89329,98049,0.58
030N054,ïüìáés,37,40,48.2,37.680050,140,21,22.2,140.356157,63241,66903,0.36
030N056,ïüìáés,37,40,55.5,37.682083,140,19,36.8,140.326889,26687,29902,0.21
030N062,ïüìáés,37,40,8.4,37.669000,140,15,39.8,140.261056,29084,32758,0.33
032N042,ïüìáés,37,41,4.4,37.684556,140,30,58.5,140.516250,194027,213306,1.30
032N044,ïüìáés,37,41,25.7,37.690472,140,29,16.8,140.488000,174579,189880,1.35
032N046,ïüìáés,37,41,1.3,37.683703,140,28,12.0,140.470013,89732,100579,1.16
032N048,ïüìáés,37,41,43.3,37.695361,140,26,43.6,140.445444,237901,248567,1.62
