番号,設置形態,大学名,男2018,女2018,比2018,男2017,女2017,比2017,男2016,女2016,比2016,男2015,女2015,比2015,男2014,女2014,比2014,男2013,女2013,比2013,男,女,比
1,国立,北海道大学,34.25,22.08,1.55,30.89,30.99,1.00,29.32,23.81,1.23,36.94,29.41,1.26,32.68,25.00,1.31,30.99,31.46,0.99,32.40,26.95,1.20
2,国立,旭川医科大学,14.20,13.33,1.07,14.34,19.71,0.73,16.82,18.44,0.91,15.04,19.57,0.77,15.90,13.73,1.16,14.91,15.18,0.98,15.16,16.49,0.92
3,国立,弘前大学,18.50,21.46,0.86,16.78,24.80,0.68,10.87,14.01,0.78,12.29,14.39,0.85,10.81,16.21,0.67,11.68,13.31,0.88,12.67,16.93,0.75
4,国立,東北大学,33.13,33.33,0.99,38.78,34.33,1.13,37.89,39.73,0.95,39.60,28.99,1.37,37.75,38.46,0.98,40.48,25.37,1.60,37.85,33.41,1.13
5,国立,秋田大学,33.20,31.85,1.04,29.26,25.00,1.17,31.87,28.48,1.12,33.64,31.33,1.07,27.73,29.19,0.95,30.25,27.81,1.09,30.90,28.79,1.07
6,国立,山形大学,28.89,21.05,1.37,25.44,22.41,1.13,27.49,23.26,1.18,33.33,35.03,0.95,24.64,17.14,1.44,35.02,17.62,1.99,28.67,22.28,1.29
7,国立,筑波大学,32.29,18.78,1.72,26.14,19.92,1.31,26.25,19.71,1.33,23.58,23.47,1.00,25.07,16.60,1.51,20.36,17.69,1.15,25.46,19.28,1.32
8,国立,群馬大学,38.61,34.62,1.12,31.86,39.83,0.80,37.61,25.96,1.45,31.86,33.33,0.96,34.33,25.20,1.36,38.54,26.02,1.48,35.40,30.74,1.15
9,国立,千葉大学,37.41,24.72,1.51,36.64,33.33,1.10,33.70,28.83,1.17,36.33,35.64,1.02,36.26,26.92,1.35,32.42,34.75,0.93,35.47,30.82,1.15
10,国立,東京大学,26.75,22.86,1.17,25.08,32.81,0.76,26.88,20.59,1.31,25.38,26.67,0.95,25.62,24.64,1.04,25.69,24.64,1.04,25.89,25.25,1.03
11,国立,東京医科歯科大学,29.60,32.48,0.91,32.37,28.46,1.14,35.16,24.00,1.46,31.97,33.65,0.95,30.89,27.03,1.14,31.51,27.35,1.15,31.92,28.87,1.11
12,国立,新潟大学,32.26,18.01,1.79,27.30,24.05,1.14,32.98,21.97,1.50,36.69,28.45,1.29,27.24,24.22,1.12,30.66,24.00,1.28,30.96,23.23,1.33
