番号,設置形態,大学名,男受2018,女受2018,計受2018,男合2018,女合2018,計合2018,男率2018,女率2018,男受2017,女受2017,計受2017,男合2017,女合2017,計合2017,男率2017,女率2017,男受2016,女受2016,計受2016,男合2016,女合2016,計合2016,男率2016,女率2016,男受2015,女受2015,計受2015,男合2015,女合2015,計合2015,男率2015,女率2015,男受2014,女受2014,計受2014,男合2014,女合2014,計合2014,男率2014,女率2014,男受2013,女受2013,計受2013,男合2013,女合2013,計合2013,男率2013,女率2013
1,国立,北海道大学,254,77,331,87,17,104,34,22,259,71,330,80,22,102,31,31,266,105,371,78,25,103,29,24,222,68,290,82,20,102,37,29,254,76,330,83,19,102,33,25,242,89,331,75,28,103,31,31
2,国立,旭川医科大学,514,255,769,73,34,107,14,13,495,208,703,71,41,112,14,20,422,244,666,71,45,116,17,18,452,230,682,68,45,113,15,20,503,255,758,80,35,115,16,14,503,257,760,75,39,114,15,15
3,国立,弘前大学,319,247,566,59,53,112,18,21,298,250,548,50,62,112,17,25,607,357,964,66,50,116,11,14,586,285,871,72,41,113,12,14,620,290,910,67,47,114,11,16,608,308,916,71,41,112,12,13
4,国立,東北大学,329,87,416,109,29,138,33,33,294,67,361,114,23,137,39,34,285,73,358,108,29,137,38,40,298,69,367,118,20,138,40,29,302,65,367,114,25,139,38,38,294,67,361,119,17,136,40,25
5,国立,秋田大学,244,157,401,81,50,131,33,32,270,196,466,79,49,128,29,25,251,165,416,80,47,127,32,28,220,166,386,74,52,126,34,31,256,185,441,71,54,125,28,29,238,187,425,72,52,124,30,28
6,国立,山形大学,270,209,479,78,44,122,29,21,287,232,519,73,52,125,25,22,291,215,506,80,50,130,27,23,210,177,387,70,62,132,33,35,349,245,594,86,42,128,25,17,257,210,467,90,37,127,35,18
7,国立,筑波大学,288,245,533,93,46,139,32,19,329,266,595,86,53,139,26,20,320,274,594,84,54,138,26,20,335,213,548,79,50,129,24,23,335,241,576,84,40,124,25,17,329,260,589,67,46,113,20,18
8,国立,群馬大学,202,104,306,78,36,114,39,35,204,118,322,65,47,112,32,40,218,104,322,82,27,109,38,26,226,117,343,72,39,111,32,33,233,127,360,80,32,112,34,25,205,123,328,79,32,111,39,26
9,国立,千葉大学,270,89,359,101,22,123,37,25,262,87,349,96,29,125,37,33,270,111,381,91,32,123,34,29,256,101,357,93,36,129,36,36,262,104,366,95,28,123,36,27,256,118,374,83,41,124,32,35
10,国立,東京大学,314,70,384,84,16,100,27,23,319,64,383,80,21,101,25,33,320,68,388,86,14,100,27,21,331,60,391,84,16,100,25,27,324,69,393,83,17,100,26,25,327,69,396,84,17,101,26,25
