No,調査地点住所,調査月日,玄関先または集合住宅入口1m高さ,玄関先または集合住宅入口50cm高さ,庭または集合住宅敷地内1m高さ,庭または集合住宅敷地内50cm高さ
1,渡利字岩下（１）,8月18日,1.1,1.2,1.6,1.7
2,渡利字岩下（２）,8月18日,1.0,1.1,1.2,1.3
3,渡利字岩下（３）,8月18日,1.3,1.1,1.9,2.1
4,渡利字岡ノ倉（１）,8月22日,0.80,0.69,1.0,0.99
5,渡利字岡ノ倉（２）,8月22日,0.68,0.71,0.88,0.99
6,渡利字岡ノ倉（３）,8月22日,0.76,0.78,1.1,1.2
7,渡利字岡ノ倉（４）,8月22日,0.53,0.51,0.76,0.92
8,渡利字岡ノ倉（５）,8月22日,0.92,1.1,1.3,1.4
9,渡利字岡ノ倉（６）,8月22日,0.71,0.68,0.98,1.1
10,渡利字岡ノ倉（７）,8月22日,0.89,0.92,1.2,1.5
11,渡利字金畑（１）,8月21日,0.50,0.45,1.2,1.4
12,渡利字金畑（２）,8月23日,1.1,1.0,1.3,1.4
13,渡利字金畑（３）,8月21日,1.5,1.4,1.6,1.8
14,渡利字金畑（４）,8月22日,0.98,1.0,1.3,1.3
15,渡利字金畑（５）,8月22日,1.1,1.3,1.4,1.5
16,渡利字金畑（６）,8月22日,0.47,0.42,0.92,1.2
17,渡利字金畑（７）,8月22日,0.70,0.67,1.3,1.5
18,渡利字金畑（８）,8月22日,0.64,0.64,1.2,1.3
19,渡利字金畑（９）,8月22日,0.66,0.58,1.4,1.5
20,渡利字金畑（１０）,8月22日,0.48,0.38,1.0,1.0
21,渡利字欠下（１）,8月22日,1.2,1.4,1.8,2.1
22,渡利字欠下（２）,8月21日,0.63,0.63,0.68,0.60
23,渡利字欠下（３）,8月21日,1.4,1.6,1.5,1.7
24,渡利字欠下（４）,8月21日,1.4,1.6,1.5,1.7
25,渡利字欠下（５）,8月21日,1.3,1.3,1.6,1.7
26,渡利字欠下（６）,8月21日,1.1,1.0,1.3,1.6
27,渡利字欠下（７）,8月22日,1.2,1.2,0.96,0.91
28,渡利字坂下（１）,8月22日,1.1,1.1,1.6,1.7
29,渡利字坂下（２）,8月22日,0.98,1.0,1.0,1.2
30,渡利字坂下（３）,8月22日,1.6,1.6,1.7,1.9
31,渡利字茶屋・桜清水（１）,8月18日,1.7,2.1,1.9,1.9
32,渡利字茶屋・桜清水（２）,8月18日,1.7,1.7,1.7,1.8
33,渡利字茶屋・桜清水（３）,8月22日,1.7,2.0,1.9,2.3
34,渡利字茶屋・桜清水（４）,8月22日,2.2,2.3,2.1,2.1
35,渡利字松保（１）,8月18日,0.78,0.79,0.88,0.74
36,渡利字松保（２）,8月18日,1.1,1.1,1.5,1.8
37,渡利字松保（３）,8月18日,2.2,2.4,2.3,2.5
38,渡利字松保（４）,8月18日,0.92,0.81,1.5,1.9
39,渡利字松保（５）,8月18日,1.4,1.4,2.1,2.4
40,渡利字松保（６）,8月18日,1.3,1.4,1.6,1.8
41,渡利字松保（７）,8月18日,0.88,0.92,0.75,0.70
42,渡利字松保（８）,8月18日,1.7,1.9,1.6,1.8
43,渡利字松保（９）,8月18日,1.0,1.0,1.9,2.0
44,渡利字松保（１０）,8月18日,1.7,1.8,1.5,1.6
45,渡利字松保（１１）,8月18日,1.9,1.9,1.4,1.3
46,渡利字松保（１２）,8月18日,1.6,2.0,1.9,2.1
47,渡利字松保（１３）,8月22日,1.8,2.1,2.1,2.5
48,渡利字松保（１４）,8月22日,1.8,2.0,2.0,2.2
49,渡利字日向（１）,8月19日,1.7,1.6,2.1,2.6
50,渡利字日向（２）,8月18日,1.5,1.7,1.8,2.2
51,渡利字日向（３）,8月18日,1.3,1.2,1.9,2.1
52,渡利字日向（４）,8月18日,0.87,0.87,1.1,1.2
53,渡利字日向（５）,8月18日,1.4,1.6,1.8,2.0
54,渡利字日向（６）,8月18日,1.7,1.9,1.2,1.2
55,渡利字日向（７）,8月18日,1.8,1.9,1.8,1.8
56,渡利字長畑（１）,8月19日,2.0,2.6,2.2,2.4
57,渡利字長畑（２）,8月19日,1.2,1.3,1.4,1.4
58,渡利字長畑（３）,8月19日,1.5,1.6,1.9,2.1
59,渡利字長畑（４）,8月19日,1.6,1.8,1.8,1.8
60,渡利字長畑（５）,8月19日,1.6,1.6,2.2,2.3
61,渡利字鍜治ケ原下（１）,8月19日,0.94,0.93,1.1,1.2
62,渡利字鍜治ケ原下（２）,8月19日,1.5,1.6,1.8,1.8
63,渡利字鍜治ケ原下（３）,8月19日,1.3,1.5,2.4,2.6
64,渡利字鍜治ケ原下（４）,8月19日,1.4,1.5,1.6,1.9
65,渡利字鍜治ケ原下（５）,8月19日,1.1,1.2,1.2,1.3
66,渡利字北椚森・南椚森（１）,8月22日,1.5,1.6,1.8,2.0
67,渡利字北椚森・南椚森（２）,8月22日,1.8,2.0,1.9,2.0
68,渡利字北椚森・南椚森（３）,8月22日,1.8,1.8,1.9,2.2
69,渡利字北椚森・南椚森（４）,8月22日,1.7,1.9,2.0,2.3
70,渡利字北椚森・南椚森（５）,8月19日,1.8,1.8,2.2,2.5
71,渡利字鍜治ケ原（１）,8月19日,1.8,2.0,1.7,1.8
72,渡利字鍜治ケ原（２）,8月22日,1.7,1.9,2.2,2.4
73,渡利字鍜治ケ原（３）,8月19日,1.5,1.6,1.4,1.5
74,渡利字金山・板山・大沢（１）,8月19日,1.9,1.9,2.0,2.1
75,渡利字金山・板山・大沢（２）,8月19日,1.6,1.7,2.3,2.5
76,渡利字金山・板山・大沢（３）,8月21日,2.2,2.2,2.4,2.6
77,渡利字金山・板山・大沢（４）,8月21日,1.8,2.0,1.9,2.1
78,渡利字山ノ下前（１）,8月19日,0.94,1.1,0.85,0.93
79,渡利字山ノ下前（２）,8月19日,0.65,0.62,0.34,0.28
80,渡利字山ノ下前（３）,8月19日,0.80,0.70,0.85,1.0
81,渡利字山ノ下前（４）,8月19日,1.7,1.9,1.9,2.1
82,渡利字山ノ下前（５）,8月19日,1.1,1.1,1.1,1.1
83,渡利字山ノ下前（６）,8月19日,0.86,0.98,1.5,1.6
