ì˙éû,ìÏëäînçáí°,ïüìáãÛç`,î—ä⁄ë∫ñèÍ,î—ä⁄ë∫í∑ìD,íÜâõë‰ìÏè¨,Ç¢ÇÌÇ´ésêÏëOéxèä,ìcë∫ésñèä,èÌótçsê≠ã«,êÏì‡ë∫ñèÍ,êÏñìí¨éRñÿâÆóXï÷ã«,äãîˆë∫ñèÍ,äãîˆë∫îêå¥ínãÊ,òQç]í¨í√ìáéxèä
2011-03-15 00:00,2.73,-,-,-,-,-,0.10,-,0.05,-,0.32,-,-
2011-03-15 01:00,2.72,-,0.13,-,-,-,0.09,-,0.05,-,0.31,-,-
2011-03-15 02:00,2.69,-,-,-,-,-,0.09,-,0.05,-,0.31,-,-
2011-03-15 03:00,2.67,-,0.12,-,-,-,0.10,-,0.05,-,0.31,-,-
2011-03-15 04:00,2.62,-,0.12,-,-,-,0.09,-,0.05,-,0.31,-,-
2011-03-15 05:00,2.60,-,0.13,-,-,-,0.09,-,0.09,-,0.33,-,-
2011-03-15 06:00,2.59,-,0.13,-,-,-,0.10,-,0.14,-,-,-,-
2011-03-15 07:00,2.57,-,0.12,-,-,-,0.10,-,0.06,-,-,-,-
2011-03-15 08:00,2.54,-,0.13,-,-,-,0.10,-,0.06,-,-,-,-
2011-03-15 09:00,2.51,-,0.14,-,-,-,0.10,-,0.09,-,-,-,-
2011-03-15 09:25,-,-,-,-,-,-,-,-,0.10,-,-,-,-
2011-03-15 10:00,2.49,-,0.13,-,-,-,0.10,-,0.11,-,-,-,-
2011-03-15 11:00,2.46,-,0.13,-,-,-,-,-,5.71,-,-,-,-
2011-03-15 11:30,-,-,-,-,-,-,-,-,2.52,-,-,-,-
2011-03-15 12:00,2.44,-,0.12,-,-,-,-,-,20.50,-,-,-,-
2011-03-15 13:00,2.43,-,0.12,-,-,-,-,-,3.57,-,-,-,-
2011-03-15 14:00,2.41,-,0.14,-,-,-,-,-,2.82,-,-,-,-
2011-03-15 15:00,2.44,-,3.44,-,-,-,-,-,2.47,-,-,-,-
2011-03-15 16:00,2.43,-,22.70,-,-,-,-,-,2.28,-,-,-,-
2011-03-15 17:00,2.43,-,29.30,-,-,-,0.40,-,2.23,-,-,-,-
2011-03-15 17:40,-,-,33.20,-,-,-,-,-,-,-,-,-,-
2011-03-15 18:00,2.46,-,-,-,-,-,0.35,2.20,-,-,-,-,-
2011-03-15 18:20,-,-,44.70,-,-,-,-,-,-,-,-,-,-
2011-03-15 19:00,3.05,-,-,-,-,-,0.39,-,2.22,-,-,-,-
2011-03-15 19:30,-,-,39.50,-,-,-,-,-,-,-,-,-,-
2011-03-15 20:00,4.62,-,-,-,-,-,0.40,-,2.18,-,-,-,-
2011-03-15 20:10,-,-,33.20,-,-,-,-,-,-,-,-,-,-
2011-03-15 21:00,4.56,-,33.40,-,-,-,0.38,-,2.12,-,-,-,-
2011-03-15 22:00,4.89,-,38.70,-,-,-,0.38,-,2.03,-,-,-,-
2011-03-15 23:00,4.46,-,38.80,-,-,-,0.35,-,1.82,-,-,-,-
2011-03-16 00:00,3.97,-,38.30,-,-,-,0.34,-,1.78,-,-,-,-
2011-03-16 01:00,3.76,-,34.70,-,-,-,-,-,1.77,-,-,-,-
2011-03-16 02:00,3.76,-,34.10,-,-,-,-,-,2.65,-,-,-,-
2011-03-16 03:00,3.78,-,31.70,-,-,-,-,-,2.91,-,-,-,-
2011-03-16 04:00,3.76,-,32.00,-,-,-,0.36,-,2.53,-,-,-,-
2011-03-16 04:50,-,-,-,-,-,-,-,-,3.10,-,-,-,-
2011-03-16 05:00,3.75,-,32.20,-,-,-,0.34,-,2.29,-,-,-,-
2011-03-16 05:50,-,-,-,-,-,-,-,-,2.14,-,-,-,-
2011-03-16 06:00,3.82,-,32.50,-,-,-,0.33,-,2.15,-,-,-,-
2011-03-16 06:55,-,-,-,-,-,-,-,-,2.00,-,-,-,-
2011-03-16 07:00,3.88,-,31.30,-,-,-,0.32,-,2.00,-,-,-,-
2011-03-16 08:00,3.95,-,30.30,-,-,-,0.33,-,1.92,-,-,-,-
2011-03-16 09:00,4.00,-,31.00,-,-,-,0.31,-,1.87,-,-,-,-
