lat,lon,uSv_h,datetime
37.698607,140.474545,1.2,2011/06/13 00:00:00
37.768929,140.424353,1.9,2011/06/13 00:00:00
37.763159,140.485766,2.7,2011/06/13 00:00:00
37.7821,140.434345,2.0,2011/06/13 00:00:00
37.747607,140.481156,2.1,2011/06/14 00:00:00
37.663128,140.465028,1.3,2011/06/13 00:00:00
37.724271,140.457464,0.81,2011/06/13 00:00:00
37.715486,140.44718,0.42,2011/06/13 00:00:00
37.700707,140.473112,1.2,2011/06/13 00:00:00
37.704154,140.485796,0.75,2011/06/13 00:00:00
37.681806,140.467174,0.81,2011/06/13 00:00:00
37.757647,140.440451,0.48,2011/06/13 00:00:00
37.736869,140.42219,0.88,2011/06/13 00:00:00
37.723656,140.383682,0.27,2011/06/13 00:00:00
37.770856,140.422644,0.88,2011/06/13 00:00:00
37.771284,140.378257,0.57,2011/06/13 00:00:00
37.784722,140.43584,1.4,2011/06/13 00:00:00
37.798368,140.400043,0.93,2011/06/13 00:00:00
37.795507,140.432792,1.7,2011/06/13 00:00:00
37.765899,140.443675,0.66,2011/06/14 00:00:00
37.764424,140.444975,1.11,2011/06/14 00:00:00
37.732384,140.451701,0.49,2011/06/14 00:00:00
37.72787,140.446624,0.16,2011/06/14 00:00:00
37.748686,140.440365,1.2,2011/06/14 00:00:00
37.763322,140.473326,0.13,2011/06/14 00:00:00
37.759228,140.470129,2.21,2011/06/14 00:00:00
37.787483,140.475047,1.0,2011/06/14 00:00:00
37.780132,140.467592,1.3,2011/06/14 00:00:00
37.779862,140.457621,1.3,2011/06/14 00:00:00
37.774741,140.48463,0.23,2011/06/14 00:00:00
37.785926,140.482199,1.11,2011/06/14 00:00:00
37.767819,140.477339,1.7,2011/06/14 00:00:00
37.794339,140.45992,1.5,2011/06/14 00:00:00
37.722964,140.480362,1.2,2011/06/14 00:00:00
37.68471,140.516873,1.4,2011/06/14 00:00:00
37.749775,140.480594,1.9,2011/06/14 00:00:00
37.801492,140.451686,1.4,2011/06/14 00:00:00
37.804859,140.446624,0.86,2011/06/14 00:00:00
37.833856,140.448413,0.85,2011/06/14 00:00:00
37.830498,140.459741,0.26,2011/06/14 00:00:00
37.806946,140.473788,0.97,2011/06/14 00:00:00
37.805483,140.493139,1.0,2011/06/14 00:00:00
37.793449,140.483412,1.2,2011/06/14 00:00:00
37.78839,140.50771,1.11,2011/06/14 00:00:00
37.776556,140.507482,1.2,2011/06/14 00:00:00
37.757434,140.553978,2.3,2011/06/14 00:00:00
37.746282,140.450189,0.7,2011/06/14 00:00:00
37.785015,140.46555,0.29,2011/06/14 00:00:00
37.74625,140.487467,0.41,2011/06/14 00:00:00
37.707664,140.486212,1.8,2011/06/13 00:00:00
37.760173,140.3672,0.72,2011/06/13 00:00:00
37.73954,140.368235,0.52,2011/06/13 00:00:00
37.763512,140.46338,2.3,2011/06/13 00:00:00
37.76383,140.463131,1.9,2011/06/13 00:00:00
37.813902,140.413528,0.98,2011/06/13 00:00:00
37.74634,140.450556,1.4,2011/06/14 00:00:00
37.683265,140.518406,1.6,2011/06/14 00:00:00
37.755049,140.478394,1.8,2011/06/14 00:00:00
37.755453,140.477248,2.3,2011/06/14 00:00:00
37.514269,140.569133,0.39,2011/06/16 00:00:00
37.594229,140.43912,2.0,2011/06/16 00:00:00
37.597584,140.581174,0.43,2011/06/16 00:00:00
37.632124,140.464915,0.5,2011/06/16 00:00:00
37.584652,140.426091,0.61,2011/06/16 00:00:00
37.561144,140.417429,1.4,2011/06/16 00:00:00
37.61439,140.425323,0.43,2011/06/16 00:00:00
37.607995,140.461698,0.41,2011/06/16 00:00:00
37.599726,140.438131,0.44,2011/06/16 00:00:00
37.585396,140.431736,1.2,2011/06/16 00:00:00
37.821419,140.496742,0.96,2011/06/15 00:00:00
37.759378,140.688128,3.6,2011/06/15 00:00:00
37.856683,140.608414,0.25,2011/06/15 00:00:00
37.789278,140.592456,1.9,2011/06/15 00:00:00
37.823983,140.524444,1.2,2011/06/15 00:00:00
37.823619,140.56339,1.11,2011/06/15 00:00:00
37.825152,140.57291,1.4,2011/06/15 00:00:00
37.830302,140.601966,0.85,2011/06/15 00:00:00
37.821876,140.498771,0.53,2011/06/15 00:00:00
37.820994,140.556078,0.56,2011/06/15 00:00:00
37.817291,140.552191,0.06,2011/06/15 00:00:00
37.780605,140.598097,1.8,2011/06/15 00:00:00
37.87798,140.596195,0.72,2011/06/15 00:00:00
37.847203,140.603328,0.99,2011/06/15 00:00:00
37.518273,140.402692,0.6,2011/06/16 00:00:00
37.509262,140.398048,0.48,2011/06/16 00:00:00
37.480353,140.349251,0.94,2011/06/16 00:00:00
37.495398,140.42951,1.6,2011/06/16 00:00:00
37.524681,140.445005,2.21,2011/06/16 00:00:00
37.499012,140.464627,1.5,2011/06/16 00:00:00
37.480353,140.349251,0.4,2011/06/16 00:00:00
37.501945,140.473801,1.3,2011/06/16 00:00:00
37.507827,140.452372,1.2,2011/06/16 00:00:00
37.846495,140.516359,1.0,2011/06/15 00:00:00
37.877086,140.542272,0.49,2011/06/15 00:00:00
37.665483,140.603938,1.11,2011/06/15 00:00:00
37.651317,140.579849,1.5,2011/06/15 00:00:00
37.697102,140.608127,1.4,2011/06/15 00:00:00
37.754765,140.46031,1.2,2011/06/15 00:00:00
37.66647,140.576898,0.4,2011/06/15 00:00:00
37.538356,140.372658,0.35,2011/06/16 00:00:00
37.544911,140.38779,0.44,2011/06/16 00:00:00
37.535932,140.364317,1.11,2011/06/16 00:00:00
37.408084,140.339541,1.4,2011/06/13 00:00:00
37.42709,140.350206,0.84,2011/06/13 00:00:00
37.396927,140.337948,1.2,2011/06/14 00:00:00
37.378436,140.428039,0.29,2011/06/14 00:00:00
37.422099,140.364277,0.62,2011/06/13 00:00:00
37.42188,140.364252,0.62,2011/06/13 00:00:00
37.366701,140.396377,0.73,2011/06/13 00:00:00
37.40121,140.362436,1.8,2011/06/14 00:00:00
37.378119,140.384541,0.57,2011/06/14 00:00:00
37.408117,140.339122,1.11,2011/06/13 00:00:00
37.408519,140.341596,0.75,2011/06/13 00:00:00
37.398408,140.318086,1.2,2011/06/13 00:00:00
37.39586,140.376629,1.4,2011/06/13 00:00:00
37.428884,140.346562,1.3,2011/06/13 00:00:00
37.348109,140.364324,0.78,2011/06/14 00:00:00
37.291863,140.389989,0.32,2011/06/10 00:00:00
37.277387,140.381896,0.27,2011/06/13 00:00:00
37.332674,140.334067,0.63,2011/06/10 00:00:00
37.278815,140.371098,0.21,2011/06/13 00:00:00
37.299236,140.37371,0.2,2011/06/13 00:00:00
37.271111,140.414972,0.21,2011/06/13 00:00:00
37.315718,140.387528,0.38,2011/06/10 00:00:00
37.286464,140.392341,0.16,2011/06/13 00:00:00
37.29158,140.390023,0.32,2011/06/13 00:00:00
37.309676,140.353004,0.63,2011/06/10 00:00:00
37.283227,140.372194,0.29,2011/06/13 00:00:00
37.292641,140.38724,0.25,2011/06/14 00:00:00
37.41679,140.686188,0.24,2011/06/14 00:00:00
37.435103,140.566046,0.32,2011/06/14 00:00:00
37.441931,140.646391,0.34,2011/06/14 00:00:00
37.440585,140.564714,0.26,2011/06/14 00:00:00
