# Deaths in 122 U.S. cities http://wonder.cdc.gov/mmwr/mmwrmort.asp,,,,,,,,,
week ending,year,week,all,>=65,45-64,25-44,1-24,<1,Pneumonia and Influenza
2000/1/8,2000,1,13604,9617,2476,923,286,291,1263
2000/1/15,2000,2,14802,10686,2534,984,304,287,1558
2000/1/22,2000,3,12731,8954,2428,876,263,203,1405
2000/1/29,2000,4,13709,9731,2525,919,288,237,1463
2000/2/5,2000,5,13884,9904,2564,875,266,259,1482
2000/2/12,2000,6,13149,9269,2494,852,269,263,1302
2000/2/19,2000,7,13562,9399,2626,925,326,272,1264
2000/2/26,2000,8,12065,8523,2233,829,220,242,1042
2000/3/4,2000,9,13272,9280,2511,910,293,265,1164
2000/3/11,2000,10,12274,8608,2326,824,261,242,1028
2000/3/18,2000,11,13189,9256,2465,893,307,263,1129
2000/3/25,2000,12,12708,8687,2511,945,286,267,998
2000/4/1,2000,13,12967,8939,2537,926,307,253,1021
2000/4/8,2000,14,11938,8230,2308,833,280,280,901
2000/4/15,2000,15,10925,7474,2181,752,260,246,789
2000/4/22,2000,16,11348,7874,2203,777,241,244,930
2000/4/29,2000,17,11901,8147,2285,905,299,259,872
2000/5/6,2000,18,11638,7899,2329,860,267,271,851
2000/5/13,2000,19,11002,7566,2073,852,260,246,781
2000/5/20,2000,20,11280,7715,2212,842,255,248,746
2000/5/27,2000,21,11298,7633,2277,847,271,255,713
2000/6/3,2000,22,10860,7340,2136,864,280,231,754
2000/6/10,2000,23,12076,8247,2337,913,330,238,788
2000/6/17,2000,24,10783,7303,2186,772,264,250,756
2000/6/24,2000,25,10506,7109,2026,839,294,235,655
2000/7/1,2000,26,10567,7177,2031,778,324,240,678
2000/7/8,2000,27,10503,6989,2134,833,290,227,715
2000/7/15,2000,28,11925,8088,2360,874,338,256,770
2000/7/22,2000,29,11694,7913,2308,885,317,258,736
2000/7/29,2000,30,10528,7040,2147,786,312,227,677
2000/8/5,2000,31,10691,7181,2115,861,271,236,678
2000/8/12,2000,32,11145,7545,2157,858,284,232,738
2000/8/19,2000,33,11002,7334,2226,881,297,261,671
2000/8/26,2000,34,11702,7833,2295,953,342,269,720
2000/9/2,2000,35,10643,7258,2040,779,297,248,722
2000/9/9,2000,36,9657,6452,1919,764,297,206,647
2000/9/16,2000,37,12059,8191,2354,931,330,239,745
2000/9/23,2000,38,11729,7999,2270,853,336,265,795
2000/9/30,2000,39,11240,7587,2222,822,334,265,739
2000/10/7,2000,40,11191,7663,2210,765,294,249,714
2000/10/14,2000,41,11022,7410,2249,810,301,240,740
2000/10/21,2000,42,11729,7973,2317,857,326,239,799
2000/10/28,2000,43,12232,8399,2343,877,362,238,838
2000/11/4,2000,44,11669,7946,2272,871,312,253,738
2000/11/11,2000,45,10544,7205,2062,786,258,227,684
2000/11/18,2000,46,12314,8552,2372,882,271,231,809
2000/11/25,2000,47,9244,6303,1819,695,228,194,600
2000/12/2,2000,48,12392,8595,2330,880,305,269,895
2000/12/9,2000,49,12383,8611,2337,888,288,249,896
2000/12/16,2000,50,10843,7556,2046,742,269,217,770
2000/12/23,2000,51,11904,8273,2268,811,295,250,855
2000/12/30,2000,52,9115,6313,1790,638,202,169,688
2001/1/6,2001,1,10841,7629,2062,690,233,224,812
2001/1/13,2001,2,13105,9165,2499,911,302,223,1006
2001/1/20,2001,3,12904,9009,2538,854,237,259,1019
