DateTime,uGy/h
2011-3-12 23:00,0.06
2011-3-13 0:00,0.06
2011-3-13 1:00,0.06
2011-3-13 2:00,0.06
2011-3-13 3:00,0.06
2011-3-13 4:00,0.06
2011-3-13 5:00,0.06
2011-3-13 6:00,0.06
2011-3-13 7:00,0.05
2011-3-13 8:00,0.2
2011-3-13 9:00,0.2
2011-3-13 10:00,0.2
2011-3-13 11:00,0.2
2011-3-13 12:00,0.19
2011-3-13 13:00,0.18
2011-3-13 14:00,0.17
2011-3-13 15:00,0.05
2011-3-13 16:00,0.04
2011-3-13 17:00,0.05
2011-3-13 18:00,0.05
2011-3-13 19:00,0.05
2011-3-13 20:00,0.05
2011-3-13 21:00,0.05
2011-3-13 22:00,0.05
2011-3-13 23:00,0.05
2011-3-14 0:00,0.05
2011-3-14 1:00,0.05
2011-3-14 2:00,0.05
2011-3-14 3:00,0.05
2011-3-14 4:00,0.05
2011-3-14 5:00,0.05
2011-3-14 6:00,0.05
2011-3-14 7:00,0.05
2011-3-14 8:00,0.05
2011-3-14 9:00,0.05
2011-3-14 10:00,0.05
2011-3-14 11:00,0.06
2011-3-14 12:00,0.04
2011-3-14 13:00,0.04
2011-3-14 14:00,0.04
2011-3-14 15:00,0.05
2011-3-14 16:00,0.04
2011-3-14 17:00,0.04
2011-3-14 18:00,0.04
2011-3-14 19:00,0.07
2011-3-14 20:00,0.05
2011-3-14 21:00,0.05
2011-3-14 22:00,0.05
2011-3-14 23:00,0.04
2011-3-15 0:00,0.05
2011-3-15 1:00,0.05
2011-3-15 2:00,0.05
2011-3-15 3:00,0.05
2011-3-15 4:00,0.05
2011-3-15 5:00,0.09
2011-3-15 6:00,0.14
2011-3-15 7:00,0.06
2011-3-15 8:00,0.06
2011-3-15 9:00,0.09
2011-3-15 10:00,0.11
2011-3-15 11:00,5.71
2011-3-15 12:00,20.5
2011-3-15 13:00,3.57
2011-3-15 14:00,2.82
2011-3-15 15:00,2.47
2011-3-15 16:00,2.28
2011-3-15 17:00,2.23
2011-3-15 18:00,2.2
2011-3-15 19:00,2.22
2011-3-15 20:00,2.18
2011-3-15 21:00,2.12
2011-3-15 22:00,2.03
2011-3-15 23:00,1.82
