都道府県,2009,2010,2011,2012,2013,2014,2015,2016,2017
北海道,9.9,9.3,9.1,8.8,8.3,8.2,8.1,7.6,7.0
青森,9.2,8.8,8.4,8.2,7.7,7.3,7.4,6.9,7.1
岩手,10.7,9.8,9.6,9.2,8.9,8.6,7.9,7.4,7.0
宮城,10.2,9.6,9.2,9.2,8.7,8.7,8.5,7.8,7.5
秋田,9.9,9.2,8.4,8.3,7.9,7.6,7.3,6.5,6.2
山形,8.6,8.3,7.3,7.8,6.9,6.8,6.8,6.2,6.1
福島,11.7,10.6,10.0,10.0,9.0,9.1,8.9,8.4,7.7
茨城,6.1,5.8,5.9,5.7,5.5,5.4,5.2,4.7,4.8
栃木,9.3,8.3,8.2,7.9,7.7,7.4,7.1,6.9,4.3
群馬,8.6,8.0,7.4,7.2,6.9,6.9,6.6,6.7,6.8
埼玉,6.7,6.3,5.3,5.1,4.4,4.3,4.6,4.0,3.9
千葉,5.4,5.3,4.9,4.7,4.5,4.7,4.6,4.4,4.7
東京,8.8,8.5,8.4,8.4,8.2,8.1,8.5,8.2,8.2
神奈川,6.5,5.9,5.4,5.9,5.5,5.5,5.4,5.0,5.7
新潟,8.4,8.0,7.7,7.1,7.0,6.7,6.4,6.1,5.9
富山,8.7,7.5,7.4,6.7,5.8,5.6,5.8,5.0,5.2
石川,8.5,7.0,7.7,7.2,7.2,6.8,6.8,5.9,6.0
福井,8.2,7.7,7.2,7.1,6.8,6.7,6.4,6.9,6.5
山梨,6.4,5.2,4.9,4.8,4.5,5.0,5.0,5.1,5.4
長野,9.9,8.2,8.6,8.2,7.6,7.8,7.4,7.0,5.6
岐阜,7.0,7.0,6.4,6.5,5.7,5.9,5.9,5.4,5.4
静岡,7.8,7.9,7.3,7.1,7.1,6.7,6.5,5.8,5.5
愛知,7.0,6.5,6.5,6.3,5.8,5.7,5.8,5.3,5.5
三重,9.8,9.2,7.7,7.3,7.0,6.5,6.5,6.2,5.7
滋賀,7.2,6.8,6.0,6.2,5.3,4.9,5.3,4.6,4.5
京都,7.6,7.2,6.6,6.5,6.9,6.6,4.5,6.0,6.1
大阪,8.4,8.1,7.6,7.7,7.4,7.4,7.2,7.3,7.1
兵庫,6.5,6.0,5.7,5.6,5.5,5.2,4.9,4.5,4.8
奈良,4.4,5.0,4.1,3.7,3.9,3.4,4.0,3.7,3.5
和歌山,7.6,7.6,7.3,7.2,7.4,7.4,6.9,6.4,6.2
鳥取,12.6,11.6,11.4,10.8,10.1,10.4,10.0,9.6,9.3
島根,8.5,7.8,7.7,7.7,7.4,6.8,6.9,6.0,6.3
岡山,9.8,9.3,8.7,7.8,7.7,7.3,7.2,6.7,6.0
広島,9.8,9.3,8.8,8.4,8.0,8.1,8.0,7.6,7.3
山口,8.6,8.1,7.9,7.8,7.6,7.5,6.8,6.1,6.5
徳島,8.4,7.8,7.2,7.3,7.1,7.0,6.1,5.7,6.1
香川,9.9,9.1,8.8,8.8,8.1,7.5,7.6,7.1,6.9
愛媛,9.8,9.0,8.7,8.2,8.0,8.1,8.2,7.6,7.4
高知,11.0,10.6,10.5,9.2,9.6,9.2,8.8,8.4,7.6
福岡,11.8,11.1,10.4,10.4,9.7,9.5,9.6,9.2,9.1
佐賀,12.2,11.0,10.7,10.1,9.8,9.3,8.9,7.9,8.0
長崎,10.5,10.1,9.5,9.3,8.8,9.0,8.3,8.0,7.9
熊本,10.9,11.6,11.3,10.4,9.8,10.0,9.3,8.6,9.3
大分,10.7,9.8,9.4,9.2,8.9,9.1,8.9,8.1,7.6
宮崎,9.8,8.8,8.8,7.9,8.3,7.9,8.0,7.1,7.2
鹿児島,10.9,11.1,10.3,10.2,9.9,9.7,10.0,8.6,8.6
沖縄,8.2,8.2,8.3,8.2,8.2,8.2,8.0,7.7,7.6
