市町名,測定局名称,SO2(ppm),NO(ppm),NO2(ppm),NOX(ppm),CO(ppm),Ox(ppm),CH4(ppmC),NMHC(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),WD,WV(m/s),TSR(0.01MJ/m2),TEMP(℃),HUM(%)
桑名市,桑名上野,0.001,0.001,0.017,0.018,,0.027,1.93,0.14,2.07,0.010,12,NNE,2.6,30,22.1,94.7
いなべ市,大安中学校,0.001,0.000,0.013,0.013,,0.021,,,,0.024,-5,CALM,0.1,,,
川越町,川越南小学校,*,*,*,*,,0.022,,,,*,*,NNW,1.0,,,
四日市市,磯津,0.001,0.002,0.021,0.023,,0.031,1.90,0.21,2.11,0.005,,NE,1.4,,,
四日市市,四日市商業,0.000,0.001,0.022,0.023,,0.025,1.90,0.09,1.99,0.013,13,ENE,0.6,,,
四日市市,四日市南,0.002,0.001,0.019,0.020,,0.020,,,,0.015,,NE,0.6,,,
四日市市,三浜小学校,0.001,0.006,0.034,0.040,,0.015,1.97,0.29,2.26,0.016,,ENE,0.5,,,
四日市市,北星高校,0.001,0.002,0.022,0.024,,0.026,1.89,0.15,2.04,0.013,,NNE,1.3,,,
四日市市,楠,0.002,0.006,0.015,0.021,,0.029,1.87,0.22,2.09,0.002,,ENE,2.7,,,
四日市市,西朝明中学校,,0.001,0.011,0.012,,,,,,0.001,,CALM,0.1,,,
鈴鹿市,鈴鹿算所保育所,0.001,0.001,0.011,0.012,,0.037,,,,0.013,4,ENE,1.6,,,
亀山市,亀山みなみ保育園,0.001,0.000,0.008,0.008,,0.036,1.85,0.08,1.93,0.018,3,NE,1.4,,,
津市,津西が丘小学校,0.001,0.000,0.005,0.005,,0.047,1.85,0.08,1.93,0.024,-2,NE,1.1,,,
津市,津立成小学校,0.001,0.000,0.007,0.007,,0.040,1.84,0.09,1.93,0.026,9,E,2.6,,,
津市,林業研究所,0.001,0.000,0.003,0.003,,0.042,1.84,0.12,1.96,0.015,10,ENE,1.9,,,
松阪市,松阪第五小学校,0.000,0.001,0.004,0.005,,0.032,1.85,0.12,1.97,0.020,10,CALM,0.0,,,
明和町,明星小学校,0.000,0.000,0.003,0.003,,0.032,1.82,0.12,1.94,0.015,6,E,2.4,,,
伊勢市,伊勢厚生中学校,0.000,0.000,0.004,0.004,,0.027,1.84,0.07,1.91,0.028,,ENE,1.7,,,
鳥羽市,鳥羽高校,0.001,0.000,0.003,0.003,,0.046,1.84,0.03,1.87,0.024,5,ESE,2.0,,,
志摩市,鵜方,0.001,0.000,0.003,0.003,,0.038,,,,0.027,2,*,*,,,
伊賀市,伊賀柘植,*,0.000,0.003,0.003,,0.046,1.82,0.08,1.90,*,7,NE,2.6,,,
伊賀市,伊賀緑ヶ丘中学校,0.001,0.001,0.005,0.006,,0.041,1.86,0.15,2.01,0.017,9,ENE,3.1,,,
名張市,名張小学校,0.001,0.000,0.004,0.004,,0.018,1.84,0.14,1.98,0.018,7,NE,3.3,,,
尾鷲市,尾鷲県職員公舎,0.000,0.000,0.002,0.002,,0.038,1.83,0.07,1.90,0.011,6,SE,0.7,,,
熊野市,熊野木本中学校,0.000,0.000,0.001,0.001,,0.035,1.82,0.06,1.88,0.023,-4,SE,1.4,,,
桑名市,国道２５８号桑名,,0.002,0.018,0.020,0.3,,,,,0.019,10,,,,,
四日市市,北消防署,,0.005,0.026,0.031,,,,,,0.014,10,NNE,1.8,,,
四日市市,納屋,0.001,0.049,0.045,0.094,,,1.93,0.31,2.24,0.019,25,NNE,0.7,,,
四日市市,東名阪,0.000,0.004,0.021,0.025,,,,,,0.013,,NE,0.6,,,
鈴鹿市,国道２３号鈴鹿,,0.007,0.014,0.021,0.0,,,,,0.026,5,,,,,
亀山市,国道２５号亀山,,*,*,*,0.3,,*,*,*,0.022,,,,,,
松阪市,国道２３号松阪曽原,,0.002,0.010,0.012,0.2,,1.85,0.09,1.94,0.024,,,,,,
