都道府県名,普通教室保有室数,普通教室設置室数,普通教室設置率,特別教室保有室数,特別教室設置室数,特別教室設置率,合計保有室数,合計設置室数,合計設置率,合計設置率H26調査
北海道,18034,60,0.3,19480,644,3.3,37514,704,1.9,1.7
青森県,4483,131,2.9,6414,358,5.6,10897,489,4.5,3.6
岩手県,4476,50,1.1,6722,516,7.7,11198,566,5.1,5.1
宮城県,7548,312,4.1,8789,1147,13.1,16337,1459,8.9,9.9
秋田県,3359,60,1.8,4410,441,10.0,7769,501,6.4,5.2
山形県,3975,693,17.4,4210,960,22.8,8185,1653,20.2,11.9
福島県,7064,4596,65.1,7614,3384,44.4,14678,7980,54.4,18.8
茨城県,9617,4889,50.8,10229,3606,35.3,19846,8495,42.8,24.4
栃木県,6726,4931,73.3,7146,2094,29.3,13872,7025,50.6,33.6
群馬県,6311,5407,85.7,7861,3036,38.6,14172,8443,59.6,42.0
埼玉県,19887,15124,76.0,21072,8996,42.7,40959,24120,58.9,38.2
千葉県,17960,7997,44.5,18768,5799,30.9,36728,13796,37.6,23.9
東京都,27118,27116,99.9,33739,24303,72.0,60857,51419,84.5,81.3
神奈川県,24263,19157,79.0,19723,8398,42.6,43986,27555,62.6,55.4
新潟県,7868,1015,12.9,10369,2527,24.4,18237,3542,19.4,15.5
富山県,3284,905,27.6,4069,1415,34.8,7353,2320,31.6,19.2
石川県,3329,1485,44.6,4443,2071,46.6,7772,3556,45.8,31.7
福井県,2955,2555,86.5,3917,1222,31.2,6872,3777,55.0,42.4
山梨県,3131,2054,65.6,3753,1444,38.5,6884,3498,50.8,35.8
長野県,7513,275,3.7,9137,1156,12.7,16650,1431,8.6,7.5
岐阜県,6666,3680,55.2,9197,3742,40.7,15863,7422,46.8,21.5
静岡県,10986,869,7.9,12440,2052,16.5,23426,2921,12.5,10.8
愛知県,22685,8100,35.7,27476,5846,21.3,50161,13946,27.8,16.4
三重県,6306,2069,32.8,6676,2386,35.7,12982,4455,34.3,21.4
滋賀県,5061,4189,82.8,4650,3378,72.6,9711,7567,77.9,50.5
京都府,7635,6410,84.0,9055,5077,56.1,16690,11487,68.8,57.0
大阪府,25819,19969,77.3,21822,8857,40.6,47641,28826,60.5,41.3
兵庫県,16597,9754,58.8,19512,8696,44.6,36109,18450,51.1,38.3
奈良県,4376,326,7.4,5342,1458,27.3,9718,1784,18.4,16.3
和歌山県,3332,1484,44.5,4592,1552,33.8,7924,3036,38.3,24.1
鳥取県,2215,522,23.6,2484,947,38.1,4699,1469,31.3,23.0
島根県,2917,798,27.4,3921,1144,29.2,6838,1942,28.4,22.7
岡山県,6553,1705,26.0,8404,2225,26.5,14957,3930,26.3,16.0
広島県,9077,4105,45.2,9843,2549,25.9,18920,6654,35.2,19.7
山口県,4936,867,17.6,6176,1157,18.7,11112,2024,18.2,12.7
徳島県,2735,1064,38.9,2582,940,36.4,5317,2004,37.7,29.4
香川県,3467,3387,97.7,2820,2419,85.8,6287,5806,92.3,69.2
愛媛県,4745,278,5.9,6072,1148,18.9,10817,1426,13.2,9.5
高知県,2730,519,19.0,2971,1125,37.9,5701,1644,28.8,22.4
福岡県,16691,10939,65.5,13551,4904,36.2,30242,15843,52.4,22.6
佐賀県,3011,1420,47.2,3820,1272,33.3,6831,2692,39.4,22.5
長崎県,4905,420,8.6,7006,1338,19.1,11911,1758,14.8,15.2
熊本県,6481,2098,32.4,7355,2171,29.5,13836,4269,30.9,23.0
大分県,4030,1363,33.8,4692,1539,32.8,8722,2902,33.3,17.2
宮崎県,3873,1036,26.7,4909,1623,33.1,8782,2659,30.3,23.5
鹿児島県,6311,2257,35.8,7299,2617,35.9,13610,4874,35.8,28.3
沖縄県,5735,4563,79.6,5224,3585,68.6,10959,8148,74.3,65.0
