番号,都道府県,面積_km2
01,北海道,83424.44
02,青森,9645.64
03,岩手,15275.01
04,宮城,7282.29
05,秋田,11637.52
06,山形,9323.15
07,福島,13784.14
08,茨城,6097.39
09,栃木,6408.09
10,群馬,6362.28
11,埼玉,3797.75
12,千葉,5157.5
13,東京,2194.05
14,神奈川,2416.1
15,新潟,12583.96
16,富山,4247.58
17,石川,4186.21
18,福井,4190.52
19,山梨,4465.27
20,長野,13561.56
21,岐阜,10621.29
22,静岡,7777.36
23,愛知,5173.15
24,三重,5774.49
25,滋賀,4017.38
26,京都,4612.2
27,大阪,1905.32
28,兵庫,8400.95
29,奈良,3690.94
30,和歌山,4724.65
31,鳥取,3507.14
32,島根,6707.89
33,岡山,7114.33
34,広島,8479.22
35,山口,6112.55
36,徳島,4146.76
37,香川,1876.8
38,愛媛,5676.15
39,高知,7103.6
40,福岡,4986.53
41,佐賀,2440.67
42,長崎,4130.98
43,熊本,7409.39
44,大分,6340.7
45,宮崎,7735.09
46,鹿児島,9187.06
47,沖縄,2282.53
