番号,都道府県,国語A,国語B,数学A,数学B
1,北海道,75.1,65.0,61.8,43.3
2,青森県,76.4,65.5,64.0,44.7
3,岩手県,76.0,65.9,57.7,40.5
4,宮城県,76.9,67.9,60.4,43.8
5,秋田県,79.1,72.4,66.6,48.4
6,山形県,76.8,67.3,60.9,43.3
7,福島県,75.5,65.0,59.0,41.2
8,茨城県,76.9,69.2,61.1,44.5
9,栃木県,75.7,66.6,61.2,43.1
10,群馬県,77.4,69.3,63.0,45.6
11,埼玉県,74.9,65.6,60.3,43.2
12,千葉県,76.1,66.9,60.3,42.7
13,東京都,76.9,68.6,63.5,45.6
14,神奈川県,75.4,67.0,61.9,44.3
15,新潟県,76.5,66.9,62.3,44.0
16,富山県,78.0,70.5,65.4,49.1
17,石川県,78.1,70.8,65.6,48.8
18,福井県,77.9,70.1,69.3,50.8
19,山梨県,75.0,67.5,61.0,43.8
20,長野県,76.4,66.3,61.4,43.7
21,岐阜県,75.8,69.1,63.5,46.2
22,静岡県,76.9,69.9,64.3,46.6
23,愛知県,75.5,66.4,64.9,46.5
24,三重県,74.4,64.3,62.2,43.2
25,滋賀県,74.0,63.3,61.3,42.3
26,京都府,75.8,67.2,63.3,45.0
27,大阪府,73.5,63.3,61.7,43.1
28,兵庫県,76.0,65.8,65.7,45.5
29,奈良県,75.9,65.5,63.6,44.2
30,和歌山県,73.5,62.8,62.2,42.9
31,鳥取県,76.7,67.1,63.2,44.4
32,島根県,76.3,67.9,59.5,41.7
33,岡山県,74.7,63.8,60.3,41.4
34,広島県,76.6,67.9,62.1,44.8
35,山口県,76.9,68.2,63.6,45.0
36,徳島県,75.7,64.4,64.9,44.0
37,香川県,77.2,67.5,63.8,44.6
38,愛媛県,76.5,68.6,64.0,46.6
39,高知県,75.4,65.2,58.5,40.1
40,福岡県,74.8,65.8,60.3,42.4
41,佐賀県,74.7,64.7,59.3,41.0
42,長崎県,75.4,66.7,61.5,42.5
44,大分県,74.7,66.2,60.9,42.1
45,宮崎県,74.5,64.5,61.7,42.5
46,鹿児島県,73.9,64.2,59.7,41.4
47,沖縄県,71.3,63.1,54.3,37.0
