番号,都道府県,国語A,国語B,算数A,算数B
1,北海道,71,56,75.3,44.5
2,青森県,77.4,60.2,80.4,47.9
3,岩手県,73.4,59.9,77.9,47
4,宮城県,72,56.2,76.5,45.6
5,秋田県,77.4,64,82,51.8
6,山形県,72.4,57.6,76.3,46.1
7,福島県,73.3,56.6,77.2,46.2
8,茨城県,73.7,58.6,78,47.5
9,栃木県,70.6,55.9,75,45.2
10,群馬県,71.7,56.5,77.9,45.9
11,埼玉県,71.6,56.7,75.9,46.3
12,千葉県,72.5,57.7,76.5,47.1
13,東京都,73.8,59.8,79.4,49.8
14,神奈川県,70.3,58.2,76.6,47.3
15,新潟県,75.8,59.6,79.6,47.7
16,富山県,75,60.5,80.5,51.4
17,石川県,78.6,63,82.4,53.5
18,福井県,76.8,62.7,82.4,51.5
19,山梨県,71.3,58.2,77.2,46.6
20,長野県,73.8,58.9,77.4,47.2
21,岐阜県,73,58.8,77.2,46.7
22,静岡県,76.5,58.9,78.5,47.4
23,愛知県,71.4,56,76,46.4
24,三重県,71.7,58.1,78.3,47.1
25,滋賀県,72.6,56.5,75.8,45.8
26,京都府,74.2,59.4,79.9,48.6
27,大阪府,71.3,55.4,76.9,45.8
28,兵庫県,73,57.7,77.7,47.3
29,奈良県,71.7,56.9,77.1,46.4
30,和歌山県,70,56.2,77.2,45.7
31,鳥取県,75.2,58,77,46.8
32,島根県,74.5,57.3,77,45.9
33,岡山県,72.6,57.5,77.2,47.3
34,広島県,78.4,60.5,79.7,49.5
35,山口県,74.6,58.7,78.4,48.1
36,徳島県,75.9,56.5,76.9,45
37,香川県,75,59.5,78.2,46.7
38,愛媛県,73.7,60.9,80.5,49.1
39,高知県,77.2,57.7,80.4,47.3
40,福岡県,71.7,57.8,77.8,47.3
41,佐賀県,72.6,56.9,77.6,46.2
42,長崎県,72.4,56.9,78,46.9
44,大分県,72.7,58.2,77.9,46.7
45,宮崎県,75,55.8,76.8,45.5
46,鹿児島県,71.7,56.5,78.5,45.4
47,沖縄県,73.4,58.1,80.7,47.7
