番号,小国A,小国B,小算A,小算B,中国A,中国B,中数A,中数B
1,73.729828384129,56.3043471512081,77.2811574772359,43.5177048464192,76.6553736750302,71.7134028858944,63.6956106756386,46.903636884307
2,78.5114609223971,59.4318456387422,80.2230046948357,47.8880800128081,77.7760836930006,72.7586458561405,65.7694832598706,48.3369276449445
3,77.2838232766031,59.7101848030449,80.5369911991199,45.4864302192547,78.429107710078,72.4479969183359,60.436332113273,45.2153801676785
4,74.361265482547,55.9043103918043,77.3564345646726,43.7588909100822,76.9471924431131,73.091236249131,62.8934759108306,47.0783148372166
5,79.7688987888069,64.2238311828955,84.170959209244,50.4494808812358,82.1194161442006,78.0796470451643,68.4874285050663,51.7553261011632
6,75.7446325116438,55.0606622984762,76.5667121005604,44.0371900826446,77.8168315522167,72.4597798475868,62.5830306022878,46.3985323172453
7,76.0567732821226,57.0412067696836,80.5138732534269,45.1059602649007,77.6025871139444,71.9219312185692,62.790129573433,46.7529572056729
8,76.1700197070875,58.6274037211896,80.79257053736,46.8984184679633,78.3112727910238,73.8757814075418,65.1842838548828,48.3210294056997
9,74.9293785310735,57.1185391519653,78.7474527369207,44.571387669928,77.2325426916647,72.572554639914,64.1239954838281,47.9604725758572
10,74.5589340483009,56.5068145349664,78.4029893180618,43.9046817184765,78.8819298705841,74.7834593382958,65.4456298541881,49.6944606413994
11,74.6740783293346,56.6926531777147,75.9692935027485,44.5638613009489,75.9973346811121,71.7115155285944,63.3930457154926,47.6667300347372
12,74.9204428580071,57.4512572273766,77.4109849630631,45.95880137451,76.1176145861279,71.6740392178446,62.6537860133254,46.838344028778
13,76.273243565082,59.9574807537433,80.7901455049169,49.0392500489117,78.6973382689935,73.6477069141394,66.1327162167863,50.0774226790145
14,73.4100234881286,57.4819824918874,77.405882602606,46.0598256072742,77.191680053134,72.4251876100182,63.8517094808777,48.3302716415299
15,76.8945391505345,59.1335684415409,79.9468269564212,46.3449247329913,77.4347466347758,72.9493600445186,65.7506354242036,48.1399795785761
16,78.2329690769589,60.249354005168,82.4250174378052,47.4276102112713,80.0120338607945,75.1260669569281,67.856923228298,50.3476527900797
17,79.4601832276251,64.2026226734349,84.6222692036646,52.9660161021922,81.5685429952685,76.6992287917738,69.206732415588,53.2504452664749
18,78.1160269557574,60.2435133639353,82.439072039072,50.5382073963551,82.1330738177624,77.1048626131539,72.6886550719067,54.4710291150187
19,74.170653907496,56.4177963849016,76.9213135994419,43.1029795563288,78.5794548354357,73.5609976009918,63.7028715916961,48.9790790935884
20,75.3159907607255,57.4423360981707,78.4201260718951,45.6580347274587,78.2658436100205,71.9457958622045,64.1736042042706,47.9068567849379
21,74.4737744257799,57.8125793832241,77.1542299927627,44.5896356359478,78.9750312874089,73.772940287226,65.9081562921437,49.8212019004098
22,74.0831182582225,58.7519630451013,78.4482017006915,45.9912347767457,78.4628262949296,74.1269732795736,67.299610496105,49.766037907782
23,72.7588733731719,54.87756204475,76.0684448710208,45.7642052932127,77.6050839268737,72.873953594649,66.6992517123377,49.640001661371
24,73.6280843427546,56.9807283717868,77.4179224973089,44.5775242664969,76.8864723371251,70.6471306471306,65.2440206851972,47.2806790761806
25,72.6439845301557,55.6383442265795,76.0489181561618,43.4630133861747,76.0662400723441,69.078631269055,63.3679737535557,46.5917602996255
26,75.5210731804985,58.7514605241195,80.1501726986034,48.4201898777406,78.1014363848768,72.9874786937264,65.771973246118,48.7727674624226
27,72.0467258009791,54.4752345625136,77.8052800480886,44.5707566697484,75.3464868740349,69.0987264524235,63.6493838035349,46.2725355799197
28,74.5676593521421,57.0757763794843,78.340407932258,46.2214560812549,78.1468172195572,72.3960913225559,67.5664775881991,49.5106248874482
29,73.6350707970074,56.1205972119112,78.2816849137131,45.4241692964544,77.5385444297082,71.5044433927539,65.0267104128546,48.2037212235888
30,74.7990222705052,57.4335748792271,79.1770776751765,46.2958158840752,76.7362044629654,70.0920085298021,65.0117727706247,47.8673282374503
31,75.8009485382601,57.271675754786,77.4681393372982,45.5240743959673,77.340414175918,72.1806298276886,63.3209770934322,47.8001427551749
32,74.9050887281271,57.5414501361049,77.2207824262619,43.0614923765609,77.4452932370553,72.2398402630961,62.2577206673316,45.9404195311123
33,74.7919024267572,58.2301033348006,79.1999832369458,45.893405105172,77.337489212181,70.6770522912085,64.0373132284263,46.8578005220215
34,76.6563529580289,60.7928526747556,80.7543331900874,47.4893337709222,78.1711243908099,72.6787196420194,64.4719890336977,48.1973041488901
35,76.1491755278163,58.0646487064094,78.6289377966833,45.4545454545455,79.2903787057122,73.4876571118546,66.4245967174913,49.4242479049858
36,75.1711187836938,56.3024870801034,78.9302804530862,46.181289640592,78.4901365705614,70.7293773881771,66.6624493927125,48.7118911013612
37,75.1421188630491,58.9963363954506,78.9181430446194,47.5069345025054,77.6262626262626,71.489889985076,66.1888084213859,49.0599912998774
38,76.7179298277926,58.8083617275992,81.6907634220462,49.870656095907,78.6142648381295,74.0331105316268,66.7558613659531,51.3534082397004
39,74.856892888389,56.8118840760881,81.6460442444695,46.2081429448271,75.7665223586146,68.9498050682261,61.8783184763018,44.687134502924
40,75.8378959952182,58.3184561761455,79.1989033934235,45.545617562354,77.0719802943681,71.2951928507538,63.0045533356019,46.382533855243
41,75.2337692131223,55.9411773707325,79.5135829662261,44.4590533433509,76.61518748314,69.9390453939585,61.7004388132573,45.5717237043025
42,73.4647339579282,56.1586515794436,77.83748747864,43.1472611546869,76.9710435779816,72.1002243976051,64.4111914276759,48.3386224729666
43,76.2441127694859,57.0675572068884,80.2149253731343,46.1759791532202,76.8451498682477,70.7695237258219,63.0440668539984,47.4947858350348
44,76.4254433196927,58.0846709038026,80.6245961662718,46.0939642003839,79.2019261766602,72.6228431548152,64.2198822869286,46.6709640452657
45,76.0036950188304,54.983416252073,78.7543523058339,43.5479649894833,77.8512970553338,71.1326860841424,64.9720003837207,47.2911720267645
46,75.273368606702,55.0382237479934,78.8700564971751,44.5333541512159,75.4049199708985,69.7390756098744,61.4866228973359,45.5108269146926
47,73.2491478507538,57.157679514175,80.8199496682681,46.0728047112604,71.7614266888611,66.7838448314407,57.6308425264229,42.2746513080286
