番号,小国A,小国B,小算A,小算B,小理,中国A,中国B,中数A,中数B,中理
1,70.1096103677523,52.6793605899139,62.156021206766,48.7028760447441,58.7552376505036,76.6000888894493,61.1934903582657,64.9259772819586,45.7576063119155,66.7373191804308
2,74.5558160076097,56.8016204647371,64.721041290548,52.7805524411375,62.3629944942904,77.1870013960909,60.9365823387964,66.8504473938063,45.8763253904914,67.6230810734902
3,73.9731199033525,56.7483890455095,63.1387438696409,51.0891886450574,61.3062575513492,75.7609707121168,60.8998235640071,61.9398434011783,43.0321271085602,65.1703747263877
4,68.8656734816067,52.7932628797886,61.9379669458909,49.1979287752298,58.5923875706812,76.7971447543161,61.8145963594712,65.1078393158759,46.5912801780114,67.1461270865589
5,76.9354468182863,61.0437060526679,67.2147287584917,57.2383841169171,65.7378687620623,79.9264156708311,65.8233386135626,69.603163831584,50.598227617367,70.4327188986434
6,71.3360943213193,54.2711598746082,63.2398330428108,50.9651774717277,61.5136368727599,76.6851257211277,60.9937572590012,65.07275060222,45.785449562428,67.5484238741525
7,71.5968874507473,53.998249785351,64.3291101027349,51.0738343679831,60.208622283865,75.5903083354287,60.5850380058126,63.6117049519338,43.9313344055781,65.6379377867293
8,70.6780836974143,56.3275357540288,65.0231383354529,51.756779032391,63.462588046299,76.5807060530854,61.9218511976524,66.335725733724,46.7221731634498,67.8860307853247
9,70.7197933066893,54.6136721589532,63.0163537250151,50.6318914334182,61.0446552872102,75.7432956897601,60.6477250418029,64.5585287225541,46.061545427631,66.6779529407516
10,70.6945685632013,53.6980749746707,62.0426401123452,50.0584098223865,60.5810194840017,77.3213916917449,63.0134650322361,66.8697066908084,48.2325212713029,68.6618771118328
11,70.5186205087857,53.7093970846246,61.8203467460942,50.2814314297897,59.0060265660872,75.1810848899704,60.7382498092881,64.951865925005,46.5205795448006,65.0879867304446
12,69.9702508541512,53.4115709887369,62.3684994390609,50.5656443630412,61.1603752458474,75.9605376592792,61.241533089318,63.9581463090763,45.9861627054255,65.01362932442
13,73.5509937343222,56.7175672575941,67.327133573106,55.2167456487083,61.9467148223372,76.8189546169093,63.4011404967463,67.2898264187846,49.2741058370287,65.4044167354076
14,70.2277248096577,54.175014408431,63.5543496792931,51.6276549036826,59.6866683128927,75.7055638304475,61.9304866280673,65.6135228251507,47.7242308476409,65.6426035094977
15,72.2181852058878,57.3763275572946,65.6377779197547,51.4793693391479,60.0187594851329,76.5186100407662,61.8617275669095,67.0743639921722,46.907397645405,66.0698770547043
16,74.4353082964,57.8028358034776,65.8287647264668,54.9463243873979,63.8639281129653,77.8125707653985,62.5593730707689,70.4016473966599,50.9743573129445,69.5552954698951
17,76.3439742123323,61.4114036000416,68.1493472739964,59.2221297836938,65.604536950421,78.9437759126302,64.9655621846946,70.6283462976058,51.8372911677295,71.0684408511594
18,75.8582502768549,57.3150021679433,66.1965291677844,55.6436931079324,64.0715474811812,79.1827644411103,63.5504201680672,72.0426747983737,52.5063220607775,71.3133839015309
19,70.5926093970559,54.0897746180608,62.406015037594,50.4993946731235,60.1200832072617,76.3986763609247,62.3628104380119,65.676378944577,47.8489351269533,67.2372327544741
20,71.5917791846415,54.9657918349035,61.9199705432686,50.3460653990689,61.1305786050684,76.4603454680535,61.2964232223999,65.4962831880859,45.9286203634228,66.1523631959109
21,71.6252286556912,55.560067208065,63.0005759723533,51.4870846640892,60.6034917610133,75.9330402292392,62.2583386445719,67.2566592917589,49.0181032196894,68.0880126767573
22,69.3634784287231,55.5300836550837,62.9140412076422,50.8542745905595,59.9890996556939,77.5625780116722,62.8742739366685,67.8542788513784,49.0581535956372,67.6592252872013
23,67.7930924511284,52.0023174104807,60.6491526292411,50.3176905021753,58.4814018691589,76.0917573068728,61.4040481137543,68.6893212457104,49.1139410096349,68.1438745759539
24,70.1283383110419,53.596947060734,62.829502661992,50.0474303164187,58.8066521654438,75.2977388620505,59.7034950023479,66.6053441887167,45.6836152777112,65.9610102498828
25,68.4118805879679,53.311553030303,60.4469291884052,48.8715540745229,58.1490876050579,74.5619205965337,58.2563469044294,65.2435642855865,44.7141247873465,64.1797451374916
26,73.446766218192,56.0380520504732,64.8337838979471,53.2134410721324,61.8224189735001,76.6205209519163,62.1946521231384,67.0627831014383,47.9532729072573,65.8114725848983
27,68.1146517381044,52.1323215049166,63.364222721102,50.6085828713139,57.3976581162553,74.7004792332268,59.3621993266403,65.1838147146326,45.6892211540548,64.0051954662438
28,70.061227684448,53.9292500160116,62.9720030247222,52.0552330544648,59.2622281738833,76.7823102483386,60.9011767204648,68.7427166363679,48.4905283483703,67.1191084798525
29,69.2732373970495,53.1368864336171,62.8837846925843,50.2527631817358,59.3882786366513,75.7023752399232,60.1291518813337,66.2075628373415,46.2694229584503,63.9785117812882
30,71.5290955091714,55.3680357869052,62.7349815112385,50.9761388286334,59.9417186229331,74.92116024397,58.8270662781555,67.0034486474836,44.9507047830219,64.5127069784604
31,70.7452058657642,54.7513227513228,61.7355571670292,50.2962336013542,59.6174170365673,76.2218743366589,60.1662887377173,65.7383786848073,45.2208676618125,65.780775450637
32,68.4793972939729,54.8339483394834,61.0996916752312,48.659166359277,58.4339188427578,76.1386886204209,60.7049240701025,64.2866419897396,44.8651582199215,65.6761748113521
33,70.7646998565868,54.2086895024906,62.1415400825358,49.6710324048453,60.1230485689506,75.6255162991676,59.2583183373911,65.2493682858313,44.2976962039105,65.5599560421976
34,73.2740563864103,58.9429319371728,65.702078770689,54.2653095417609,63.065420071234,76.431573150939,60.9387159783746,65.8064674002638,46.157516634414,65.9510515108863
35,71.5825085532747,57.1299266727773,63.8091746962715,52.0271260997067,61.7145247043725,76.7412717330342,61.4787045714881,67.2291789967708,46.4709652437477,66.6583592938733
36,69.9279199764637,54.0372396752559,61.0704829151431,49.5906123169225,58.6049442773748,76.6088245552843,60.4234464590113,69.1007319623562,46.5924670339258,67.3584466922451
37,69.3375148608207,58.4353469488189,63.9202249165349,52.8146143437077,59.7497232812692,75.9975315585552,59.6369334886559,66.9260228815203,45.6111764077359,65.593156139427
38,72.1839689265537,55.4094922737307,65.4004262133841,53.6765874768171,61.4661571087744,77.195356535743,61.9914942665792,68.729392603186,48.6324633535931,68.1696620659981
39,69.9844550109729,54.9331868936482,64.8043160204828,52.7129510899432,59.8918313208928,75.2899340487369,59.7281244563732,64.1292197630226,43.1604827894502,63.6186544646706
40,71.3091330594257,55.4947892755486,63.3488332437006,51.0138407510272,61.0753486718356,75.4574062321113,60.6610715806118,64.6004235753408,45.5398919149541,65.4235279372136
41,71.0561767479456,54.026223540515,62.9258574893175,51.2995416554327,60.6587906161521,74.9294750490608,59.3096038863976,64.3514621523881,44.1768115360703,64.2489495525535
42,68.9228688596109,53.5031847133758,62.2826479863388,49.7032899904006,60.1522953395008,75.3006428699874,59.9394702145511,65.0772964227935,45.4060089582504,65.525734217323
43,70.606384818225,55.6719418861071,63.7428904903941,50.66986576746,61.9996921182266,74.9358050847458,59.3419267299864,64.7866232680093,45.6296992481203,66.0894693500442
44,71.7012080816497,56.1894468173768,65.300383848603,52.353125,63.2520557926512,76.6725786129068,61.5200194718267,66.3450068166326,45.3273515917383,67.0385374973134
45,70.6533319586212,53.6204228984012,61.8831570574198,49.763795771016,60.1062184180674,75.2554185969557,59.4546212511342,66.249356570336,44.1599974793623,65.4559268654339
46,70.3062248995984,53.0908517792099,64.3902927195397,49.0842850136622,59.3581388830495,75.0324227373068,58.4671849072644,64.4116109640955,45.0938799512748,64.8231129829602
47,67.8236160576881,56.1621692947153,66.3739742418104,52.3373796015305,60.9314210352786,71.653230107374,58.361782835467,59.1470736948553,39.5024031377968,60.7690727838602
