No,異動日又はと畜日,個体識別番号,出荷と畜場又は卸売市場,所管自治体
="1-42",2011/4/20,01111-80646,横浜市中央と畜場,横浜市
="3-280",2011/04/26,02005-55928,西宮市食肉センター,西宮市
="2-11",2011/3/28,02014-58822,東京都立芝浦と場,東京都
="2-52",2011/6/16,02400-63346,東京都中央卸売市場食肉市場,東京都
="3-11",2011/05/11,02401-42706,（株）群馬県食肉卸売市場,群馬県
="3-232",2011/04/11,02401-57373,西宮市食肉センター,西宮市
="3-195",2011/06/28,02404-89788,東京都立芝浦と場,東京都
="2-32",2011/5/17,02406-84398,東京都立芝浦と場,東京都
="2-14",2011/4/5,02407-71142,東京都立芝浦と場,東京都
="3-304",2011/05/09,02409-31720,西宮市食肉センター,西宮市
="2-66",2011/4/5,02409-82111,（株）福島県食肉流通センター,郡山市
="2-70",2011/5/10,02410-64625,（株）福島県食肉流通センター,郡山市
="2-49",2011/6/8,02410-65257,東京都立芝浦と場,東京都
="2-24",2011/5/10,02411-64127,東京都立芝浦と場,東京都
="2-25",2011/5/10,02411-65773,東京都立芝浦と場,東京都
="3-1",2011/04/07,02411-66558,（株）福島県食肉流通センター,郡山市
="2-17",2011/4/13,02411-69290,東京都立芝浦と場,東京都
="2-7",2011/6/13,02411-69887,川口と畜場,埼玉県
="3-256",2011/04/19,02413-38146,西宮市食肉センター,西宮市
="3-364",2011/06/13,02413-38207,西宮市食肉センター,西宮市
="3-305",2011/05/09,02415-96904,西宮市食肉センター,西宮市
="3-194",2011/06/23,02418-63488,東京都立芝浦と場,東京都
="3-181",2011/06/16,02418-63495,東京都立芝浦と場,東京都
="3-147",2011/05/12,02418-63518,東京都立芝浦と場,東京都
="3-111",2011/04/22,02420-94140,東京都立芝浦と場,東京都
="3-196",2011/06/28,02422-69470,東京都立芝浦と場,東京都
="3-365",2011/06/13,02422-69524,西宮市食肉センター,西宮市
="3-281",2011/04/26,02424-32362,西宮市食肉センター,西宮市
="3-84",2011/04/15,02429-69653,東京都立芝浦と場,東京都
="3-25",2011/03/29,02429-98622,東京都立芝浦と場,東京都
="3-388",2011/06/27,02432-88203,西宮市食肉センター,西宮市
="3-316",2011/05/16,02433-80891,西宮市食肉センター,西宮市
="3-135",2011/04/28,02434-79779,東京都立芝浦と場,東京都
="3-257",2011/04/19,02437-27573,西宮市食肉センター,西宮市
="2-18",2011/4/14,02437-94841,東京都立芝浦と場,東京都
="3-258",2011/04/19,02438-83972,西宮市食肉センター,西宮市
="3-85",2011/04/15,02442-62660,東京都立芝浦と場,東京都
="3-86",2011/04/15,02443-13478,東京都立芝浦と場,東京都
="3-69",2011/04/08,02443-78187,東京都立芝浦と場,東京都
="3-340",2011/05/30,02443-82702,西宮市食肉センター,西宮市
="3-45",2011/03/31,02446-40154,東京都立芝浦と場,東京都
="3-21",2011/03/28,02446-43957,東京都立芝浦と場,東京都
="3-268",2011/04/25,02448-34379,西宮市食肉センター,西宮市
="2-38",2011/5/26,02450-81574,東京都中央卸売市場食肉市場,東京都
="2-73",2011/5/13,02450-85671,（株）福島県食肉流通センター,郡山市
="2-1",2011/3/30,02450-88801,（株）山形県食肉公社,山形県
="2-39",2011/5/26,02450-89235,東京都中央卸売市場食肉市場,東京都
="3-26",2011/03/29,02451-18935,東京都立芝浦と場,東京都
="3-306",2011/05/09,02451-19178,西宮市食肉センター,西宮市
="3-136",2011/04/28,02451-19208,東京都立芝浦と場,東京都
="3-220",2011/04/04,02453-27399,西宮市食肉センター,西宮市
="3-400",2011/07/04,02453-30610,西宮市食肉センター,西宮市
="3-376",2011/06/20,02454-67798,西宮市食肉センター,西宮市
="3-352",2011/06/06,02457-21562,西宮市食肉センター,西宮市
="3-269",2011/04/25,02457-24631,西宮市食肉センター,西宮市
="3-22",2011/03/28,02457-40945,東京都立芝浦と場,東京都
="3-70",2011/04/08,02457-40976,東京都立芝浦と場,東京都
="3-182",2011/06/22,02459-45906,東京都立芝浦と場,東京都
="3-208",2011/07/06,02459-46149,東京都立芝浦と場,東京都
="3-183",2011/06/22,02460-20244,東京都立芝浦と場,東京都
="3-33",2011/03/30,02460-22361,東京都立芝浦と場,東京都
="3-57",2011/04/01,02460-22507,東京都立芝浦と場,東京都
="3-401",2011/07/04,02462-18986,西宮市食肉センター,西宮市
="3-87",2011/04/15,02462-40949,東京都立芝浦と場,東京都
="3-270",2011/04/25,02462-41090,西宮市食肉センター,西宮市
="3-71",2011/04/08,02462-41151,東京都立芝浦と場,東京都
="3-244",2011/04/18,02462-41250,西宮市食肉センター,西宮市
="3-292",2011/05/04,02462-41342,西宮市食肉センター,西宮市
="3-328",2011/05/23,02462-44947,西宮市食肉センター,西宮市
="3-88",2011/04/15,02464-15354,東京都立芝浦と場,東京都
="3-245",2011/04/18,02467-44768,西宮市食肉センター,西宮市
="3-293",2011/05/04,02467-45093,西宮市食肉センター,西宮市
="3-46",2011/03/31,02467-45314,東京都立芝浦と場,東京都
="3-209",2011/07/06,02468-23548,東京都立芝浦と場,東京都
="3-151",2011/05/18,02470-31928,東京都立芝浦と場,東京都
="3-72",2011/04/08,02471-23494,東京都立芝浦と場,東京都
="3-123",2011/04/25,02477-25780,東京都立芝浦と場,東京都
="3-98",2011/04/21,02484-14775,東京都立芝浦と場,東京都
="3-166",2011/05/31,02486-19071,東京都立芝浦と場,東京都
="3-73",2011/04/08,02486-19569,東京都立芝浦と場,東京都
="3-27",2011/03/29,02488-16272,東京都立芝浦と場,東京都
="3-233",2011/04/11,02489-56091,西宮市食肉センター,西宮市
="3-282",2011/04/26,02493-17976,西宮市食肉センター,西宮市
="3-167",2011/05/31,02493-18034,東京都立芝浦と場,東京都
="3-58",2011/04/01,02496-16406,東京都立芝浦と場,東京都
="3-366",2011/06/13,02499-16117,西宮市食肉センター,西宮市
="3-34",2011/03/30,02499-41546,東京都立芝浦と場,東京都
="3-353",2011/06/06,02499-41638,西宮市食肉センター,西宮市
="3-317",2011/05/16,02499-41645,西宮市食肉センター,西宮市
