年,出生数,死亡数
1899,1386981,932087
1900,1420534,910744
1901,1501591,925810
1902,1510835,959126
1903,1489816,931008
1904,1440371,955400
1905,1452770,1004661
1906,1394295,955256
1907,1614472,1016798
1908,1662815,1029447
1909,1693850,1091264
1910,1712857,1064234
1911,1747803,1043906
1912,1737674,1037016
1913,1757441,1027257
1914,1808402,1101815
1915,1799326,1093793
1916,1804822,1187832
1917,1812413,1199669
1918,1791992,1493162
1919,1778685,1281965
1920,2025564,1422096
1921,1990876,1288570
1922,1969314,1286941
1923,2043297,1332485
1924,1998520,1254946
1925,2086091,1210706
1926,2104405,1160734
1927,2060737,1214323
1928,2135852,1236711
1929,2077026,1261228
1930,2085101,1170867
1931,2102784,1240891
1932,2182742,1175344
1933,2121253,1193987
1934,2043783,1234684
1935,2190704,1161936
1936,2101969,1230278
1937,2180734,1207899
1938,1928321,1259805
1939,1901573,1268760
1940,2115867,1186595
1941,2277283,1149559
1942,2233660,1166630
1943,2253535,1213811
1944,NA,NA
1945,NA,NA
1946,NA,NA
1947,2678792,1138238
1948,2681624,950610
1949,2696638,945444
1950,2337507,904876
1951,2137689,838998
1952,2005162,765068
1953,1868040,772547
1954,1769580,721491
1955,1730692,693523
1956,1665278,724460
1957,1566713,752445
1958,1653469,684189
1959,1626088,689959
1960,1606041,706599
1961,1589372,695644
1962,1618616,710265
1963,1659521,670770
1964,1716761,673067
1965,1823697,700438
1966,1360974,670342
1967,1935647,675006
1968,1871839,686555
1969,1889815,693787
1970,1934239,712962
1971,2000973,684521
1972,2038682,683751
1973,2091983,709416
1974,2029989,710510
1975,1901440,702275
1976,1832617,703270
1977,1755100,690074
1978,1708643,695821
1979,1642580,689664
1980,1576889,722801
1981,1529455,720262
1982,1515392,711883
1983,1508687,740038
1984,1489780,740247
1985,1431577,752283
1986,1382946,750620
1987,1346658,751172
1988,1314006,793014
1989,1246802,788594
1990,1221585,820305
1991,1223245,829797
1992,1208989,856643
1993,1188282,878532
1994,1238328,875933
1995,1187064,922139
1996,1206555,896211
1997,1191665,913402
1998,1203147,936484
1999,1177669,982031
2000,1190547,961653
2001,1170662,970331
2002,1153855,982379
2003,1123610,1014951
2004,1110721,1028602
2005,1062530,1083796
2006,1092674,1084451
2007,1089818,1108334
2008,1091156,1142407
2009,1070036,1141865
2010,1071305,1197014
2011,1050807,1253068
2012,1037232,1256359
2013,1029817,1268438
2014,1003609,1273025
2015,1005721,1290510
2016,977242,1308158
2017,946146,1340567
2018,918400,1362470
2019,865239,1381093
2020,840835,1372755
