年月,出生率
1899-1-15,38.3
1899-2-15,35.6
1899-3-15,36.1
1899-4-15,32
1899-5-15,27.4
1899-6-15,24.5
1899-7-15,27.7
1899-8-15,28.5
1899-9-15,31.3
1899-10-15,31.7
1899-11-15,35.1
1899-12-15,35.5
1900-1-15,41.5
1900-2-15,40.7
1900-3-15,37.4
1900-4-15,33
1900-5-15,27.4
1900-6-15,23.8
1900-7-15,26.7
1900-8-15,28.3
1900-9-15,33.1
1900-10-15,31.4
1900-11-15,33.3
1900-12-15,32.5
1901-1-15,43.7
1901-2-15,39.7
1901-3-15,42.2
1901-4-15,37.8
1901-5-15,30.4
1901-6-15,25.2
1901-7-15,27.4
1901-8-15,28.5
1901-9-15,32.9
1901-10-15,32.1
1901-11-15,32.9
1901-12-15,33.8
1902-1-15,44.8
1902-2-15,41.9
1902-3-15,41.7
1902-4-15,35
1902-5-15,29.1
1902-6-15,25.3
1902-7-15,27.1
1902-8-15,27.1
1902-9-15,32.1
1902-10-15,31.2
1902-11-15,34.5
1902-12-15,33.8
1903-1-15,42.7
1903-2-15,42.1
1903-3-15,41.9
1903-4-15,32.4
1903-5-15,28
1903-6-15,24.2
1903-7-15,26.3
1903-8-15,26.5
1903-9-15,31.1
1903-10-15,31.8
1903-11-15,34.2
1903-12-15,32.1
1904-1-15,42.4
1904-2-15,37.5
1904-3-15,41.9
1904-4-15,29.8
1904-5-15,25.4
1904-6-15,22.3
1904-7-15,24.6
1904-8-15,25.8
1904-9-15,30.9
1904-10-15,30.3
1904-11-15,32.5
1904-12-15,31.2
1905-1-15,40.4
1905-2-15,39.3
1905-3-15,40.9
1905-4-15,28.9
1905-5-15,26.2
1905-6-15,21.9
1905-7-15,25.2
1905-8-15,26.5
1905-9-15,29.8
1905-10-15,29.1
1905-11-15,30.5
1905-12-15,35.5
1906-1-15,34.5
1906-2-15,35.7
1906-3-15,37.7
1906-4-15,25.5
1906-5-15,23.6
1906-6-15,21.6
1906-7-15,24.4
1906-8-15,26.3
1906-9-15,31.5
1906-10-15,31.6
1906-11-15,33.2
1906-12-15,30.5
1907-1-15,46.8
1907-2-15,42.9
1907-3-15,48.7
1907-4-15,31.1
1907-5-15,28.6
1907-6-15,26
1907-7-15,28
1907-8-15,28
1907-9-15,32.1
1907-10-15,31.3
1907-11-15,34
1907-12-15,31.6
1908-1-15,45.6
1908-2-15,47.5
1908-3-15,50.2
1908-4-15,29.9
1908-5-15,27.1
1908-6-15,24.5
1908-7-15,26.7
1908-8-15,29.5
1908-9-15,32.7
1908-10-15,33.7
1908-11-15,36.2
1908-12-15,32.7
1909-1-15,47.5
1909-2-15,45.6
1909-3-15,50.6
1909-4-15,29.1
