都道府県,H22世帯数,インターネット回答世帯数,うちスマホ,インターネット回答率,うちスマホ率
# 全国,51950504,19175769,6630039,36.9,12.8
北海道,2424317,820057,291328,33.8,12.0
青森県,513385,151225,55607,29.5,10.8
岩手県,483934,161810,58716,33.4,12.1
宮城県,901862,328166,119303,36.4,13.2
秋田県,390136,124710,40511,32.0,10.4
山形県,388608,134195,44461,34.5,11.4
福島県,720794,226852,82952,31.5,11.5
茨城県,1088411,403163,140596,37.0,12.9
栃木県,745604,274794,101313,36.9,13.6
群馬県,755756,317378,120273,42.0,15.9
埼玉県,2841595,1196275,411042,42.1,14.5
千葉県,2515904,1008343,325446,40.1,12.9
東京都,6393768,1664636,499434,26.0,7.8
神奈川県,3844525,1569312,479754,40.8,12.5
新潟県,839039,342432,116502,40.8,13.9
富山県,383439,175404,54552,45.7,14.2
石川県,441170,178835,61516,40.5,13.9
福井県,275599,114529,35249,41.6,12.8
山梨県,327721,118338,43109,36.1,13.2
長野県,794461,331683,104715,41.7,13.2
岐阜県,737151,334437,122142,45.4,16.6
静岡県,1399140,618944,209234,44.2,15.0
愛知県,2933802,1323332,485022,45.1,16.5
三重県,704607,295122,103057,41.9,14.6
滋賀県,517748,250796,86601,48.4,16.7
京都府,1122057,426702,139401,38.0,12.4
大阪府,3832386,1356101,477053,35.4,12.4
兵庫県,2255318,923032,310995,40.9,13.8
奈良県,523523,235605,72874,45.0,13.9
和歌山県,393553,134932,49529,34.3,12.6
鳥取県,211964,82652,26767,39.0,12.6
島根県,262219,97894,31737,37.3,12.1
岡山県,754511,299285,101911,39.7,13.5
広島県,1184967,489762,177787,41.3,15.0
山口県,597432,223471,80103,37.4,13.4
徳島県,302294,102882,36077,34.0,11.9
香川県,390474,149167,53564,38.2,13.7
愛媛県,590888,197371,72840,33.4,12.3
高知県,321909,80714,28807,25.1,8.9
福岡県,2110468,747464,297274,35.4,14.1
佐賀県,295038,108908,43790,36.9,14.8
長崎県,558660,182541,74266,32.7,13.3
熊本県,688234,244536,101705,35.5,14.8
大分県,482051,158573,61247,32.9,12.7
宮崎県,460505,148931,62556,32.3,13.6
鹿児島県,729386,202507,88702,27.8,12.2
沖縄県,520191,117971,48619,22.7,9.3
