# 財団法人日本データ通信協会迷惑メール相談センターへ寄せられたチェーンメールの転送数
# http://www.dekyo.or.jp/soudan/chain/report/index.html
期間,件数
2010/8/2,983
2010/8/9,536
2010/8/16,693
2010/8/23,998
2010/8/30,1071
2010/9/6,349
2010/9/13,143
2010/9/20,254
2010/9/27,1121
2010/10/4,1799
2010/10/11,1425
2010/10/18,556
2010/10/25,806
2010/11/1,552
2010/11/8,694
2010/11/15,727
2010/11/22,1433
2010/11/29,948
2010/12/6,335
2010/12/13,211
2010/12/20,453
2010/12/27,274
2011/1/3,271
2011/1/10,137
2011/1/17,108
2011/1/24,83
2011/1/31,184
2011/2/7,329
2011/2/14,623
2011/2/21,1708
2011/2/28,856
2011/3/7,1683
2011/3/14,1725
2011/3/21,1934
2011/3/28,894
2011/4/4,473
2011/4/11,176
2011/4/18,1631
2011/4/25,3656
2011/5/2,10902
2011/5/9,2987
2011/5/16,1237
2011/5/23,394
2011/5/30,297
2011/6/6,354
2011/6/13,830
2011/6/20,995
2011/6/27,799
2011/7/4,1073
2011/7/11,303
2011/7/18,415
2011/7/25,656
2011/8/1,506
2011/8/8,405
2011/8/15,3349
2011/8/22,2874
2011/8/29,683
2011/9/5,270
2011/9/12,576
2011/9/19,679
2011/9/26,610
2011/10/3,616
2011/10/10,527
2011/10/17,554
2011/10/24,532
2011/10/31,1135
2011/11/7,787
2011/11/14,664
2011/11/21,936
2011/11/28,1696
2011/12/5,378
2011/12/12,227
2011/12/19,221
2011/12/26,231
2012/1/2,264
2012/1/9,469
2012/1/16,115
2012/1/23,187
2012/1/30,9
2012/2/6,116
2012/2/13,125
2012/2/20,312
2012/2/27,150
2012/3/5,87
2012/3/12,269
2012/3/19,146
2012/3/26,794
2012/4/2,1128
2012/4/9,1364
2012/4/16,2856
2012/4/23,1322
2012/4/30,1035
2012/5/7,1423
2012/5/14,1133
2012/5/21,1393
2012/5/28,1752
2012/6/4,993
2012/6/11,1416
2012/6/18,1632
2012/6/25,830
2012/7/2,223
2012/7/9,67
2012/7/16,84
2012/7/23,150
2012/7/30,320
2012/8/6,989
2012/8/13,505
2012/8/20,670
2012/8/27,207
2012/9/3,106
2012/9/10,94
2012/9/17,193
2012/9/24,227
