年月,カラーテレビ普及率
1966/2,0.3 
1967/2,1.6 
1968/2,5.4 
1969/2,13.9 
1970/2,26.3 
1971/2,42.3 
1972/2,61.1 
1973/2,75.8 
1974/2,85.9 
1975/2,90.3 
1976/2,93.7 
1977/2,95.4 
1978/3,97.7 
1979/3,97.8 
1980/3,98.2 
1981/3,98.5 
1982/3,98.9 
1983/3,98.8 
1984/3,99.2 
1985/3,99.1 
1986/3,98.9 
1987/3,98.7 
1988/3,99.0 
1989/3,99.3 
1990/3,99.4 
1991/3,99.3 
1992/3,99.0 
1993/3,99.1 
1994/3,99.0 
1995/3,98.9 
1996/3,99.1 
1997/3,99.2 
1998/3,99.2 
1999/3,98.9 
2000/3,99.0 
2001/3,99.2 
2002/3,99.3 
2003/3,99.4 
2004/3,99.0 
2005/3,99.3 
2006/3,99.4 
2007/3,99.5 
2008/3,99.7 
2009/3,99.4 
2010/3,99.5 
2011/3,99.6 
2012/3,99.4 
2013/3,99.3 
2014/3,96.5 
2015/3,97.5 
2016/3,98.1 
