国公私,大学,学部,学生数,本務教員数,兼任教員数,合計,ST比1,ST比2,初年度納入金
国立,旭川医科大学,医学部,980,89,0,89,11.0,11.0,918060
国立,小樽商科大学,商学部,2301,77,36,113,29.9,20.4,817800
国立,帯広畜産大学,畜産学部,1178,71,0,71,16.6,16.6,817800
国立,北見工業大学,工学部,1827,106,,106,17.2,17.2,817800
国立,北海道大学,文学部,634,0,116,116,,5.5,817800
国立,北海道大学,教育学部,192,0,66,66,,2.9,817800
国立,北海道大学,法学部,681,0,54,54,,12.6,817800
国立,北海道大学,経済学部,647,0,33,33,,19.6,817800
国立,北海道大学,理学部,978,0,185,185,,5.3,817800
国立,北海道大学,工学部,2303,0,266,266,,8.7,817800
国立,北海道大学,農学部,698,0,137,137,,5.1,817800
国立,北海道大学,獣医学部,211,0,36,36,,5.9,817800
国立,北海道大学,水産学部,666,4,66,70,,9.5,817800
国立,北海道大学,医学部,1148,0,146,146,,7.9,817800
国立,北海道大学,歯学部,258,0,98,98,,2.6,817800
国立,北海道大学,薬学部,303,0,36,36,,8.4,817800
国立,北海道教育大学,教育学部,5078,379,1,380,13.4,13.4,817800
国立,弘前大学,教育学部,952,80,,80,11.9,11.9,817800
国立,弘前大学,理工学部,1315,82,,82,,16.0,817800
国立,弘前大学,農学生命科学部,814,54,,54,15.1,15.1,817800
国立,弘前大学,医学部,826,148,,148,,5.6,817800
国立,岩手大学,人文社会科学部,939,67,2,69,14.0,13.6,817800
国立,岩手大学,教育学部,997,67,7,74,14.9,13.5,817800
国立,岩手大学,農学部,1023,102,8,110,10.0,9.3,817800
国立,宮城教育大学,教育学部,1518,86,20,106,17.7,14.3,837800
国立,秋田大学,教育文化学部,996,83,16,99,12.0,10.1,817800
国立,秋田大学,医学部,1220,0,95,95,,12.8,817800
国立,山形大学,人文学部,1379,84,,84,16.4,16.4,883260
国立,山形大学,地域教育文化学部,1018,74,27,101,13.8,10.1,883460
国立,山形大学,理学部,785,68,,68,11.5,11.5,817800
国立,山形大学,農学部,656,58,,58,11.3,11.3,888360
国立,山形大学,医学部,1039,71,69,140,14.6,7.4,1029490
国立,福島大学,人文社会学群,3162,159,0,159,19.9,19.9,817800
国立,福島大学,理工学群,800,49,0,49,16.3,16.3,817800
国立,茨城大学,人文学部,1744,91,,91,19.2,19.2,817800
国立,茨城大学,教育学部,1533,115,,115,13.3,13.3,817800
国立,茨城大学,理学部,934,61,,61,15.3,15.3,817800
国立,茨城大学,工学部,2291,142,,142,16.1,16.1,817800
国立,茨城大学,農学部,510,53,,53,9.6,9.6,817800
国立,筑波技術大学,産業技術学部,215,40,0,40,5.4,5.4,817800
国立,筑波技術大学,保健科学部,150,32,0,32,4.7,4.7,817800
国立,宇都宮大学,国際学部,507,33,,33,15.4,15.4,817800
国立,宇都宮大学,教育学部,848,63,11,74,13.5,11.5,817800
国立,宇都宮大学,工学部,1723,1,72,73,,23.6,817800
国立,宇都宮大学,農学部,931,66,,66,14.1,14.1,817800
国立,群馬大学,社会情報学部,465,24,,24,19.4,19.4,817800
国立,群馬大学,教育学部,932,83,,83,11.2,11.2,863460
国立,埼玉大学,教養学部,847,0,53,53,,16.0,817800
国立,埼玉大学,経済学部,1303,0,47,47,,27.7,817800
国立,埼玉大学,教育学部,1973,107,0,107,18.4,18.4,817800
