Date,Time,計測場所,線量率(μSv/h),中性子線量率(μSv/h),天候,風向,風速（m/s）
2011/03/11,17:00:00,体育館付近,0.047,-,-,-,-
2011/03/11,17:10:00,体育館付近,0.041,-,-,-,-
2011/03/11,17:20:00,体育館付近,0.054,-,-,-,-
2011/03/11,17:30:00,体育館付近,0.049,-,-,-,-
2011/03/11,17:40:00,正門付近,0.056,-,-,-,-
2011/03/11,17:49:00,正門付近,0.056,-,-,-,-
2011/03/11,17:50:00,管理棟,0.064,-,-,-,-
2011/03/11,18:00:00,管理棟,0.063,-,-,-,-
2011/03/11,18:10:00,管理棟,0.065,-,-,-,-
2011/03/11,18:35:00,管理棟,0.055,-,-,-,-
2011/03/11,18:45:00,MP-6,0.056,-,-,-,-
2011/03/11,19:00:00,MP-7,0.057,-,-,-,-
2011/03/11,19:10:00,MP-5,0.055,-,-,-,-
2011/03/11,19:15:00,MP-4,0.059,-,-,-,-
2011/03/11,19:20:00,MP-3,0.059,-,-,-,-
2011/03/11,19:45:00,正門付近,0.057,-,-,北西,2.8
2011/03/11,19:52:00,正門付近,0.057,-,-,-,-
2011/03/11,20:00:00,正門付近,0.06,-,-,-,-
2011/03/11,20:10:00,正門付近,0.059,-,-,-,-
2011/03/11,20:20:00,正門付近,0.067,-,-,-,-
2011/03/11,20:35:00,正門付近,0.067,<0.01,-,東,0.4
2011/03/11,20:45:00,正門付近,0.061,-,-,北東,0.4
2011/03/11,21:00:00,正門付近,0.06,-,-,北西,0.4
2011/03/11,21:15:00,正門付近,0.064,-,-,南西,0.5
2011/03/11,21:30:00,正門付近,0.062,<0.01,-,北東,0.4
2011/03/11,21:40:00,正門付近,0.061,<0.01,-,北西,0.5
2011/03/11,21:50:00,正門付近,0.061,<0.01,-,東北東,0.4
2011/03/11,22:00:00,正門付近,0.059,<0.01,-,北,0.4
2011/03/11,22:10:00,正門付近,0.06,<0.01,-,東北東,0.6
2011/03/11,22:20:00,正門付近,0.062,<0.01,-,北東,0.5
2011/03/11,22:30:00,正門付近,0.06,<0.01,-,北北西,0.5
2011/03/11,22:40:00,正門付近,0.06,<0.01,-,北,0.6
2011/03/11,22:50:00,正門付近,0.059,<0.01,-,西,0.7
2011/03/11,23:00:00,正門付近,0.06,<0.01,-,北,0.8
2011/03/11,23:10:00,正門付近,0.063,<0.01,-,西北西,0.4
2011/03/11,23:20:00,正門付近,0.06,<0.01,-,北,0.3
2011/03/11,23:30:00,正門付近,0.061,<0.01,-,北 ,0.2
2011/03/11,23:40:00,正門付近,0.063,<0.01,-,北,0.4
2011/03/11,23:50:00,正門付近,0.059,<0.01,-,北北東,0.4
2011/03/12,00:00:00,正門付近,0.06,<0.01,-,南東,0.5
2011/03/12,00:10:00,正門付近,0.062,<0.01,-,北東,2
2011/03/12,00:20:00,正門付近,0.065,<0.01,-,北東,1.8
2011/03/12,00:30:00,正門付近,0.064,<0.01,-,東北東,0.9
2011/03/12,00:40:00,正門付近,0.063,<0.01,-,東北東,1.1
2011/03/12,00:50:00,正門付近,0.063,<0.01,-,西南西,1.4
2011/03/12,01:00:00,正門付近,0.064,<0.01,-,北西,1.3
2011/03/12,01:10:00,正門付近,0.068,<0.01,-,北,1.4
2011/03/12,01:20:00,正門付近,0.064,<0.01,-,北北西,1.5
2011/03/12,01:30:00,正門付近,0.064,<0.01,-,西,1.4
2011/03/12,01:40:00,正門付近,0.068,<0.01,-,北北西,0.6
2011/03/12,01:50:00,正門付近,0.066,<0.01,-,西南西,0.8
2011/03/12,02:00:00,正門付近,0.068,<0.01,-,南西,0.7
2011/03/12,02:10:00,正門付近,0.064,<0.01,-,西南西,0.7
2011/03/12,02:20:00,正門付近,0.067,<0.01,-,北西,1
2011/03/12,02:30:00,正門付近,0.065,<0.01,-,北北西,0.9
