Date,Time,MP-1(É Sv/h),MP-2(É Sv/h),MP-3(É Sv/h),MP-4(É Sv/h),MP-5(É Sv/h),MP-6(É Sv/h),MP-7(É Sv/h),MP-8(É Sv/h)
2011/04/04,19:00,-,-,53,54,114,172,327,255
2011/04/04,19:10,-,-,53,54,114,172,327,253
2011/04/04,19:20,-,-,53,54,114,171,328,253
2011/04/04,19:30,-,-,53,54,114,171,328,252
2011/04/04,19:40,-,-,53,54,114,171,328,252
2011/04/04,19:50,-,-,53,54,114,171,327,253
2011/04/04,20:00,-,-,53,53,114,171,326,253
2011/04/04,20:10,-,-,53,53,114,171,326,252
2011/04/04,20:20,-,-,53,53,114,171,326,252
2011/04/04,20:30,-,-,53,53,114,171,326,252
2011/04/04,20:40,-,-,53,53,114,171,326,252
2011/04/04,20:50,-,-,53,53,114,171,326,252
2011/04/04,21:00,-,-,53,53,113,171,325,252
2011/04/04,21:10,-,-,53,53,112,171,325,252
2011/04/04,21:20,-,-,53,53,112,171,325,251
2011/04/04,21:30,-,-,53,53,112,170,325,251
2011/04/04,21:40,-,-,53,53,113,170,325,250
2011/04/04,21:50,-,-,52,53,113,170,324,250
2011/04/04,22:00,-,-,52,53,113,170,324,250
2011/04/04,22:10,-,-,52,53,113,170,324,250
2011/04/04,22:20,-,-,52,53,113,170,324,250
2011/04/04,22:30,-,-,52,53,113,170,324,250
2011/04/04,22:40,-,-,52,53,113,170,324,250
2011/04/04,22:50,-,-,52,53,113,170,323,250
2011/04/04,23:00,-,-,52,53,113,170,323,250
2011/04/04,23:10,-,-,52,53,113,170,323,250
2011/04/04,23:20,-,-,52,53,112,170,323,250
2011/04/04,23:30,-,-,52,53,112,170,323,250
2011/04/04,23:40,-,-,52,53,112,170,323,249
2011/04/04,23:50,-,-,52,53,112,170,322,249
2011/04/05,00:00,-,-,52,53,112,170,322,249
2011/04/05,00:10,-,-,52,53,112,170,322,249
2011/04/05,00:20,-,-,52,53,112,170,322,249
2011/04/05,00:30,-,-,52,53,112,170,322,249
2011/04/05,00:40,-,-,52,53,112,170,322,249
2011/04/05,00:50,-,-,52,53,111,170,322,249
2011/04/05,01:00,-,-,52,53,111,170,321,249
2011/04/05,01:10,-,-,52,53,111,169,321,249
2011/04/05,01:20,-,-,52,53,111,169,321,249
2011/04/05,01:30,-,-,52,53,111,169,321,249
2011/04/05,01:40,-,-,52,52,111,169,321,248
2011/04/05,01:50,-,-,52,52,111,169,321,248
2011/04/05,02:00,-,-,52,52,111,169,321,248
2011/04/05,02:10,-,-,52,52,111,169,320,248
2011/04/05,02:20,-,-,52,52,111,169,320,248
2011/04/05,02:30,-,-,52,52,111,169,320,248
2011/04/05,02:40,-,-,52,52,111,168,320,248
2011/04/05,02:50,-,-,52,52,111,168,320,248
2011/04/05,03:00,-,-,52,52,111,168,320,248
2011/04/05,03:10,-,-,52,52,111,168,320,248
2011/04/05,03:20,-,-,52,52,111,168,320,248
2011/04/05,03:30,-,-,52,52,111,168,320,248
