Date,Time,éññ±ñ{äŸìÏë§ê¸ó ó¶(É Sv/h),ê≥ñÂê¸ó ó¶(É Sv/h),êºñÂê¸ó ó¶(É Sv/h)
2011/03/27,00:00,1.31,210,102
2011/03/27,00:30,1.32,214,100
2011/03/27,01:00,1.31,210,101
2011/03/27,01:30,1.31,210,101
2011/03/27,02:00,1.31,210,98
2011/03/27,02:30,1.31,211,100
2011/03/27,03:00,1.3,209,100
2011/03/27,03:30,1.3,212,100
2011/03/27,04:00,1.3,208,100
2011/03/27,04:30,1.31,208,99
2011/03/27,05:00,1.3,211,98
2011/03/27,05:30,1.29,208,98
2011/03/27,06:00,1.29,209,99
2011/03/27,06:30,1.28,210,98
2011/03/27,07:00,1.29,209,99
2011/03/27,07:30,1.28,211,98
2011/03/27,08:00,1.28,208,98
2011/03/27,08:30,1.26,208,98
2011/03/27,09:00,1.25,208,96
2011/03/27,09:30,1.24,209,95
2011/03/27,10:00,1.23,209,96
2011/03/27,10:30,1.23,206,97
2011/03/27,11:00,1.23,209,94
2011/03/27,11:30,1.1,207,95
2011/03/27,12:00,1.21,205,94
2011/03/27,12:30,1.2,207,95
2011/03/27,12:40,1.2,209,92
2011/03/27,12:50,1.2,209,93
2011/03/27,13:00,1.2,204,93
2011/03/27,13:10,1.2,205,93
2011/03/27,13:20,1.2,205,93
2011/03/27,13:30,1.19,203,92
2011/03/27,13:40,1.19,205,91
2011/03/27,13:50,1.19,205,93
2011/03/27,14:00,1.19,206,91
2011/03/27,14:10,1.19,204,92
2011/03/27,14:20,1.2,205,92
2011/03/27,14:30,1.19,201,91
2011/03/27,14:40,1.2,203,91
2011/03/27,14:50,1.19,204,93
2011/03/27,15:00,1.19,203,92
2011/03/27,15:30,1.19,203,93
2011/03/27,16:00,1.19,202,90
2011/03/27,16:30,1.19,201,90
2011/03/27,17:00,1.19,201,91
2011/03/27,17:10,1.19,202,92
2011/03/27,17:20,1.19,199,91
2011/03/27,17:30,1.19,201,91
2011/03/27,17:40,1.19,201,91
2011/03/27,17:50,1.19,200,90
2011/03/27,18:00,1.19,201,92
2011/03/27,18:10,1.19,199,91
2011/03/27,18:20,1.19,199,92
2011/03/27,18:30,1.19,199,91
2011/03/27,18:40,1.19,199,92
2011/03/27,18:50,1.2,199,90
2011/03/27,19:00,1.2,199,92
2011/03/27,19:10,1.19,199,92
2011/03/27,19:20,1.2,199,91
2011/03/27,19:30,1.2,197,93
2011/03/27,19:40,1.2,200,93
2011/03/27,20:00,1.2,198,93
2011/03/27,20:30,1.2,198,93
2011/03/27,21:00,1.2,196,93
2011/03/27,21:30,1.21,199,92
2011/03/27,22:00,1.21,195,93
2011/03/27,22:30,1.21,197,92
2011/03/27,23:00,1.2,195,92
2011/03/27,23:30,1.2,196,92
2011/03/28,00:00,1.2,195,91
