datetime,MP4
2011/3/16 4:30,24.5
2011/3/16 5:00,23.3
2011/3/16 5:30,22.4
2011/3/16 5:50,21.7
2011/3/16 6:00,21.4
2011/3/16 6:10,21.1
2011/3/16 6:20,20.8
2011/3/16 6:30,20.5
2011/3/16 6:40,20.3
2011/3/16 6:50,20.1
2011/3/16 7:00,19.8
2011/3/16 7:10,19.7
2011/3/16 7:20,19.5
2011/3/16 7:30,19.4
2011/3/16 7:40,19.2
2011/3/16 7:50,19
2011/3/16 8:00,18.9
2011/3/16 8:10,18.8
2011/3/16 8:20,18.6
2011/3/16 8:30,18.5
2011/3/16 8:40,18.2
2011/3/16 8:50,18.1
2011/3/16 9:00,18
2011/3/16 9:10,17.9
2011/3/16 9:20,17.7
2011/3/16 9:30,17.8
2011/3/16 9:40,80
2011/3/16 9:50,87.7
2011/3/16 10:00,75.4
2011/3/16 10:10,41.8
2011/3/16 10:20,38.2
2011/3/16 10:30,38.6
2011/3/16 10:40,33.9
2011/3/16 10:50,32.7
2011/3/16 11:00,32.6
2011/3/16 11:10,31
2011/3/16 11:20,29.3
2011/3/16 11:30,29.1
2011/3/16 11:40,29.6
2011/3/16 11:50,29.5
2011/3/16 12:00,29.4
2011/3/16 12:10,29.9
2011/3/16 12:20,28
2011/3/16 12:30,26.4
2011/3/16 12:40,26
2011/3/16 12:50,25.2
2011/3/16 13:00,25.2
2011/3/16 13:10,24.9
2011/3/16 13:20,24.4
2011/3/16 13:30,24
2011/3/16 13:40,23.8
2011/3/16 13:50,23.5
2011/3/16 14:00,23.3
2011/3/16 14:10,23.1
2011/3/16 14:20,22.9
2011/3/16 14:30,22.6
2011/3/16 14:40,22.3
2011/3/16 14:50,22.1
2011/3/16 15:00,21.8
2011/3/16 15:10,21.6
2011/3/16 15:20,21.5
2011/3/16 15:30,21.2
2011/3/16 15:40,21.1
2011/3/16 15:50,20.8
2011/3/16 16:00,20.7
2011/3/16 16:10,20.6
2011/3/16 16:20,20.4
2011/3/16 16:30,20.2
2011/3/16 16:40,20.1
2011/3/16 16:50,20
2011/3/16 17:00,19.9
2011/3/16 17:10,19.7
2011/3/16 17:20,19.7
2011/3/16 17:30,19.6
2011/3/16 17:40,19.5
2011/3/16 17:50,19.5
2011/3/16 18:00,19.3
2011/3/16 18:10,19.2
2011/3/16 18:20,19.1
2011/3/16 18:30,19.1
2011/3/16 18:40,19
2011/3/16 18:50,18.9
2011/3/16 19:00,18.9
2011/3/16 19:10,18.9
2011/3/16 19:20,18.7
2011/3/16 19:30,18.6
2011/3/16 19:40,18.6
2011/3/16 19:50,18.6
