日時,福島,郡山,降水量,気温
2012/9/1 0:00,0.69,0.52,,26.4
2012/9/1 1:00,0.71,0.52,,26.1
2012/9/1 2:00,0.71,0.52,,25.8
2012/9/1 3:00,0.71,0.52,,25.2
2012/9/1 4:00,0.72,0.52,,24.6
2012/9/1 5:00,0.72,0.51,,23.9
2012/9/1 6:00,0.72,0.52,,24
2012/9/1 7:00,0.73,0.52,,24.6
2012/9/1 8:00,0.71,0.51,,26.2
2012/9/1 9:00,0.68,0.51,,28.3
2012/9/1 10:00,0.66,0.5,0,28.1
2012/9/1 11:00,0.67,0.47,0,27.1
2012/9/1 12:00,0.66,0.48,0,28.6
2012/9/1 13:00,0.66,0.47,,28.4
2012/9/1 14:00,0.66,0.48,0,29.1
2012/9/1 15:00,0.65,0.48,,30.8
2012/9/1 16:00,0.66,0.48,,30.7
2012/9/1 17:00,0.65,0.5,,29.6
2012/9/1 18:00,0.67,0.5,,28
2012/9/1 19:00,0.68,0.51,,26.5
2012/9/1 20:00,0.69,0.51,,26
2012/9/1 21:00,0.71,0.52,,25.9
2012/9/1 22:00,0.71,0.51,,25.2
2012/9/1 23:00,0.72,0.52,0,24.7
2012/9/2 0:00,0.71,0.52,0.5,24.3
2012/9/2 1:00,0.71,0.52,,24.1
2012/9/2 2:00,0.72,0.51,0,24
2012/9/2 3:00,0.72,0.52,0,23.7
2012/9/2 4:00,0.72,0.51,,23.8
2012/9/2 5:00,0.73,0.52,,23.5
2012/9/2 6:00,0.73,0.52,0,23.8
2012/9/2 7:00,0.73,0.52,0,24.2
2012/9/2 8:00,0.72,0.51,0,25.3
2012/9/2 9:00,0.69,0.51,,26.9
2012/9/2 10:00,0.68,0.51,0,27
2012/9/2 11:00,0.67,0.51,0,27.3
2012/9/2 12:00,0.67,0.5,0,26.3
2012/9/2 13:00,0.68,0.5,1.5,25.6
2012/9/2 14:00,0.69,0.51,0,25.8
2012/9/2 15:00,0.69,0.51,0,26.7
2012/9/2 16:00,0.69,0.51,0,27.3
2012/9/2 17:00,0.69,0.51,0,26.6
2012/9/2 18:00,0.7,0.51,0,25.9
2012/9/2 19:00,0.7,0.51,,25.5
2012/9/2 20:00,0.71,0.51,0,24.5
2012/9/2 21:00,0.71,0.52,,24.3
2012/9/2 22:00,0.72,0.51,,24.1
2012/9/2 23:00,0.73,0.51,,23.9
2012/9/3 0:00,0.73,0.52,,23.9
2012/9/3 1:00,0.73,0.52,,23.8
2012/9/3 2:00,0.73,0.51,,23.4
2012/9/3 3:00,0.73,0.52,,23.1
2012/9/3 4:00,0.74,0.51,,22.3
2012/9/3 5:00,0.74,0.52,,22.3
2012/9/3 6:00,0.74,0.52,,22.6
2012/9/3 7:00,0.74,0.52,,23.8
2012/9/3 8:00,0.72,0.51,,24.9
2012/9/3 9:00,0.68,0.51,,27
2012/9/3 10:00,0.63,0.51,,28.2
2012/9/3 11:00,0.62,0.51,,29.4
2012/9/3 12:00,0.61,0.5,,30.7
2012/9/3 13:00,0.63,0.48,,31.5
2012/9/3 14:00,0.62,0.47,,29.2
2012/9/3 15:00,0.65,0.49,,27.2
2012/9/3 16:00,0.64,0.49,40.5,23.9
2012/9/3 17:00,0.69,0.49,0.5,24.5
2012/9/3 18:00,0.69,0.49,,24.1
2012/9/3 19:00,0.7,0.5,,23.7
2012/9/3 20:00,0.7,0.51,,23.6
2012/9/3 21:00,0.71,0.51,,23.7
2012/9/3 22:00,0.71,0.52,,23.4
2012/9/3 23:00,0.71,0.52,,23.2
2012/9/4 0:00,0.71,0.52,,23
2012/9/4 1:00,0.71,0.52,,22.5
2012/9/4 2:00,0.72,0.52,,22.3
2012/9/4 3:00,0.72,0.52,,22.4
2012/9/4 4:00,0.72,0.52,,22.2
2012/9/4 5:00,0.72,0.52,,22.1
2012/9/4 6:00,0.72,0.52,,22.2
2012/9/4 7:00,0.71,0.52,,23
2012/9/4 8:00,0.71,0.51,,24
2012/9/4 9:00,0.69,0.5,0,25.5
2012/9/4 10:00,0.66,0.51,,27.1
2012/9/4 11:00,0.64,0.49,,29
2012/9/4 12:00,0.63,0.48,,30.7
2012/9/4 13:00,0.62,0.47,,30.8
2012/9/4 14:00,0.62,0.48,0,30.1
2012/9/4 15:00,0.62,0.48,0,29.6
2012/9/4 16:00,0.63,0.48,0,27.4
2012/9/4 17:00,0.64,0.48,0,25.7
2012/9/4 18:00,0.68,0.49,0,24.6
2012/9/4 19:00,0.69,0.5,1.5,24.2
2012/9/4 20:00,0.7,0.51,0,24.1
2012/9/4 21:00,0.7,0.52,,23.9
2012/9/4 22:00,0.7,0.51,,23.9
2012/9/4 23:00,0.71,0.52,,23.5
2012/9/5 0:00,0.71,0.52,,23.3
2012/9/5 1:00,0.71,0.51,,22.8
2012/9/5 2:00,0.72,0.52,,22.6
2012/9/5 3:00,0.71,0.52,,22.1
2012/9/5 3:59,0.71,0.52,,21.9
2012/9/5 4:59,0.72,0.52,,22.1
2012/9/5 5:59,0.72,0.52,,22.2
2012/9/5 6:59,0.71,0.52,,22.7
2012/9/5 7:59,0.7,0.51,,23.9
2012/9/5 8:59,0.69,0.5,,25.4
2012/9/5 9:59,0.66,0.48,,27
2012/9/5 10:59,0.63,0.48,,29
2012/9/5 11:59,0.62,0.47,,30.2
2012/9/5 12:59,0.62,0.47,,30.9
2012/9/5 13:59,0.59,0.47,,30.9
2012/9/5 14:59,0.59,0.48,,31.1
2012/9/5 15:59,0.6,0.48,,30.9
2012/9/5 16:59,0.61,0.47,,30.8
2012/9/5 17:59,0.65,0.48,,29.5
2012/9/5 18:59,0.66,0.48,0,27.6
2012/9/5 19:59,0.67,0.49,,26
2012/9/5 20:59,0.68,0.51,,25.1
2012/9/5 21:59,0.69,0.51,,24.8
2012/9/5 22:59,0.69,0.51,,24.2
2012/9/5 23:59,0.7,0.51,,23.6
2012/9/6 0:59,0.7,0.51,,22.8
2012/9/6 1:59,0.71,0.51,,23
2012/9/6 2:59,0.72,0.51,,22.2
2012/9/6 3:59,0.72,0.52,,21.9
2012/9/6 4:59,0.72,0.52,,22.1
2012/9/6 5:59,0.72,0.52,,21.9
2012/9/6 6:59,0.72,0.52,,22.7
2012/9/6 7:59,0.7,0.51,,24.1
2012/9/6 8:59,0.69,0.5,,25.5
2012/9/6 9:59,0.67,0.5,,26.7
2012/9/6 10:59,0.66,0.5,0.5,24.9
2012/9/6 11:59,0.67,0.49,4,22.8
2012/9/6 12:59,0.69,0.5,13.5,22.8
2012/9/6 13:59,0.69,0.51,0,23.8
2012/9/6 14:59,0.67,0.52,,24
2012/9/6 15:59,0.66,0.51,0,24.5
2012/9/6 16:59,0.67,0.51,0,24.8
2012/9/6 17:59,0.68,0.51,,24.4
2012/9/6 18:59,0.7,0.52,,24
2012/9/6 19:59,0.7,0.52,,23.1
2012/9/6 20:59,0.7,0.52,,22.6
2012/9/6 21:59,0.7,0.52,,22.3
2012/9/6 22:59,0.71,0.52,,22.1
2012/9/6 23:59,0.71,0.52,,21.9
2012/9/7 0:59,0.71,0.52,,21.1
2012/9/7 1:59,0.72,0.52,,20.5
2012/9/7 2:59,0.72,0.52,,20.3
2012/9/7 3:59,0.72,0.52,,20.1
2012/9/7 4:59,0.73,0.52,,19.7
2012/9/7 5:59,0.73,0.52,,19.8
2012/9/7 6:59,0.73,0.52,,21.1
2012/9/7 7:59,0.71,0.51,,23
2012/9/7 8:59,0.69,0.5,,25.4
2012/9/7 9:59,0.67,0.5,,27
2012/9/7 10:59,0.65,0.49,,28.9
2012/9/7 11:59,0.64,0.47,,29.8
2012/9/7 12:59,0.65,0.47,,31.4
2012/9/7 13:59,0.63,0.47,,31.6
2012/9/7 14:59,0.62,0.47,,30.9
2012/9/7 15:59,0.61,0.47,,30.1
2012/9/7 16:59,0.64,0.47,,28.9
2012/9/7 17:59,0.66,0.47,,27.6
2012/9/7 18:59,0.67,0.49,,26.5
2012/9/7 19:59,0.68,0.5,,25.7
2012/9/7 20:59,0.69,0.5,,24.7
2012/9/7 21:59,0.7,0.51,,23.6
2012/9/7 22:59,0.7,0.51,,22.9
2012/9/7 23:59,0.71,0.52,,22.3
2012/9/8 0:59,0.71,0.52,,21.9
