date,followers
2010/01/31,1043
2010/02/01,1044
2010/02/02,1075
2010/02/03,1096
2010/02/04,1107
2010/02/05,1121
2010/02/06,1127
2010/02/07,1132
2010/02/08,1131
2010/02/09,1134
2010/02/10,1141
2010/02/11,1144
2010/02/12,1150
2010/02/13,1162
2010/02/14,1164
2010/02/15,1166
2010/02/16,1175
2010/02/17,1183
2010/02/18,1187
2010/02/19,1189
2010/02/20,1203
2010/02/21,1210
2010/02/22,1217
2010/02/23,1221
2010/02/24,1226
2010/02/25,1229
2010/02/26,1230
2010/02/27,1237
2010/02/28,1250
2010/03/01,1257
2010/03/02,1263
2010/03/03,1274
2010/03/04,1277
2010/03/05,1323
2010/03/06,1328
2010/03/07,1342
2010/03/08,1344
2010/03/09,1357
2010/03/10,1366
2010/03/11,1371
2010/03/12,1381
2010/03/13,1392
2010/03/14,1390
2010/03/15,1396
2010/03/16,1402
2010/03/17,1404
2010/03/18,1409
2010/03/19,1418
2010/03/20,1418
2010/03/21,1420
2010/03/22,1437
2010/03/23,1443
2010/03/24,1464
2010/03/25,1469
2010/03/26,1473
2010/03/28,1490
2010/03/29,1492
2010/03/30,1494
2010/03/31,1492
2010/04/01,1501
2010/04/02,1501
2010/04/03,1503
2010/04/04,1510
2010/04/05,1514
2010/04/06,1526
2010/04/07,1535
2010/04/08,1558
2010/04/09,1569
2010/04/10,1589
2010/04/11,1590
2010/04/12,1602
2010/04/13,1614
2010/04/14,1633
2010/04/15,1634
2010/04/16,1639
2010/04/17,1641
2010/04/18,1646
2010/04/19,1655
2010/04/20,1652
2010/04/21,1654
2010/04/22,1659
2010/04/23,1667
2010/04/24,1667
2010/04/25,1671
2010/04/26,1674
2010/04/27,1680
2010/04/28,1684
2010/04/29,1686
2010/04/30,1734
2010/05/01,1739
2010/05/02,1742
2010/05/03,1750
2010/05/04,1751
2010/05/05,1754
2010/05/06,1760
2010/05/07,1773
2010/05/08,1778
2010/05/09,1790
2010/05/10,1794
2010/05/11,1800
2010/05/12,1801
2010/05/13,1807
2010/05/14,1812
2010/05/15,1817
2010/05/16,1824
2010/05/17,1833
2010/05/18,1842
2010/05/19,1845
2010/05/20,1849
2010/05/21,1852
2010/05/22,1857
2010/05/23,1859
2010/05/24,1864
2010/05/25,1866
2010/05/26,1882
2010/05/27,1885
2010/05/28,1891
2010/05/29,1896
2010/05/30,1919
2010/05/31,1947
2010/06/01,1956
2010/06/02,1960
2010/06/03,1967
2010/06/04,1983
2010/06/05,1986
2010/06/06,1985
2010/06/07,1997
2010/06/08,2016
2010/06/09,2043
2010/06/10,2056
2010/06/11,2072
2010/06/12,2078
2010/06/13,2078
2010/06/14,2084
2010/06/15,2094
2010/06/16,2094
2010/06/17,2097
2010/06/18,2107
2010/06/19,2110
2010/06/20,2109
2010/06/21,2109
2010/06/22,2121
2010/06/23,2131
2010/06/24,2175
2010/06/25,2189
2010/06/26,2193
2010/06/27,2195
2010/06/28,2200
2010/06/29,2211
2010/06/30,2212
2010/07/01,2249
2010/07/02,2258
2010/07/03,2264
2010/07/04,2281
2010/07/05,2287
2010/07/06,2289
2010/07/07,2293
