# https://web.archive.org/web/20130510163127/https://www.isc.org/solutions/survey/history
# Internet host count history
# Number of Internet Hosts
Date,Hosts,Adjusted Counts,Source
1981/08,213,NA,host table
1982/05,235,NA, 
1983/08,562,NA, 
1984/10,1024,NA, 
1985/10,1961,NA, 
1986/02,2308,NA, 
1986/11,5089,NA, 
1987/12,28174,NA,old domain survey
1988/07,33000,NA, 
1988/10,56000,NA, 
1989/01,80000,NA, 
1989/07,130000,NA, 
1989/10,159000,NA, 
1990/10,313000,NA, 
1991/01,376000,NA, 
1991/07,535000,NA, 
1991/10,617000,NA, 
1992/01,727000,NA, 
1992/04,890000,NA, 
1992/07,992000,NA, 
1992/10,1136000,NA, 
1993/01,1313000,NA, 
1993/04,1486000,NA, 
1993/07,1776000,NA, 
1993/10,2056000,NA, 
1994/01,2217000,NA, 
1994/07,3212000,NA, 
1994/10,3864000,NA, 
1995/01,4852000,5846000, 
1995/07,6642000,8200000, 
1996/01,9472000,14352000, 
1996/07,12881000,16729000, 
1997/01,16146000,21819000, 
1997/07,19540000,26053000, 
1998/01,29670000,NA,new domain survey
1998/07,36739000,NA, 
1999/01,43230000,NA, 
1999/07,56218000,NA, 
2000/01,72398092,NA, 
2000/07,93047785,NA, 
2001/01,109574429,NA, 
2001/07,125888197,NA, 
2002/01,147344723,NA, 
2002/07,162128493,NA, 
2003/01,171638297,NA, 
2004/01,233101481,NA, 
2004/07,285139107,NA, 
2005/01,317646084,NA, 
2005/07,353284187,NA, 
2006/01,394991609,NA, 
2006/07,439286364,NA, 
2007/01,433193199,NA, 
2007/07,489774269,NA, 
2008/01,541677360,NA, 
2008/07,570937778,NA, 
2009/01,625226456,NA, 
2009/07,681064561,NA
2010/01,732740444,NA
2010/07,768913036,NA
2011/01,818374269,NA
2011/07,849869781,NA
2012/01,888239420,NA
2012/07,908585739,NA
# https://www.isc.org/services/survey/
2013/01,963518598,NA
2013/07,996230757,NA
2014/01,1010251829,NA
