緯度_10進,経度_10進,μSv_h
35.75870476,139.9920643,0.11
35.75612295,139.9879574,0.11
35.75168304,139.9844189,0.11
35.75415912,139.9846856,0.13
35.75307695,139.9844189,0.13
35.75342989,139.9829734,0.13
35.74977689,139.9851836,0.13
35.7565267,139.9870434,0.12
35.75699637,139.9851836,0.12
35.75035917,139.9754001,0.11
35.74954892,139.975484,0.11
35.7519014,139.9762,0.1
35.75968531,139.9887925,0.11
35.75890389,139.9900603,0.11
35.75970453,139.9940314,0.11
35.75495838,139.9825105,0.13
35.75527424,139.9800219,0.13
35.75568623,139.977,0.09
35.75587026,139.9786417,0.09
35.75415774,139.9766629,0.09
35.75495838,139.9811304,0.09
35.75612295,139.9742866,0.13
35.75955347,139.9854855,0.13
35.75798103,139.9842647,0.13
35.75837517,139.9829734,0.14
35.75870476,139.9814859,0.16
35.75712271,139.9806759,0.16
35.75721061,139.9794014,0.12
35.76003962,139.9803321,0.12
35.75527424,139.9711339,0.12
35.75889016,139.9867131,0.12
35.75837517,139.9797569,0.12
35.7591607,139.9797552,0.18
35.76518815,139.9906305,0.11
35.76259123,139.9996191,0.11
35.76285902,139.9960639,0.11
35.76324217,139.9970416,0.11
35.76353881,139.9947307,0.11
35.76638705,139.9914422,0.11
35.76165051,139.9955357,0.11
35.76776997,139.9928642,0.11
35.7613113,139.9984637,0.11
35.76320784,139.9889116,0.09
35.76353881,139.9805971,0.16
35.77417508,139.9916719,0.16
35.77433026,139.990062,0.16
35.76383956,140.0038451,0.15
35.76691989,140.0019485,0.12
35.76594484,139.9844189,0.12
35.76846349,139.9984637,0.12
35.76366927,139.9867131,0.12
35.76380523,139.990062,0.12
35.76744037,139.9984637,0.12
35.76424194,139.9902213,0.12
35.76569765,139.9981971,0.12
35.76664935,139.9944641,0.17
35.77064705,139.9895992,0.17
35.77277842,139.9911822,0.17
35.7672948,139.9814859,0.17
35.76478577,139.9957084,0.17
35.76205838,139.9803305,0.17
35.76846349,139.9851836,0.15
35.77202036,139.9992284,0.15
35.7700167,139.9866057,0.15
35.77727188,139.9973083,0.15
35.7733401,139.9957084,0.13
35.77643691,139.9981971,0.13
35.76963355,139.9947307,0.13
35.76846349,139.992331,0.13
35.77046302,139.9925976,0.13
35.77277842,139.9889116,0.13
35.77620894,140.0016231,0.13
35.76963355,140.0045679,0.13
35.77727188,139.9992284,0.13
35.77156991,139.9877209,0.13
35.77794068,139.9846856,0.12
35.77647537,139.9944641,0.12
35.77677612,139.9975564,0.12
35.7733401,139.9981971,0.14
35.77450467,139.9960639,0.14
35.77504438,140.0025522,0.14
35.78094548,139.9690896,0.14
35.77865892,139.9787776,0.13
35.77814393,139.9872648,0.13
35.77709198,139.9902213,0.13
35.77923709,139.9805971,0.13
35.78021626,139.9775986,0.13
35.78320183,139.9970416,0.18
35.77807252,139.9973083,0.12
35.78042088,139.974902,0.15
35.77974658,139.9851836,0.15
35.78094548,139.971424,0.15
35.78275962,139.9818649,0.15
35.78167334,139.9831629,0.15
35.78054722,139.9844189,0.15
35.78138219,139.9762,0.15
35.78382256,139.9720227,0.14
35.78382256,139.9697537,0.14
35.78364815,139.969913,0.14
35.78248359,139.9887036,0.14
35.77945956,139.9929531,0.09
35.78577815,139.9784757,0.2
35.78382256,139.9745465,0.17
35.78248359,139.9782862,0.17
35.782658,139.9745465,0.15
35.78433206,139.9825122,0.13
35.78382256,139.9808889,0.21
35.78138219,139.9870451,0.15
35.78793287,139.9893493,0.13
35.78094548,139.990062,0.13
35.78207571,139.9920643,0.14
35.74873867,139.9854872,0.12
35.75219391,139.9867131,0.12
35.75262925,139.9887036,0.11
35.75699637,139.9890005,0.11
35.75870476,139.9931778,0.11
35.75612295,139.9929531,0.11
35.74782542,139.9860674,0.12
35.76402359,139.9920643,0.08
35.75568623,139.9914422,0.09
35.75779701,139.9940666,0.09
35.75779701,139.9957084,0.1
35.74782542,139.9984637,0.1
35.74829647,139.9996191,0.1
35.75870476,139.9947307,0.12
35.74389501,139.9978835,0.12
35.75243973,139.9995906,0.12
35.76070842,139.9944641,0.14
35.74481238,139.9975564,0.09
35.74627633,140.0030972,0.09
35.74977552,140.0011301,0.09
35.75546788,139.998779,0.09
35.75372103,139.9970416,0.09
35.74389501,140.0045193,0.09
35.74662652,140.0002597,0.11
35.74902844,140.0005314,0.11
35.75568623,140.005663,0.11
35.74722254,140.0038451,0.11
35.75495838,140.0002597,0.11
35.75372103,139.9957084,0.11
35.7451612,139.9996191,0.11
35.75721061,140.0034175,0.12
35.74902844,140.0064344,0.12
35.75219254,139.998779,0.12
35.75023146,139.998779,0.12
35.74799022,140.0049587,0.12
35.75721473,139.998623,0.14
35.75740012,139.9950393,0.14
