卒業年,卒業者,教員就職者_正規採用,教員就職者_臨時的任用,保育士への就職者,教員・保育士以外への就職者,大学院等への進学者
2000,15041,1803,3267,NA,NA,NA
2001,14606,1906,3610,NA,3995,NA
2002,13184,2301,3634,NA,3118,NA
2003,11713,2579,3532,NA,2232,NA
2004,10095,2606,3000,NA,1817,NA
2005,9885,2730,2841,NA,NA,NA
2006,9999,2979,2637,NA,NA,NA
2007,10131,3182,2586,NA,NA,NA
2008,10359,3206,2663,NA,NA,NA
2009,9962,3127,2514,NA,2317,1123
2010,10524,3507,2767,123,1897,1150
2011,10479,3820,2674,150,1752,1137
2012,10503,3726,2740,167,1761,1208
2013,10585,3729,2756,146,1811,1190
2014,10709,3813,2652,160,1986,1183
2015,10723,4045,2441,151,2194,1130
2016,10888,4167,2246,153,2341,1223
2017,10816,4168,2246,155,2438,1163
