# 第4表　公立学校教員の受験者数、採用者数、競争率（倍率）の推移
# 受験者数（Ａ） 採用者数（Ｂ）
# 女性(内数) 女性(内数)
区分,年度,受験者数,うち女性,採用者数,うち女性,競争率
小学校,21,51804,30125,12437,7932,4.2
小学校,22,54418,31783,12284,7762,4.4
小学校,23,57817,33354,12883,8102,4.5
小学校,24,59230,34117,13598,8561,4.4
小学校,25,58703,31192,13626,7956,4.3
小学校,26,57178,31237,13783,8504,4.1
小学校,27,55834,30036,14355,8794,3.9
小学校,28,53606,28478,14699,8940,3.6
小学校,29,52161,27343,15019,9035,3.5
小学校,30,51197,26313,15934,9349,3.2
中学校,21,56568,25511,6717,3258,8.4
中学校,22,59060,27140,6807,3097,8.7
中学校,23,63125,28420,8068,3600,7.8
中学校,24,62793,27964,8156,3682,7.7
中学校,25,62998,26228,8383,3582,7.5
中学校,26,62006,26371,8358,3773,7.4
中学校,27,60320,24894,8411,3787,7.2
中学校,28,59076,23642,8277,3604,7.1
中学校,29,57564,22449,7751,3407,7.4
中学校,30,54266,20438,7988,3400,6.8
高等学校,21,33371,12447,3567,1401,9.4
高等学校,22,34748,12740,4287,1686,8.1
高等学校,23,37629,13702,4904,1843,7.7
高等学校,24,37935,13561,5189,1939,7.3
高等学校,25,37812,12184,4912,1616,7.7
高等学校,26,37108,12456,5127,1870,7.2
高等学校,27,36384,11966,5037,1840,7.2
高等学校,28,35680,11402,5108,1830,7.0
高等学校,29,34177,10761,4827,1789,7.1
高等学校,30,32785,9771,4231,1451,7.7
# 小・中・高,21,141743,68083,22721,12591,6.2
# 小計,22,148226,71663,23378,12545,6.3
# 23,158571,75476,25855,13545,6.1
# 24,159958,75642,26943,14182,5.9
# 25,159513,69604,26921,13154,5.9
# 26,156292,70064,27268,14147,5.7
# 27,152538,66896,27803,14421,5.5
# 28,148362,63522,28084,14374,5.3
# 29,143902,60553,27597,14231,5.2
# 30,138248,56522,28153,14200,4.9
特別支援学校,21,7322,4647,2104,1422,3.5
特別支援学校,22,8092,5171,2365,1537,3.4
特別支援学校,23,8939,5500,2533,1617,3.5
特別支援学校,24,9198,5830,2672,1765,3.4
特別支援学校,25,10172,6172,2863,1760,3.6
特別支援学校,26,10388,6239,2654,1712,3.9
特別支援学校,27,11004,6432,2924,1877,3.8
特別支援学校,28,10601,6125,2846,1799,3.7
特別支援学校,29,10513,5961,2797,1781,3.8
特別支援学校,30,10837,5855,3127,1925,3.5
養護教諭,21,8989,8673,973,970,9.2
養護教諭,22,9228,9083,982,975,9.4
養護教諭,23,9552,9421,1095,1092,8.7
養護教諭,24,9715,9599,1184,1183,8.2
養護教諭,25,9827,9227,1171,1105,8.4
養護教諭,26,9578,9486,1174,1173,8.2
養護教諭,27,9783,9699,1338,1334,7.3
養護教諭,28,9890,9804,1334,1332,7.4
養護教諭,29,9840,9756,1328,1321,7.4
養護教諭,30,9696,9453,1451,1424,6.7
栄養教諭,21,820,776,99,98,8.3
栄養教諭,22,1201,1115,161,158,7.5
栄養教諭,23,1318,1250,150,145,8.8
栄養教諭,24,1367,1303,131,129,10.4
栄養教諭,25,1390,1193,152,141,9.1
栄養教諭,26,1562,1470,163,154,9.6
栄養教諭,27,1651,1556,179,176,9.2
栄養教諭,28,1602,1502,208,204,7.7
栄養教諭,29,1813,1707,239,233,7.6
栄養教諭,30,1886,1766,254,247,7.4
# 総計,21,158874,82179,25897,15081,6.1
# 総計,22,166747,87032,26886,15215,6.2
# 総計,23,178380,91647,29633,16399,6.0
# 総計,24,180238,92374,30930,17259,5.8
# 総計,25,180902,86196,31107,16160,5.8
# 総計,26,177820,87259,31259,17186,5.7
# 総計,27,174976,84583,32244,17808,5.4
# 総計,28,170455,80953,32472,17709,5.2
# 総計,29,166068,77977,31961,17566,5.2
# 総計,30,160667,73596,32985,17796,4.9
