year,month,rate
2001,1,5.4
2001,2,5.2
2001,3,5.4
2001,4,5.8
2001,5,5.6
2001,6,5.8
2001,7,5.5
2001,8,5.7
2001,9,5.7
2001,10,5.3
2001,11,5.7
2001,12,5.3
2002,1,5.5
2002,2,5.4
2002,3,5.8
2002,4,5.6
2002,5,5.3
2002,6,5.3
2002,7,5.4
2002,8,5.6
2002,9,5.6
2002,10,5.7
2002,11,6.1
2002,12,5.2
2003,1,5.8
2003,2,5.8
2003,3,5.5
2003,4,5.2
2003,5,5.4
2003,6,5.6
2003,7,5.4
2003,8,5
2003,9,6
2003,10,6.1
2003,11,5.5
2003,12,5.5
2004,1,5.6
2004,2,5.5
2004,3,5.7
2004,4,5.5
2004,5,5.6
2004,6,5.6
2004,7,5.4
2004,8,5.4
2004,9,5.9
2004,10,5.8
2004,11,5.3
2004,12,5.7
2005,1,5.4
2005,2,5.8
2005,3,5.9
2005,4,5.2
2005,5,5.9
2005,6,5.6
2005,7,5.8
2005,8,6
2005,9,6.2
2005,10,5.8
2005,11,5.7
2005,12,5.9
2006,1,6.1
2006,2,5.8
2006,3,5.3
2006,4,5.4
2006,5,5.9
2006,6,5.8
2006,7,6
2006,8,6.1
2006,9,6
2006,10,6.6
2006,11,5.7
2006,12,5.8
2007,1,6
2007,2,5.9
2007,3,6
2007,4,5.8
2007,5,6
2007,6,6.1
2007,7,6.3
2007,8,6
2007,9,6.4
2007,10,6.4
2007,11,6.1
2007,12,5.6
2008,1,6.2
2008,2,6
2008,3,5.7
2008,4,6.1
2008,5,6.2
2008,6,5.9
2008,7,5.9
2008,8,5.9
2008,9,6.3
2008,10,6
2008,11,6.3
2008,12,6.5
2009,1,6.4
2009,2,5.7
2009,3,6.4
2009,4,6
2009,5,6.3
2009,6,6.1
2009,7,6.1
2009,8,6.6
2009,9,6.6
2009,10,6.5
2009,11,6.1
2009,12,6.4
2010,1,6.2
2010,2,6.1
2010,3,6.2
2010,4,6.3
2010,5,6.2
2010,6,6.2
2010,7,6.6
2010,8,6.8
2010,9,6.9
2010,10,6.6
2010,11,6.6
2010,12,6.4
2011,1,6.4
2011,2,6.6
2011,3,6.3
2011,4,6.3
2011,5,6.2
2011,6,6.6
2011,7,6.5
2011,8,6.7
2011,9,7
2011,10,6.2
2011,11,6.2
2011,12,6.6
2012,1,6.4
2012,2,6.2
2012,3,5.9
2012,4,6.1
2012,5,5.9
2012,6,6.1
2012,7,5.9
2012,8,6.4
2012,9,6.9
2012,10,6.4
2012,11,6.3
2012,12,6.8
2013,1,6.6
2013,2,6.4
2013,3,6.3
2013,4,6.4
2013,5,6.5
2013,6,6.1
2013,7,6.3
2013,8,6.7
2013,9,6.4
2013,10,6.9
2013,11,7
2013,12,6
2014,1,6.8
2014,2,6.6
2014,3,6.1
2014,4,6.6
2014,5,6
2014,6,6.5
2014,7,6.7
2014,8,6.1
2014,9,6.8
2014,10,7
2014,11,6.2
2014,12,6.8
2015,1,6.9
2015,2,7.0
2015,3,7.0
2015,4,7.0
2015,5,6.3
2015,6,7.0
2015,7,6.7
2015,8,7.2
2015,9,6.8
2015,10,7.0
2015,11,7.2
2015,12,6.7
2016,1,7
2016,2,7
2016,3,7.2
2016,4,7.4
2016,5,6.8
2016,6,7.4
2016,7,6.8
2016,8,7
2016,9,6.9
2016,10,7.3
2016,11,7
2016,12,6.8
2017,1,6.7
2017,2,6.6
2017,3,6.9
2017,4,6.3
2017,5,6.6
2017,6,7
2017,7,6.7
2017,8,6.8
2017,9,7.7
2017,10,7.6
2017,11,6.6
2017,12,6.9
