Age,Male,Female
0,100000,100000
1,99774,99803
2,99743,99773
3,99721,99754
4,99706,99741
5,99694,99733
6,99683,99725
7,99673,99717
8,99664,99710
9,99655,99704
10,99647,99698
11,99639,99693
12,99632,99687
13,99623,99682
14,99612,99674
15,99599,99666
16,99582,99656
17,99560,99645
18,99532,99632
19,99497,99617
20,99455,99599
21,99407,99578
22,99354,99554
23,99298,99530
24,99239,99505
25,99180,99482
26,99121,99458
27,99063,99433
28,99006,99407
29,98948,99380
30,98887,99350
31,98824,99317
32,98760,99282
33,98694,99244
34,98627,99204
35,98557,99162
36,98481,99119
37,98399,99072
38,98311,99023
39,98217,98969
40,98115,98911
41,98005,98847
42,97885,98778
43,97753,98702
44,97609,98619
45,97450,98528
46,97274,98430
47,97081,98321
48,96869,98200
49,96638,98065
50,96385,97918
51,96109,97761
52,95806,97594
53,95471,97415
54,95102,97222
55,94700,97014
56,94264,96791
57,93794,96555
58,93285,96306
59,92729,96041
60,92115,95757
61,91439,95450
62,90696,95116
63,89884,94754
64,88999,94360
65,88041,93933
66,87010,93473
67,85904,92979
68,84715,92450
69,83437,91880
70,82064,91260
71,80592,90583
72,79024,89843
73,77347,89030
74,75542,88131
75,73591,87130
76,71476,86011
77,69178,84758
78,66680,83354
79,63963,81775
80,61004,79991
81,57800,77975
82,54366,75706
83,50726,73174
84,46924,70374
85,43005,67292
86,39006,63913
87,34960,60220
88,30905,56203
89,26917,51871
90,23089,47249
91,19473,42425
92,16124,37515
93,13089,32638
94,10399,27890
95,8072,23357
96,6110,19129
97,4501,15285
98,3219,11884
99,2230,8965
100,1493,6540
101,963,4597
102,596,3101
103,354,1999
104,200,1225
105,108,710
