x,nqx,lx,ndx,nLx,Tx,ex
# 0w,0.00079,100000,79,1917,8020754,80.21
# 1w,0.00011,99921,11,1916,8018837,80.25
# 2w,0.00009,99910,9,1916,8016921,80.24
# 3w,0.00008,99901,8,1916,8015005,80.23
# 4w,0.00027,99893,27,8984,8013089,80.22
# 2m,0.00016,99865,16,8321,8004105,80.15
# 3m,0.00038,99850,38,24958,7995783,80.08
# 6m,0.00038,99812,38,49895,7970825,79.86
0,0.00226,100000,226,99823,8020754,80.21
1,0.00031,99774,31,99758,7920931,79.39
2,0.00022,99743,22,99733,7821173,78.41
3,0.00016,99721,16,99713,7721440,77.43
4,0.00012,99706,12,99699,7621727,76.44
5,0.00011,99694,10,99688,7522028,75.45
6,0.00010,99683,10,99678,7422339,74.46
7,0.00010,99673,10,99668,7322661,73.47
8,0.00009,99664,9,99659,7222993,72.47
9,0.00008,99655,8,99650,7123334,71.48
10,0.00007,99647,7,99643,7023683,70.49
11,0.00008,99639,8,99635,6924041,69.49
12,0.00009,99632,9,99627,6824405,68.50
13,0.00011,99623,11,99618,6724778,67.50
14,0.00013,99612,13,99606,6625160,66.51
15,0.00017,99599,17,99591,6525555,65.52
16,0.00022,99582,22,99572,6425964,64.53
17,0.00028,99560,28,99547,6326392,63.54
18,0.00035,99532,35,99515,6226845,62.56
19,0.00042,99497,42,99477,6127329,61.58
20,0.00048,99455,48,99431,6027853,60.61
21,0.00053,99407,53,99381,5928422,59.64
22,0.00057,99354,56,99326,5829041,58.67
23,0.00059,99298,59,99268,5729715,57.70
24,0.00060,99239,59,99209,5630446,56.74
25,0.00059,99180,59,99150,5531237,55.77
26,0.00058,99121,58,99092,5432087,54.80
27,0.00058,99063,57,99035,5332995,53.83
28,0.00059,99006,58,98977,5233960,52.86
29,0.00061,98948,61,98918,5134983,51.90
30,0.00064,98887,63,98856,5036065,50.93
31,0.00065,98824,65,98792,4937209,49.96
32,0.00066,98760,65,98727,4838417,48.99
33,0.00068,98694,67,98661,4739690,48.02
34,0.00072,98627,71,98592,4641028,47.06
35,0.00077,98557,76,98519,4542436,46.09
36,0.00083,98481,82,98440,4443917,45.12
37,0.00089,98399,88,98356,4345476,44.16
38,0.00096,98311,95,98265,4247121,43.20
39,0.00104,98217,102,98167,4148856,42.24
40,0.00112,98115,110,98061,4050690,41.29
41,0.00122,98005,120,97946,3952629,40.33
42,0.00135,97885,132,97820,3854683,39.38
43,0.00148,97753,144,97682,3756863,38.43
44,0.00163,97609,159,97531,3659181,37.49
45,0.00180,97450,176,97363,3561651,36.55
46,0.00199,97274,193,97179,3464287,35.61
47,0.00218,97081,212,96976,3367108,34.68
48,0.00239,96869,231,96755,3270132,33.76
49,0.00261,96638,253,96513,3173377,32.84
50,0.00286,96385,276,96249,3076864,31.92
51,0.00315,96109,303,95960,2980615,31.01
52,0.00350,95806,335,95641,2884654,30.11
53,0.00386,95471,369,95290,2789013,29.21
54,0.00423,95102,402,94904,2693723,28.32
55,0.00460,94700,436,94485,2598819,27.44
56,0.00499,94264,470,94032,2504334,26.57
57,0.00543,93794,509,93543,2410302,25.70
58,0.00597,93285,557,93011,2316759,24.84
59,0.00661,92729,613,92427,2223747,23.98
60,0.00734,92115,677,91783,2131320,23.14
61,0.00812,91439,742,91073,2039538,22.30
62,0.00895,90696,812,90296,1948464,21.48
63,0.00985,89884,886,89448,1858168,20.67
64,0.01077,88999,958,88526,1768720,19.87
65,0.01170,88041,1030,87532,1680195,19.08
66,0.01271,87010,1106,86464,1592663,18.30
67,0.01384,85904,1189,85317,1506199,17.53
68,0.01509,84715,1278,84084,1420882,16.77
69,0.01645,83437,1373,82759,1336799,16.02
70,0.01794,82064,1472,81336,1254040,15.28
71,0.01946,80592,1568,79817,1172704,14.55
72,0.02123,79024,1678,78195,1092887,13.83
73,0.02334,77347,1805,76456,1014692,13.12
74,0.02582,75542,1951,74579,938236,12.42
75,0.02874,73591,2115,72548,863657,11.74
76,0.03214,71476,2297,70343,791109,11.07
77,0.03612,69178,2498,67947,720766,10.42
78,0.04075,66680,2717,65340,652820,9.79
79,0.04626,63963,2959,62504,587479,9.18
80,0.05251,61004,3204,59422,524975,8.61
81,0.05942,57800,3435,56101,465553,8.05
82,0.06694,54366,3639,52562,409452,7.53
83,0.07495,50726,3802,48837,356890,7.04
84,0.08352,46924,3919,44973,308053,6.56
85,0.09299,43005,3999,41011,263080,6.12
86,0.10373,39006,4046,36986,222069,5.69
87,0.11600,34960,4055,32931,185084,5.29
88,0.12904,30905,3988,28902,152153,4.92
89,0.14219,26917,3827,24987,123251,4.58
90,0.15663,23089,3616,21261,98264,4.26
91,0.17198,19473,3349,17774,77003,3.95
92,0.18826,16124,3036,14579,59229,3.67
93,0.20552,13089,2690,11714,44650,3.41
94,0.22377,10399,2327,9205,32936,3.17
95,0.24305,8072,1962,7061,23732,2.94
96,0.26337,6110,1609,5277,16671,2.73
97,0.28473,4501,1281,3834,11395,2.53
98,0.30714,3219,989,2702,7561,2.35
99,0.33060,2230,737,1843,4858,2.18
100,0.35508,1493,530,1213,3016,2.02
101,0.38055,963,366,768,1803,1.87
102,0.40698,596,243,466,1035,1.74
103,0.43430,354,154,271,569,1.61
104,0.46243,200,93,150,298,1.49
105,1.00000,108,108,149,149,1.38
