No,報告自治体,実施主体_主体,実施主体_部局,産地_都道府県,産地_市町村,非流通品/流通品,備考,食品カテゴリ,品目,検査機関,検査法(Ge/NaI),採取日(購入日),結果判明日,I131(Bq/kg),Cs134(Bq/kg),Cs137(Bq/kg)
1,宮城県,宮城県,-,宮城県,-,非流通品,気仙沼唐桑沖,水産物,シライトマキバイ,いであ（株）,Ge,H24.3.29,H24.4.4,-,<0.64,<0.64
2,宮城県,宮城県,-,宮城県,-,非流通品,歌津末の崎沖,水産物,キアンコウ,いであ（株）,Ge,H24.3.29,H24.4.4,-,<7.2,<5.8
3,宮城県,宮城県,-,宮城県,-,非流通品,本吉大谷沖,水産物,スズキ,いであ（株）,Ge,H24.3.30,H24.4.4,-,5,7.6
4,宮城県,宮城県,-,宮城県,-,非流通品,松島湾,水産物,アイナメ,いであ（株）,Ge,H24.3.30,H24.4.4,-,15,23
5,宮城県,宮城県,-,宮城県,-,非流通品,名取閖上沖,水産物,マコガレイ,いであ（株）,Ge,H24.3.29,H24.4.4,-,6.5,10
6,宮城県,宮城県,-,宮城県,-,非流通品,仙台湾中部海域,水産物,シロメバル,いであ（株）,Ge,H24.3.29,H24.4.4,-,8.1,11
7,宮城県,宮城県,-,宮城県,仙台市,非流通品,蒲生沖,水産物,アカガイ,宮城県,Ge,H24.3.29,H24.4.5,-,<4,<5
8,宮城県,宮城県,-,宮城県,気仙沼市,非流通品,大川,水産物,ヤマメ（天然）,宮城県,Ge,H24.3.30,H24.4.5,-,12,14
9,宮城県,宮城県,-,宮城県,名取市,非流通品,名取川,水産物,アサリ,宮城県,Ge,H24.3.27,H24.4.5,-,4.78,6.38
10,宮城県,宮城県,-,宮城県,丸森町,非流通品,雉子尾川,水産物,ヤマメ（天然）,宮城県,Ge,H24.3.29,H24.4.5,-,70,102
11,茨城県,茨城県,-,茨城県,-,非流通品,大洗町沖,水産物,カタクチイワシ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,2,3
12,茨城県,茨城県,-,茨城県,-,非流通品,ひたちなか市沖,水産物,シラウオ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,2,4
13,茨城県,茨城県,-,茨城県,-,非流通品,神栖市沖,水産物,アナゴ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,<5.2,<6.2
14,茨城県,茨城県,-,茨城県,-,非流通品,大洗町沖,水産物,ウスメバル,（財）海洋生物環境研究所,Ge,H24.3.25,H24.4.6,-,9,22
15,茨城県,茨城県,-,茨城県,-,非流通品,神栖市沖,水産物,カナガシラ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,5,6
16,茨城県,茨城県,-,茨城県,-,非流通品,大洗町沖,水産物,クロメバル,（財）海洋生物環境研究所,Ge,H24.3.25,H24.4.6,-,10,20
17,茨城県,茨城県,-,茨城県,-,非流通品,大洗町沖,水産物,サルエビ,（財）海洋生物環境研究所,Ge,H24.3.28,H24.4.6,-,<6.2,<7.2
18,茨城県,茨城県,-,茨城県,-,非流通品,神栖市沖,水産物,シログチ（イシモチ）,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,14,15
19,茨城県,茨城県,-,茨城県,-,非流通品,ひたちなか市沖,水産物,ババガレイ（ナメタガレイ）,（財）海洋生物環境研究所,Ge,H24.3.28,H24.4.6,-,<0.46,<0.43
20,茨城県,茨城県,-,茨城県,-,非流通品,ひたちなか市沖,水産物,ヒラメ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,11,15
21,茨城県,茨城県,-,茨城県,-,非流通品,ひたちなか市沖,水産物,ヒラメ,（財）海洋生物環境研究所,Ge,H24.3.28,H24.4.6,-,14,20
22,茨城県,茨城県,-,茨城県,-,非流通品,鹿嶋市沖,水産物,ヒラメ,（財）海洋生物環境研究所,Ge,H24.3.28,H24.4.6,-,32,44
23,茨城県,茨城県,-,茨城県,-,非流通品,ひたちなか市沖,水産物,マダイ,（財）海洋生物環境研究所,Ge,H24.3.26,H24.4.6,-,16,24
24,茨城県,茨城県,-,茨城県,-,非流通品,神栖市沖,水産物,マダイ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,<5.5,7
25,茨城県,茨城県,-,茨城県,-,非流通品,神栖市沖,水産物,マフグ,（財）海洋生物環境研究所,Ge,H24.3.27,H24.4.6,-,<4.6,<4.8
26,茨城県,茨城県,-,茨城県,-,非流通品,日立市地先,水産物,ヒジキ,（財）海洋生物環境研究所,Ge,H24.3.29,H24.4.6,-,3,3
27,茨城県,茨城県,-,茨城県,-,非流通品,日立市地先,野菜類,ワカメ,（財）海洋生物環境研究所,Ge,H24.3.29,H24.4.6,-,1,1
28,千葉県,千葉県,-,千葉県,-,非流通品,手賀沼（柏市、我孫子市）,水産物,コイ（筋肉部）,（財）日本分析センター,Ge,H24.3.29,H24.4.6,-,140,190
29,千葉県,千葉県,-,千葉県,-,非流通品,手賀沼（柏市、我孫子市）,水産物,モツゴ（全体）,（財）日本分析センター,Ge,H24.3.29,H24.4.6,-,41,65
30,千葉県,千葉県,-,千葉県,-,非流通品,手賀沼（柏市、我孫子市）,水産物,スジエビ（全体）,（財）日本分析センター,Ge,H24.3.29,H24.4.6,-,28,38
