No,報告自治体,実施主体,産地_都道府県,産地_市町村,産地_その他,非流通品/流通品,食品カテゴリ,品目_品目名,品目_その他,検査機関,検査法,採取日(購入日),結果判明日,Cs134(Bq/kg),Cs137(Bq/kg),Cs合計(Bq/kg)
1,岩手県,岩手県,岩手県,八幡平市,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<5.3,<4.0,<9.3
2,岩手県,岩手県,岩手県,雫石町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<6.6,<7.5,<14.1
3,岩手県,岩手県,岩手県,二戸市,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<6.2,<6.6,<12.8
4,岩手県,岩手県,岩手県,一戸町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<5.5,<5.0,<10.5
5,岩手県,岩手県,岩手県,葛巻町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<6.0,<6.8,<12.8
6,岩手県,岩手県,岩手県,洋野町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.2,H24.4.3,<5.6,<5.8,<11.4
7,岩手県,岩手県,岩手県,岩泉町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.3,H24.4.4,<5.1,<5.9,<11
8,岩手県,岩手県,岩手県,大船渡市,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.3,H24.4.4,<7.9,<7.8,<15.7
9,岩手県,岩手県,岩手県,遠野市,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.3,H24.4.4,<6.6,<5.8,<12.4
10,岩手県,岩手県,岩手県,一関市,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.3,H24.4.4,<5.0,<6.2,<11.2
11,岩手県,岩手県,岩手県,金ケ崎町,-,非流通品,牛乳・乳児用食品,原乳,-,岩手県環境保健研究センター,Ge,H24.4.3,H24.4.4,<5.1,<6.5,<11.6
