Pref,M1990,M2015,Mchange,L1990,L2015,Lchange,H1990,H2015,Hchange
Japan,584.1,414.8,-29.0,79.0,83.2,5.3,70.4,73.9,5.1
Hokkaido,597.2,416.9,-30.2,78.7,83.1,5.6,70.2,73.9,5.3
Aomori,641.5,471.0,-26.6,77.7,81.6,5.0,69.3,72.6,4.8
Iwate,601.6,441.6,-26.6,78.6,82.4,4.8,70.0,73.2,4.5
Miyagi,573.9,397.1,-30.8,79.2,83.7,5.7,70.5,74.2,5.2
Akita,592.2,445.5,-24.8,78.8,82.3,4.4,70.2,73.2,4.2
Yamagata,543.2,411.0,-24.3,79.9,83.2,4.1,71.2,74.0,4.0
Fukushima,585.3,423.9,-27.5,78.9,82.9,5.1,70.2,73.7,5.0
Ibaraki,595.6,431.4,-27.6,78.6,82.7,5.2,70.0,73.5,4.9
Tochigi,610.6,428.4,-29.8,78.4,82.8,5.6,69.9,73.7,5.4
Gunma,573.2,421.0,-26.6,79.2,83.0,4.8,70.2,73.5,4.6
Saitama,590.6,428.6,-27.4,79.0,82.8,4.8,70.4,73.6,4.6
Chiba,575.5,416.3,-27.7,79.2,83.1,4.9,70.6,73.9,4.7
Tokyo,581.8,410.5,-29.4,79.1,83.3,5.3,70.5,74.2,5.2
Kanagawa,571.2,407.8,-28.6,79.3,83.4,5.2,70.7,74.2,4.9
Niigata,547.7,405.0,-26.1,79.8,83.5,4.6,70.8,73.8,4.3
Toyama,561.3,401.8,-28.4,79.4,83.5,5.2,70.6,74.1,5.0
Ishikawa,541.8,390.9,-27.8,79.9,83.9,5.0,71.1,74.5,4.8
Fukui,534.2,381.2,-28.6,80.1,84.2,5.1,71.3,74.8,5.0
Yamanashi,589.4,407.8,-30.8,78.8,83.4,5.8,70.3,74.2,5.6
Nagano,526.9,380.6,-27.9,80.2,84.2,5.0,71.5,74.9,4.7
Gifu,562.0,408.0,-27.4,79.5,83.3,4.8,70.6,74.0,4.7
Shizuoka,559.7,408.7,-27.0,79.5,83.3,4.8,70.8,74.0,4.6
Aichi,588.9,417.2,-29.2,79.0,83.1,5.2,70.4,73.9,4.9
Mie,563.1,398.5,-29.2,79.4,83.6,5.3,70.7,74.3,5.1
Shiga,540.4,365.3,-32.4,79.9,84.7,6.0,71.2,75.3,5.7
Kyoto,559.2,391.5,-30.0,79.5,83.8,5.4,70.9,74.6,5.3
Osaka,634.4,440.1,-30.6,78.0,82.5,5.8,69.6,73.4,5.5
Hyogo,604.6,413.4,-31.7,78.6,83.2,5.9,69.9,73.8,5.5
Nara,557.4,382.6,-31.4,79.5,84.1,5.8,70.8,74.7,5.5
Wakayama,619.4,423.8,-31.6,78.2,82.9,6.0,69.7,73.7,5.8
Tottori,597.2,427.4,-28.5,78.7,82.8,5.2,70.1,73.6,5.0
Shimane,579.4,410.4,-29.1,79.0,83.3,5.4,70.4,74.1,5.2
Okayama,567.4,399.4,-29.6,79.3,83.6,5.4,70.6,74.4,5.3
Hiroshima,569.9,407.1,-28.6,79.2,83.4,5.3,70.6,74.2,5.1
Yamaguchi,599.0,416.9,-30.4,78.6,83.1,5.7,70.1,73.9,5.5
Tokushima,607.6,425.2,-30.0,78.4,82.8,5.6,69.7,73.5,5.4
Kagawa,577.0,415.9,-28.0,79.1,83.1,5.1,70.4,73.8,4.8
Ehime,599.8,434.0,-27.6,78.6,82.6,5.1,70.0,73.4,4.9
Kochi,626.7,439.6,-29.9,78.0,82.4,5.6,69.2,73.0,5.5
Fukuoka,595.0,406.1,-31.8,78.7,83.4,6.0,70.1,74.2,5.8
Saga,602.7,410.8,-31.9,78.5,83.3,6.1,69.9,74.0,5.8
Nagasaki,608.5,423.9,-30.4,78.4,82.9,5.7,69.8,73.5,5.3
Kumamoto,568.3,396.7,-30.2,79.3,83.7,5.5,70.6,74.3,5.3
Oita,585.3,398.3,-32.0,78.9,83.6,6.0,70.2,74.2,5.8
Miyazaki,603.7,418.1,-30.7,78.5,83.0,5.7,69.9,73.8,5.6
Kagoshima,606.8,435.2,-28.3,78.4,82.6,5.4,69.9,73.4,5.0
Okinawa,588.6,458.7,-22.0,78.7,81.9,4.1,70.1,72.9,4.0
