Pref,M1990,M2015,Mchange,L1990,L2015,Lchange,H1990,H2015,Hchange
Japan,759.3,539.0,-29.0,75.9,79.9,5.3,68.2,71.5,5.0
Hokkaido,772.0,542.1,-29.8,75.6,79.8,5.6,68.0,71.4,5.1
Aomori,883.5,633.9,-28.3,73.8,77.9,5.6,66.4,69.8,5.1
Iwate,802.9,600.9,-25.2,75.2,78.5,4.4,67.5,70.3,4.2
Miyagi,748.8,515.1,-31.2,76.1,80.5,5.8,68.3,71.9,5.2
Akita,799.8,603.0,-24.7,75.2,78.5,4.4,67.6,70.4,4.1
Yamagata,714.5,535.9,-25.0,76.7,80.0,4.3,68.9,71.6,4.0
Fukushima,766.9,558.4,-27.1,75.7,79.5,5.0,67.8,71.1,4.8
Ibaraki,768.8,558.5,-27.4,75.6,79.4,5.0,67.8,71.1,4.8
Tochigi,784.9,568.3,-27.7,75.4,79.3,5.2,67.7,71.0,4.9
Gunma,724.4,541.6,-25.3,76.5,79.9,4.4,68.1,70.9,4.1
Saitama,752.1,542.6,-27.8,76.3,79.9,4.7,68.5,71.6,4.4
Chiba,742.1,533.0,-28.2,76.3,80.1,5.0,68.5,71.6,4.5
Tokyo,748.3,526.6,-29.6,76.2,80.3,5.4,68.4,71.9,5.1
Kanagawa,730.3,520.4,-28.7,76.5,80.4,5.1,68.7,72.0,4.8
Niigata,718.8,532.1,-26.0,76.7,80.1,4.4,68.6,71.5,4.1
Toyama,730.2,527.6,-27.7,76.3,80.2,5.1,68.4,71.7,4.7
Ishikawa,703.7,505.2,-28.2,76.9,80.7,4.9,69.0,72.2,4.7
Fukui,680.8,494.5,-27.3,77.3,81.0,4.8,69.3,72.5,4.5
Yamanashi,776.6,535.1,-31.0,75.6,80.0,5.8,67.8,71.6,5.6
Nagano,657.5,485.5,-26.2,77.7,81.2,4.5,69.7,72.6,4.2
Gifu,693.2,516.8,-25.5,77.1,80.4,4.3,68.8,71.6,4.2
Shizuoka,725.7,525.5,-27.6,76.5,80.3,5.0,68.6,71.8,4.6
Aichi,748.4,532.6,-28.9,76.3,80.1,5.0,68.6,71.7,4.6
Mie,726.3,518.9,-28.6,76.4,80.3,5.1,68.6,71.9,4.8
Shiga,680.2,467.6,-31.2,77.3,81.7,5.7,69.3,73.0,5.3
Kyoto,714.8,509.8,-28.7,76.7,80.6,5.1,68.8,72.2,4.9
Osaka,829.6,572.7,-31.0,74.9,79.2,5.7,67.4,71.0,5.4
Hyogo,788.1,536.0,-32.0,75.5,80.0,6.0,67.7,71.6,5.7
Nara,710.5,497.3,-30.0,76.8,80.9,5.3,68.8,72.3,5.1
Wakayama,829.4,555.0,-33.2,74.8,79.6,6.4,67.2,71.2,6.1
Tottori,802.9,575.3,-28.4,75.2,79.1,5.2,67.5,70.9,5.0
Shimane,773.3,553.7,-28.4,75.6,79.6,5.3,68.0,71.4,5.1
Okayama,745.7,528.0,-29.2,76.1,80.2,5.4,68.3,71.8,5.1
Hiroshima,747.9,533.5,-28.7,76.0,80.1,5.4,68.2,71.7,5.1
Yamaguchi,795.2,551.4,-30.6,75.3,79.6,5.7,67.6,71.4,5.6
Tokushima,797.5,568.8,-28.7,75.2,79.2,5.3,67.5,70.8,4.9
Kagawa,748.9,546.4,-27.0,76.1,79.7,4.7,68.3,71.3,4.5
Ehime,790.9,581.3,-26.5,75.4,79.0,4.8,67.6,70.7,4.6
Kochi,850.9,593.7,-30.2,74.3,78.7,5.9,66.6,70.3,5.6
Fukuoka,799.7,535.7,-33.1,75.2,80.0,6.4,67.6,71.6,6.0
Saga,797.8,548.0,-31.5,75.2,79.7,6.0,67.5,71.3,5.6
Nagasaki,810.7,564.1,-30.4,75.1,79.3,5.6,67.3,70.8,5.3
Kumamoto,760.7,513.9,-32.5,75.8,80.5,6.2,68.0,71.9,5.8
Oita,770.4,533.0,-30.9,75.7,80.0,5.7,67.9,71.6,5.4
Miyazaki,804.2,559.2,-30.4,75.1,79.4,5.7,67.4,71.0,5.4
Kagoshima,802.0,582.7,-27.5,75.2,78.9,4.9,67.4,70.5,4.6
Okinawa,795.0,616.8,-22.4,75.2,78.2,4.0,67.5,70.1,3.8
