Pref,M1990,M2015,Mchange,L1990,L2015,Lchange,H1990,H2015,Hchange
Japan,455.5,315.0,-30.8,81.8,86.3,5.5,72.4,76.3,5.4
Hokkaido,462.4,320.5,-30.7,81.7,86.2,5.5,72.3,76.2,5.4
Aomori,471.0,350.0,-25.6,81.4,85.1,4.5,72.0,75.2,4.4
Iwate,455.6,318.0,-30.2,81.8,86.2,5.4,72.4,76.1,5.1
Miyagi,445.0,303.4,-31.8,82.1,86.8,5.7,72.5,76.4,5.3
Akita,443.5,326.9,-26.3,82.1,85.9,4.6,72.7,75.9,4.4
Yamagata,420.9,311.6,-25.9,82.8,86.5,4.5,73.2,76.3,4.2
Fukushima,452.1,315.9,-30.1,81.9,86.3,5.4,72.4,76.2,5.3
Ibaraki,463.9,322.5,-30.4,81.6,86.0,5.4,72.2,76.0,5.3
Tochigi,478.9,312.7,-34.7,81.2,86.4,6.4,71.9,76.4,6.2
Gunma,458.5,320.7,-30.1,81.8,86.1,5.3,72.2,76.1,5.3
Saitama,468.9,330.1,-29.6,81.6,85.8,5.1,72.2,75.8,5.0
Chiba,450.2,316.3,-29.8,82.0,86.3,5.2,72.5,76.2,5.1
Tokyo,456.4,316.6,-30.7,81.8,86.3,5.5,72.5,76.4,5.3
Kanagawa,447.0,312.9,-30.0,82.1,86.4,5.2,72.7,76.4,5.1
Niigata,424.7,303.2,-28.7,82.7,86.8,5.0,72.8,76.1,4.6
Toyama,440.5,304.1,-30.9,82.2,86.7,5.5,72.5,76.4,5.4
Ishikawa,426.2,302.8,-28.9,82.6,86.8,5.1,73.0,76.6,5.0
Fukui,427.2,291.0,-31.9,82.6,87.3,5.7,72.9,77.0,5.5
Yamanashi,449.6,303.3,-32.6,82.0,86.8,5.9,72.6,76.8,5.8
Nagano,429.8,294.0,-31.6,82.5,87.1,5.6,73.1,77.1,5.4
Gifu,460.9,319.9,-30.7,81.7,86.2,5.5,72.4,76.2,5.3
Shizuoka,436.1,312.1,-28.4,82.3,86.4,5.0,72.8,76.3,4.8
Aichi,469.4,320.1,-31.8,81.5,86.1,5.6,72.1,76.1,5.5
Mie,444.4,299.4,-32.6,82.1,86.9,5.8,72.6,76.7,5.7
Shiga,439.2,280.4,-36.2,82.2,87.7,6.7,72.8,77.5,6.4
Kyoto,448.0,298.4,-33.4,82.0,87.0,6.1,72.7,76.9,5.9
Osaka,492.7,333.5,-32.3,81.0,85.7,5.8,71.7,75.8,5.7
Hyogo,470.8,316.1,-32.9,81.5,86.3,5.9,71.9,76.0,5.6
Nara,447.0,291.8,-34.8,82.1,87.2,6.2,72.6,77.0,6.1
Wakayama,470.5,323.0,-31.5,81.4,86.1,5.8,72.1,76.1,5.6
Tottori,453.7,313.5,-30.9,81.9,86.4,5.5,72.5,76.3,5.3
Shimane,440.0,298.0,-32.2,82.2,87.0,5.8,72.8,76.8,5.6
Okayama,437.1,298.0,-31.8,82.3,87.0,5.7,72.8,76.9,5.6
Hiroshima,438.7,307.4,-29.9,82.2,86.6,5.4,72.8,76.6,5.3
Yamaguchi,459.8,315.1,-31.5,81.7,86.3,5.6,72.3,76.3,5.5
Tokushima,472.4,312.4,-33.9,81.4,86.4,6.1,71.8,76.2,6.0
Kagawa,451.5,311.8,-31.0,81.9,86.5,5.6,72.4,76.3,5.4
Ehime,462.4,321.8,-30.4,81.6,86.1,5.5,72.2,76.0,5.3
Kochi,470.0,322.2,-31.4,81.4,86.1,5.8,71.6,75.6,5.6
Fukuoka,451.3,310.0,-31.3,81.9,86.5,5.6,72.5,76.5,5.5
Saga,468.2,307.4,-34.4,81.5,86.6,6.3,72.1,76.5,6.1
Nagasaki,469.7,319.4,-32.0,81.5,86.2,5.8,72.0,76.0,5.5
Kumamoto,434.1,308.0,-29.1,82.4,86.6,5.1,72.8,76.5,5.0
Oita,453.3,295.6,-34.8,81.9,87.1,6.3,72.3,76.8,6.2
Miyazaki,464.2,310.0,-33.2,81.6,86.5,6.0,72.3,76.5,5.9
Kagoshima,473.5,321.9,-32.0,81.4,86.1,5.8,72.1,76.1,5.6
Okinawa,450.9,326.5,-27.6,81.9,85.9,4.9,72.4,75.9,4.9
