No,市町村,調査地点,緯度1,緯度2,緯度3,経度1,経度2,経度3,調査月日,今回1m,前回1m,備考
1,福島市,松川町沼袋戸ノ内,37,38,17.4,140,30,16.0,2011/8/18,1.1,2.0,県道192号線・県道39号線交差点（水原川下田橋付近）
2,福島市,松川町水原小倉,37,38,53.2,140,25,43.7,2011/8/18,0.71,1.0,小倉福島公園バス停前
3,福島市,松川町古天神,37,38,53.5,140,27,36.2,2011/8/18,0.80,1.6,宿地防火水槽前
4,福島市,松川町町頭,37,38,54.2,140,27,47.6,2011/8/18,0.54,1.5,県道114号線・町道T字路交差点（日高電設前）
5,福島市,松川町梨木田,37,39,01.4,140,28,03.6,2011/8/18,0.73,1.0,水原川桜内橋
6,福島市,松川町水原笹平,37,39,11.0,140,22,20.5,2011/8/18,0.42,-,民家入口前
7,福島市,飯野町町,37,39,11.0,140,32,22.0,2011/8/17,0.91,0.99,飯野郵便局前
8,福島市,松川町金沢堀切,37,39,14.2,140,29,32.0,2011/8/18,1.3,2.0,松川工業団地
9,福島市,松川町土腐,37,39,18.8,140,28,20.4,2011/8/18,0.45,1.0,県道52号線沿い（松川郵便局駐車場内）
10,福島市,土湯温泉町猪倉,37,39,19.3,140,18,02.8,2011/8/17,0.15,0.22,国道115号線沿い（土湯トンネル前・土湯除雪ステーション入口付近）
11,福島市,飯野町金山,37,39,28.9,140,32,06.9,2011/8/17,1.2,1.8,県道40号線沿い（金山バス停前）
12,福島市,飯野町明治猫山,37,39,35.8,140,30,30.8,2011/8/17,1.1,2.3,県道307号線・県道51号線分岐点（逢隈橋付近）
13,福島市,飯野町大久保田端,37,39,43.0,140,33,06.7,2011/8/17,0.80,2.0,大久保小学校正門前
14,福島市,松川町水原政所,37,39,44.8,140,25,32.3,2011/8/18,0.40,0.80,水原郵便局前
15,福島市,土湯温泉町堤ヶ平,37,39,53.6,140,20,05.6,2011/8/17,0.15,0.37,国道115号線沿い（片栗橋手前のＴ字路を左折10ｍ付近）
16,福島市,土湯温泉町鷲倉山,37,39,55.1,140,15,32.6,2011/8/17,0.27,0.16,県道70号線土湯峠三叉路北側（スカイライン入口手前）ポイント脇の側溝（土砂の堆積物有）上1m値：0.71μSv/h
17,福島市,松川町水原狼ヶ森,37,40,03.6,140,23,15.3,2011/8/18,0.27,0.53,県道52号線沿い（狼ヶ森バス停手前）
18,福島市,松川町水原山居,37,40,08.3,140,23,55.0,2011/8/18,0.53,0.71,山居バス停前
19,福島市,松川町金沢水溜,37,40,17.7,140,28,56.9,2011/8/18,1.1,1.6,国道4号線沿い
20,福島市,土湯温泉町鷲倉山,37,40,24.6,140,14,42.2,2011/8/17,0.15,-,磐梯吾妻スカイラインの天風境付近駐車場
21,福島市,松川町関谷割石,37,40,32.4,140,27,29.4,2011/8/18,0.72,0.85,県道193号線・県道194号線交差点
22,福島市,松川町関谷大窪,37,40,38.7,140,27,21.6,2011/8/18,0.71,1.2,金谷川駅西口前
23,福島市,松川町水原室沢,37,40,38.9,140,20,52.7,2011/8/18,0.22,0.37,県道52号線沿い（ＮＴＴドコモ土湯横道基地局付近）
24,福島市,松川町金沢大貝,37,40,44.9,140,29,42.0,2011/8/18,1.3,1.4,大貝入口バス停
25,福島市,平石前新田,37,40,48.5,140,25,39.7,2011/8/19,0.80,1.1,県道148号線沿い
26,福島市,立子山仲森,37,40,49.0,140,31,09.9,2011/8/18,0.68,1.4,立子山小学校正門前付近
27,福島市,飯野町青木日ノ倉,37,41,02.1,140,32,02.8,2011/8/17,1.1,1.6,国道114号線沿い（ＵＦＯの里バス停前）
28,福島市,山田中森,37,41,02.7,140,22,16.7,2011/8/19,0.29,0.55,長倉高原入口
29,福島市,小田遅沢前,37,41,26.0,140,25,17.3,2011/8/19,0.66,1.1,福島市クレー射撃場入口
30,福島市,立子山笠松,37,41,33.8,140,31,42.8,2011/8/18,0.84,1.6,県道114号線沿い（内ノ馬場バス停前）
31,福島市,平石西ノ内,37,41,53.5,140,26,51.8,2011/8/19,0.62,1.4,陽泰寺入口
32,福島市,立子山甚念坊,37,41,54.7,140,30,42.8,2011/8/18,0.91,1.6,県道114号線沿い（伊達バス停付近）
33,福島市,荒井地蔵原甲,37,41,57.3,140,21,29.6,2011/8/17,0.18,0.44,畜産研究所入口付近
34,福島市,小田石田,37,41,59.3,140,25,42.6,2011/8/19,0.40,0.89,県道148号線沿い（濁川筋橋付近）
35,福島市,小田大久保,37,42,03.8,140,25,25.1,2011/8/19,0.50,0.89,圃場整備記念碑前
36,福島市,佐原竹ノ森②,37,42,20.1,140,20,36.7,2011/8/19,0.25,0.41,うつくしま高原美術館付近
37,福島市,清水町赤根坂,37,42,27.7,140,28,14.4,2011/8/19,0.59,0.68,国道4号線伏拝交差点
38,福島市,荒井上笊森,37,42,29.3,140,22,52.1,2011/8/17,0.20,0.38,福島県警察機動センター前（入口前広場）
39,福島市,佐原桜沢,37,42,42.5,140,21,20.3,2011/8/19,0.24,0.50,桜沢交差点
40,福島市,佐原竹ノ森①,37,42,51.9,140,20,27.0,2011/8/19,0.29,0.43,林道（東北農政局標識付近）
41,福島市,上鳥渡仲原,37,42,54.0,140,23,49.1,2011/8/19,0.34,0.76,県道362号線三叉路
42,福島市,渡利畑小屋,37,43,01.8,140,31,05.6,2011/8/17,1.1,1.5,福島市消防団第7分団5部前
43,福島市,上名倉松原,37,43,09.6,140,22,49.9,2011/8/18,0.33,0.64,国道115号線沿い（福島駐屯地入口付近）
44,福島市,土湯温泉町浄土平,37,43,10.2,140,15,38.3,2011/8/17,0.20,-,磐梯吾妻スカイラインの浄土平付近（ビジターセンター付近）
45,福島市,大波笈ヶ森,37,43,17.1,140,32,11.8,2011/8/18,0.98,1.9,熊野神社入口付近
46,福島市,永井川北原田,37,43,17.2,140,26,59.8,2011/8/19,0.48,0.84,福島県赤十字血液センター前
47,福島市,南向台3丁目,37,43,19.3,140,29,25.2,2011/8/18,1.5,2.3,ミニストップ前
48,福島市,黒岩中島,37,43,27.6,140,28,11.9,2011/8/18,0.79,1.1,国道4号線沿い（黒岩交差点付近）
49,福島市,鳥谷野岩田,37,43,57.3,140,28,12.1,2011/8/19,1.1,1.6,国道4号線沿い（東京インテリア家具店前）
50,福島市,大波曲ヶ坂,37,44,04.2,140,31,49.6,2011/8/18,0.57,1.8,大波曲ヶ坂地区（林道奈良婦線標識付近）
51,福島市,桜本白津,37,44,09.8,140,21,13.9,2011/8/19,0.24,0.59,白津観音付近
52,福島市,成川成田口,37,44,09.8,140,25,34.7,2011/8/19,0.75,1.2,東北自動車道福島西ＩＣ出入口付近
53,福島市,大森北島,37,44,12.9,140,27,05.4,2011/8/19,0.57,0.90,国道115号線沿い（コ－プマ－ト前）
54,福島市,佐倉下附ノ川,37,44,13.6,140,24,29.3,2011/8/17,0.46,0.78,福島県ハイテクプラザ福島技術支援センター内（入口付近）
55,福島市,庄野中原,37,44,32.7,140,23,49.0,2011/8/18,0.41,0.67,県道126号線沿い（西工業団地バス停前）
56,福島市,土船才明寺,37,44,33.1,140,23,02.0,2011/8/18,0.30,0.73,県道126号線沿い（原の町交差点）
57,福島市,渡利沼ノ町,37,44,38.0,140,29,07.5,2011/8/17,1.1,2.1,国道114号線沿い（わたり病院バス停）
58,福島市,渡利馬場町,37,44,38.6,140,28,49.3,2011/8/17,1.2,2.0,福島県高等理容美容学院付近
59,福島市,町庭坂賽河原,37,44,40.2,140,17,17.0,2011/8/17,0.18,-,磐梯吾妻スカイライン不動沢橋付近
60,福島市,渡利柳沢,37,44,42.3,140,30,22.4,2011/8/17,1.5,2.7,県道308号線沿い（茶臼森配水池付近）
61,福島市,大波土屋場,37,44,45.8,140,32,01.8,2011/8/18,1.1,2.4,国道115号線沿い（土屋場バス停待合所）
62,福島市,在庭坂,37,44,47.1,140,19,35.8,2011/8/18,0.23,0.37,先達山ふもと
63,福島市,八木田中島,37,44,52.3,140,27,12.6,2011/8/17,0.68,1.4,西高入口バス停付近
